#         SchechterM          SchechterP     SchechterP_log10
#
                   6            0.503375           -0.298108
                6.01            0.494415           -0.305908
                6.02            0.485615           -0.313708
                6.03            0.476971           -0.321508
                6.04             0.46848           -0.329309
                6.05            0.460141           -0.337109
                6.06            0.451951           -0.344909
                6.07            0.443906           -0.352709
                6.08            0.436004           -0.360509
                6.09            0.428243           -0.368309
                 6.1             0.42062            -0.37611
                6.11            0.413133            -0.38391
                6.12            0.405779            -0.39171
                6.13            0.398556            -0.39951
                6.14            0.391462            -0.40731
                6.15            0.384494           -0.415111
                6.16             0.37765           -0.422911
                6.17            0.370927           -0.430711
                6.18            0.364325           -0.438511
                6.19             0.35784           -0.446311
                 6.2             0.35147           -0.454112
                6.21            0.345214           -0.461912
                6.22            0.339069           -0.469712
                6.23            0.333033           -0.477512
                6.24            0.327105           -0.485313
                6.25            0.321282           -0.493113
                6.26            0.315563           -0.500913
                6.27            0.309946           -0.508714
                6.28            0.304429           -0.516514
                6.29             0.29901           -0.524314
                 6.3            0.293688           -0.532114
                6.31             0.28846           -0.539915
                6.32            0.283325           -0.547715
                6.33            0.278282           -0.555515
                6.34            0.273328           -0.563316
                6.35            0.268463           -0.571116
                6.36            0.263684           -0.578916
                6.37             0.25899           -0.586717
                6.38             0.25438           -0.594517
                6.39            0.249852           -0.602317
                 6.4            0.245404           -0.610118
                6.41            0.241036           -0.617918
                6.42            0.236745           -0.625718
                6.43            0.232531           -0.633519
                6.44            0.228392           -0.641319
                6.45            0.224326            -0.64912
                6.46            0.220333            -0.65692
                6.47            0.216411           -0.664721
                6.48            0.212559           -0.672521
                6.49            0.208775           -0.680321
                 6.5            0.205059           -0.688122
                6.51            0.201408           -0.695922
                6.52            0.197823           -0.703723
                6.53            0.194302           -0.711523
                6.54            0.190843           -0.719324
                6.55            0.187446           -0.727124
                6.56            0.184109           -0.734925
                6.57            0.180832           -0.742725
                6.58            0.177613           -0.750526
                6.59            0.174451           -0.758327
                 6.6            0.171346           -0.766127
                6.61            0.168295           -0.773928
                6.62              0.1653           -0.781728
                6.63            0.162357           -0.789529
                6.64            0.159467            -0.79733
                6.65            0.156628            -0.80513
                6.66             0.15384           -0.812931
                6.67            0.151101           -0.820732
                6.68            0.148412           -0.828532
                6.69             0.14577           -0.836333
                 6.7            0.143175           -0.844134
                6.71            0.140626           -0.851934
                6.72            0.138123           -0.859735
                6.73            0.135664           -0.867536
                6.74            0.133249           -0.875337
                6.75            0.130877           -0.883138
                6.76            0.128547           -0.890939
                6.77            0.126259           -0.898739
                6.78            0.124011            -0.90654
                6.79            0.121803           -0.914341
                 6.8            0.119635           -0.922142
                6.81            0.117505           -0.929943
                6.82            0.115413           -0.937744
                6.83            0.113359           -0.945545
                6.84            0.111341           -0.953346
                6.85            0.109359           -0.961147
                6.86            0.107412           -0.968948
                6.87              0.1055           -0.976749
                6.88            0.103621            -0.98455
                6.89            0.101777           -0.992351
                 6.9           0.0999649            -1.00015
                6.91           0.0981852            -1.00795
                6.92           0.0964373            -1.01575
                6.93           0.0947205            -1.02356
                6.94           0.0930342            -1.03136
                6.95           0.0913779            -1.03916
                6.96           0.0897511            -1.04696
                6.97           0.0881533            -1.05476
                6.98           0.0865839            -1.06256
                6.99           0.0850424            -1.07036
                   7           0.0835284            -1.07817
                7.01           0.0820413            -1.08597
                7.02           0.0805807            -1.09377
                7.03           0.0791461            -1.10157
                7.04            0.077737            -1.10937
                7.05            0.076353            -1.11717
                7.06           0.0749937            -1.12498
                7.07           0.0736585            -1.13278
                7.08           0.0723471            -1.14058
                7.09           0.0710591            -1.14838
                 7.1           0.0697939            -1.15618
                7.11           0.0685513            -1.16398
                7.12           0.0673308            -1.17179
                7.13            0.066132            -1.17959
                7.14           0.0649546            -1.18739
                7.15           0.0637981            -1.19519
                7.16           0.0626622            -1.20299
                7.17           0.0615465             -1.2108
                7.18           0.0604507             -1.2186
                7.19           0.0593744             -1.2264
                 7.2           0.0583172             -1.2342
                7.21           0.0572788            -1.24201
                7.22            0.056259            -1.24981
                7.23           0.0552573            -1.25761
                7.24           0.0542734            -1.26541
                7.25            0.053307            -1.27322
                7.26           0.0523578            -1.28102
                7.27           0.0514255            -1.28882
                7.28           0.0505098            -1.29662
                7.29           0.0496105            -1.30443
                 7.3           0.0487271            -1.31223
                7.31           0.0478594            -1.32003
                7.32           0.0470072            -1.32784
                7.33           0.0461701            -1.33564
                7.34            0.045348            -1.34344
                7.35           0.0445405            -1.35125
                7.36           0.0437473            -1.35905
                7.37           0.0429683            -1.36685
                7.38           0.0422031            -1.37466
                7.39           0.0414515            -1.38246
                 7.4           0.0407134            -1.39026
                7.41           0.0399883            -1.39807
                7.42           0.0392762            -1.40587
                7.43           0.0385767            -1.41367
                7.44           0.0378897            -1.42148
                7.45           0.0372149            -1.42928
                7.46           0.0365522            -1.43709
                7.47           0.0359012            -1.44489
                7.48           0.0352618             -1.4527
                7.49           0.0346338             -1.4605
                 7.5           0.0340169             -1.4683
                7.51           0.0334111            -1.47611
                7.52            0.032816            -1.48391
                7.53           0.0322315            -1.49172
                7.54           0.0316574            -1.49952
                7.55           0.0310936            -1.50733
                7.56           0.0305397            -1.51513
                7.57           0.0299958            -1.52294
                7.58           0.0294615            -1.53075
                7.59           0.0289367            -1.53855
                 7.6           0.0284212            -1.54636
                7.61           0.0279149            -1.55416
                7.62           0.0274177            -1.56197
                7.63           0.0269293            -1.56978
                7.64           0.0264495            -1.57758
                7.65           0.0259783            -1.58539
                7.66           0.0255155             -1.5932
                7.67            0.025061              -1.601
                7.68           0.0246145            -1.60881
                7.69            0.024176            -1.61662
                 7.7           0.0237452            -1.62442
                7.71           0.0233222            -1.63223
                7.72           0.0229066            -1.64004
                7.73           0.0224985            -1.64785
                7.74           0.0220976            -1.65565
                7.75           0.0217039            -1.66346
                7.76           0.0213171            -1.67127
                7.77           0.0209373            -1.67908
                7.78           0.0205642            -1.68689
                7.79           0.0201977             -1.6947
                 7.8           0.0198378            -1.70251
                7.81           0.0194843            -1.71032
                7.82            0.019137            -1.71813
                7.83           0.0187959            -1.72594
                7.84           0.0184609            -1.73375
                7.85           0.0181319            -1.74156
