#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         2856.74         1418.49         1.40977        0.496541        0.509802               0           1e-30               0           1e-30
            8.3          2134.8         1680.01         2.02837        0.786965        0.807981               0           1e-30               0           1e-30
            8.5         1594.21         1988.39         2.91842         1.24726         1.28056               0           1e-30               0           1e-30
            8.7         1189.22          2350.8         4.19902         1.97677         2.02956               0           1e-30               0           1e-30
            8.9          885.58         2774.49         6.04154         3.13296         3.21663               0           1e-30               0           1e-30
            9.1         657.678         3265.65         8.69256         4.96541         5.09802               0           1e-30               0           1e-30
            9.3          486.34         3827.33         12.5068         7.86965         8.07981               0           1e-30               0           1e-30
            9.5         357.232          4455.6         17.9948         12.4726         12.8056               0           1e-30               0           1e-30
            9.7         259.663         5132.93         25.8909         19.7677         20.2956               0           1e-30               0           1e-30
            9.9         185.704         5818.05         37.2518         31.3296         32.1663               0           1e-30               0           1e-30
           10.1         129.551         6432.74         53.5979         49.6541         50.9802               0           1e-30               0           1e-30
           10.3         87.0499         6850.52         77.1165         78.6965         80.7981               1         698.494               1         698.494
           10.5         55.3348         6901.66         110.955         124.726         128.056               0           1e-30               0           1e-30
           10.7         32.4765         6419.84         159.642         197.677         202.956               0           1e-30               0           1e-30
           10.9          17.073         5348.91         229.693         313.296         321.663               1         920.514               0           1e-30
           11.1         7.78442         3865.29         330.482         496.541         509.802               1          570.53               0           1e-30
           11.3         3.00952         2368.38         475.497         786.965         807.981               2         3051.22               1         1812.36
           11.5        0.991048         1231.25         684.144         1242.37         1280.56               3         2156.03               0           1e-30
           11.7        0.286355         537.172         984.345         1875.89         2029.56               2         1617.76               0           1e-30
           11.9        0.072638         194.683         1416.27         2680.19         3216.63               0           1e-30               0           1e-30
           12.1       0.0149785         54.2738         2037.73         3623.44         5098.02               0           1e-30               0           1e-30
           12.3      0.00216701         10.0447         2931.89          4635.3         8079.81               0           1e-30               0           1e-30
           12.5      0.00017533        0.983766          4218.4         5610.93         12805.6               0           1e-30               0           1e-30
           12.7     5.54506e-06       0.0356367         6069.42         6426.75         20295.6               0           1e-30               0           1e-30
           12.9     3.86104e-08     0.000268938         8732.68         6965.43         32166.3               0           1e-30               0           1e-30
           13.1     2.37975e-11     1.69995e-07         12564.6         7143.39         50980.2               0           1e-30               0           1e-30
