#         SchechterM          SchechterP     SchechterP_log10
#
                7.86          0.00532717             -2.2735
                7.87          0.00525297             -2.2796
                7.88          0.00517981            -2.28569
                7.89          0.00510767            -2.29178
                 7.9          0.00503654            -2.29787
                7.91          0.00496641            -2.30396
                7.92          0.00489726            -2.31005
                7.93          0.00482908            -2.31614
                7.94          0.00476185            -2.32222
                7.95          0.00469556            -2.32831
                7.96          0.00463019             -2.3344
                7.97          0.00456574            -2.34049
                7.98          0.00450219            -2.34658
                7.99          0.00443952            -2.35266
                   8          0.00437773            -2.35875
                8.01           0.0043168            -2.36484
                8.02          0.00425672            -2.37092
                8.03          0.00419748            -2.37701
                8.04          0.00413906             -2.3831
                8.05          0.00408146            -2.38918
                8.06          0.00402466            -2.39527
                8.07          0.00396865            -2.40136
                8.08          0.00391342            -2.40744
                8.09          0.00385896            -2.41353
                 8.1          0.00380525            -2.41962
                8.11           0.0037523             -2.4257
                8.12          0.00370007            -2.43179
                8.13          0.00364858            -2.43788
                8.14          0.00359779            -2.44396
                8.15          0.00354772            -2.45005
                8.16          0.00349834            -2.45614
                8.17          0.00344964            -2.46223
                8.18          0.00340162            -2.46831
                8.19          0.00335426             -2.4744
                 8.2          0.00330756            -2.48049
                8.21          0.00326151            -2.48658
                8.22          0.00321609            -2.49267
                8.23          0.00317131            -2.49876
                8.24          0.00312714            -2.50485
                8.25          0.00308358            -2.51094
                8.26          0.00304063            -2.51704
                8.27          0.00299827            -2.52313
                8.28          0.00295649            -2.52922
                8.29          0.00291529            -2.53532
                 8.3          0.00287466            -2.54141
                8.31          0.00283459            -2.54751
                8.32          0.00279507            -2.55361
                8.33           0.0027561            -2.55971
                8.34          0.00271766             -2.5658
                8.35          0.00267976             -2.5719
                8.36          0.00264237            -2.57801
                8.37           0.0026055            -2.58411
                8.38          0.00256914            -2.59021
                8.39          0.00253327            -2.59632
                 8.4           0.0024979            -2.60242
                8.41          0.00246301            -2.60853
                8.42          0.00242861            -2.61464
                8.43          0.00239467            -2.62075
                8.44           0.0023612            -2.62687
                8.45          0.00232819            -2.63298
