#         SchechterM          SchechterP     SchechterP_log10
#
                7.86          0.00256712            -2.59055
                7.87          0.00253095            -2.59672
                7.88          0.00249529            -2.60288
                7.89          0.00246013            -2.60904
                 7.9          0.00242546            -2.61521
                7.91          0.00239128            -2.62137
                7.92          0.00235758            -2.62753
                7.93          0.00232435             -2.6337
                7.94          0.00229158            -2.63986
                7.95          0.00225928            -2.64603
                7.96          0.00222743             -2.6522
                7.97          0.00219602            -2.65836
                7.98          0.00216506            -2.66453
                7.99          0.00213453             -2.6707
                   8          0.00210443            -2.67687
                8.01          0.00207475            -2.68304
                8.02          0.00204548             -2.6892
                8.03          0.00201663            -2.69537
                8.04          0.00198818            -2.70155
                8.05          0.00196012            -2.70772
                8.06          0.00193246            -2.71389
                8.07          0.00190519            -2.72006
                8.08           0.0018783            -2.72623
                8.09          0.00185179            -2.73241
                 8.1          0.00182565            -2.73858
                8.11          0.00179987            -2.74476
                8.12          0.00177445            -2.75094
                8.13          0.00174939            -2.75711
                8.14          0.00172468            -2.76329
                8.15          0.00170032            -2.76947
                8.16          0.00167629            -2.77565
                8.17          0.00165261            -2.78183
                8.18          0.00162925            -2.78801
                8.19          0.00160622            -2.79419
                 8.2          0.00158351            -2.80038
                8.21          0.00156112            -2.80656
                8.22          0.00153904            -2.81275
                8.23          0.00151727            -2.81894
                8.24          0.00149581            -2.82512
                8.25          0.00147464            -2.83131
                8.26          0.00145377             -2.8375
                8.27          0.00143319             -2.8437
                8.28           0.0014129            -2.84989
                8.29          0.00139289            -2.85608
                 8.3          0.00137316            -2.86228
                8.31          0.00135371            -2.86848
                8.32          0.00133452            -2.87467
                8.33          0.00131561            -2.88087
                8.34          0.00129696            -2.88707
                8.35          0.00127856            -2.89328
                8.36          0.00126043            -2.89948
                8.37          0.00124255            -2.90569
                8.38          0.00122491             -2.9119
                8.39          0.00120752             -2.9181
                 8.4          0.00119038            -2.92432
                8.41          0.00117347            -2.93053
                8.42           0.0011568            -2.93674
                8.43          0.00114035            -2.94296
                8.44          0.00112414            -2.94918
                8.45          0.00110816             -2.9554
                8.46          0.00109239            -2.96162
                8.47          0.00107685            -2.96785
                8.48          0.00106152            -2.97407
                8.49           0.0010464             -2.9803
                 8.5          0.00103149            -2.98653
                8.51          0.00101679            -2.99277
                8.52           0.0010023              -2.999
                8.53         0.000988002            -3.00524
                8.54         0.000973906            -3.01148
                8.55         0.000960005            -3.01773
                8.56         0.000946296            -3.02397
                8.57         0.000932778            -3.03022
                8.58         0.000919446            -3.03647
                8.59           0.0009063            -3.04273
                 8.6         0.000893335            -3.04899
                8.61         0.000880549            -3.05525
                8.62         0.000867941            -3.06151
                8.63         0.000855507            -3.06778
                8.64         0.000843244            -3.07405
