#   SAVEDid      xmeAGN       xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
6       8.565       8.153       5.406       20.23       21.46       6.754        28.4       4.168       1.035           0
18       3.124        2.08        2.08        2.75       6.073       4.811       7.871       5.552       1.018      0.1799
35           0     0.00591     0.00591      0.5651      0.5341       0.031      0.5397     0.02549       0.401           0
36     0.03908      0.3299      0.3299       1.401       3.066       2.186       3.156       2.213      0.3567        0.11
38   1.489e-07   4.236e-07   4.236e-07         553       546.2       204.1       546.2       204.1        3.78        0.43
44   1.118e-07   3.374e-07   3.374e-07       230.8       250.4       95.33       250.4       95.33       3.542      0.1095
48           0       10.85       10.85        49.9       63.71       54.91       76.79       57.66        2.26       0.293
50       1.468       2.401       2.401       5.583       16.92       11.34        17.9       11.15         1.4       0.216
56           0        4.94        4.94       27.86       13.93       13.93       16.13       11.73        2.41       0.307
64           0       1.326       1.326       10.33       12.19       8.853       12.48       8.571        1.37       0.213
65       7.404       4.061       4.061       8.606       22.28       16.24       27.31       18.12        2.07       0.276
91     0.05669     0.08722     0.08722      0.1575      0.7211       0.566      0.7478      0.5393       0.455        0.09
95        2.27        1.24        1.24       5.157       24.62       21.29       25.18       20.72        2.16       0.284
106       19.15       14.56       14.56        73.9       131.2       95.11       136.6       89.73        2.01       0.271
107     0.05468      0.3834      0.3834       1.294       3.274       2.911       3.472        2.92      0.6233        0.14
112      0.8708       2.612       2.612        17.3       15.02       12.08       16.35        12.6       1.045      0.1798
123       5.976       3.827       3.827       21.18       45.57       24.39        49.1       22.54       2.683       0.078
126       2.954       5.385       5.385       14.77       25.65       19.41        30.2        21.5       1.419       0.208
127      0.4053      0.5329      0.5329       7.528       7.305       1.329       7.804        0.83       0.582           0
130   1.578e-07   5.374e-07   5.374e-07       515.4       529.8       194.5       529.8       194.5        4.42       0.488
132       1.341       1.998       1.998       4.087       11.39         7.4        12.3       6.869        1.47       0.149
135       1.107        2.25        2.25       5.315       14.85       12.94       16.88       13.88        1.39       0.215
142       14.17        44.6        44.6       81.38       95.96       63.41       131.9       55.66        2.25      0.2925
145      0.1214     0.09827     0.07292      0.5105      0.5212      0.2233      0.6245      0.1739        0.28           0
152      0.2811      0.6748      0.5963      0.7942       1.961       1.419       2.503       1.708      0.4677        0.13
158       2.563       8.696       8.696       421.5       366.9       95.52       370.8       91.53       1.917       0.179
162       7.356       11.01       11.01       110.1        99.1        62.1       106.1       55.06       1.256           0
