#       id       zspec       zbest       ubest       chi2_min     S_chi2_min     R_chi2_min
#
       431     0.67600     0.67600      12.100       13.02096      0.1168778       12.90409
       432    -1.00000     0.77250       4.900      0.7474778      0.1803715      0.5671063
       433    -1.00000     2.60100      45.000      0.2731138      0.1245135      0.1486003
       437    -1.00000     2.72190      18.000        1.00976      0.5286861      0.4810739
       438    -1.00000     1.31086     101.000       2.932828      0.1469769       2.785851
       439    -1.00000     1.35690      25.000       2.721798      0.8678907       1.853908
       442    -1.00000     1.28380      14.500   2.180546e-09    1.75353e-18   2.180546e-09
       449    -1.00000     0.11930       4.900       1.149495   2.134771e-19       1.149495
       450    -1.00000     3.79570     101.000       34.60166       4.778598       29.82306
       451     1.01900     1.01900       6.100      0.6053265      0.4190036      0.1863229
       468    -1.00000     4.87510     101.000       13.07815      0.5022823       12.57587
       481     0.17900     0.17900       6.100       2.607091   3.306216e-18       2.607091
       482    -1.00000     1.97570      18.000       0.318585      0.1489668      0.1696182
       490    -1.00000     0.98920     101.000       3.442422       0.289766       3.152656
       498    -1.00000     3.87760     101.000       70.89986    0.009118733       70.89074
       501    -1.00000     2.68621      45.000     0.07082893     0.04074123     0.03008769
       502    -1.00000     2.23904     101.000      0.9698561      0.6526686      0.3171874
       503    -1.00000     2.14264      18.000       6.324683       6.008424       0.316259
       505    -1.00000     2.99970     101.000       2.881849       2.855831      0.0260182
       506    -1.00000     2.60100      45.000      0.6220161      0.5929469     0.02906925
       509     0.45200     0.45200       9.700      0.3577835      0.3577791   4.356204e-06
       510     0.67980     0.67980      12.100      0.4365314     0.04864677      0.3878846
       512    -1.00000     1.16740       6.100       2.373148      0.5503182        1.82283
       516    -1.00000     3.80100     101.000      0.1405493     0.00503869      0.1355107
       521     1.03700     1.03700       6.100         2.0947       1.007807       1.086894
       530     0.64000     0.64000       4.900      0.4586921     0.04208743      0.4166047
       532     0.97460     0.97460       9.700      0.3407735      0.2246093      0.1161642
       533     1.03000     1.03000     101.000       4.610852       1.167723       3.443129
       540    -1.00000     2.46620      45.000      0.1208827     0.05567583     0.06520688
       541     0.80100     0.80100      14.500       1.305638      0.6408235      0.6648142
       546    -1.00000     2.81238     101.000     0.01848509    0.004666398      0.0138187
       547    -1.00000     2.74110      18.000     0.01435105     0.01435102   2.906985e-08
       548    -1.00000     1.67992      18.000        21.9418      0.3996724       21.54213
       550    -1.00000     1.16920       6.100      0.7306263      0.5593074      0.1713189
       552     0.50450     0.50450       3.300      0.5908557      0.5480283     0.04282746
       554     0.68000     0.68000       9.700      0.1704707     0.01490762      0.1555631
       559    -1.00000     1.26000     101.000   1.232114e-05   4.627763e-23   1.232114e-05
       561    -1.00000     1.60510      25.000        2.72194      0.3359198       2.386021
       562    -1.00000     2.65820      25.000       3.059699       3.018171     0.04152844
       564     4.05500     4.05500     101.000       25.33564    0.009630968       25.32601
       581    -1.00000     1.18526     101.000       0.985029     0.01885209      0.9661769
       593    -1.00000     1.67050      30.000      0.3431165      0.2499737     0.09314276
       597    -1.00000     2.57520     101.000       2.765035       1.553986       1.211049
       598     1.36400     1.36400      18.000     0.07986302     0.04993007     0.02993295
       604    -1.00000     0.59780     101.000   1.455309e-07   2.102513e-20   1.455309e-07
       606     1.00800     1.00800       6.100      0.8573929      0.3571337      0.5002592
       620     0.80000     0.80000       9.700      0.8823736      0.5109484      0.3714252
       621    -1.00000     2.73056      30.000     0.01694599     0.01694596   3.365934e-08
       622    -1.00000     1.16224     101.000       1.624682      0.0367014        1.58798
       628     1.25500     1.25500       9.700      0.1015419    0.006690262     0.09485168
       631    -1.00000     1.60510     101.000       7.162948       1.622421       5.540527
       637     0.50300     0.50300     101.000      0.1577385       0.156539    0.001199497
       638     0.71100     0.71100      12.100       8.858748   5.360893e-18       8.858748
       652    -1.00000     1.82310      25.000       1.692149      0.4503703       1.241779
       658     4.05100     4.05100     101.000     0.02517779     0.02457605   0.0006017402
       659     4.05600     4.05600      45.000       1.795895    0.009801538       1.786093
       661    -1.00000     1.21132       9.700     0.03610681   4.161282e-19     0.03610681
       664    -1.00000     2.09703      18.000      0.7067901      0.5867071       0.120083
       669     1.14200     1.14200     101.000       5.975485      0.2491885       5.726297
       672     0.94520     0.94520      14.500       14.48641      0.7298924       13.75652
       689     0.71300     0.71300     101.000    1.98953e-05   3.631884e-19    1.98953e-05
       692     0.28100     0.28100       3.300       3.187719       2.350892       0.836827
       697    -1.00000     2.17190     101.000       22.79624       9.725808       13.07043
       702    -1.00000     2.50980      45.000       18.90556       18.87956     0.02600036
       710    -1.00000     0.76540     101.000      0.6931048     0.01346573      0.6796391
       713     0.77620     0.77620       4.900       2.876327      0.3924927       2.483834
       714     4.05800     4.05800     101.000        62.5717   0.0004644944       62.57124
       718    -1.00000     0.86180       6.100      0.2515379     0.02773851      0.2237994
       719    -1.00000     1.98528      35.000      0.9135192      0.5283175      0.3852017
       721     0.59530     0.59530      12.100      0.1693452     0.07264028     0.09670492
       729     0.90500     0.90500      14.500      0.2105342     0.08998145      0.1205527
       737     0.58500     0.58500      12.100       9.727743     0.08706014       9.640683
       740    -1.00000     0.43580       4.900      0.4586024     0.02299949      0.4356029
       748    -1.00000     1.20220     101.000      0.8776582      0.5320876      0.3455706
       749     0.70800     0.70800      12.100       5.301274     0.07487606       5.226398
