#   fcut    ncut    nsou    rsou   gnsou   grsou
#
   0.000       0    3306   0.337    6800   1.000
   0.030       0    3306   0.337    6796   0.999
   0.060       0    3306   0.337    6796   0.999
   0.090       1    3305   0.337    6793   0.999
   0.120       2    3304   0.337    6792   0.998
   0.150       4    3302   0.337    6788   0.998
   0.180       5    3301   0.337    6782   0.997
   0.210       9    3297   0.336    6775   0.996
   0.240      12    3294   0.336    6763   0.994
   0.270      15    3291   0.336    6748   0.992
   0.300      16    3290   0.336    6732   0.990
   0.330      17    3289   0.335    6727   0.989
   0.360      24    3282   0.335    6706   0.986
   0.390      32    3274   0.334    6668   0.980
   0.420      42    3264   0.333    6639   0.976
   0.450      50    3256   0.332    6617   0.973
   0.480      58    3248   0.331    6590   0.969
   0.510      66    3240   0.330    6553   0.963
   0.540      73    3233   0.330    6518   0.958
   0.570      80    3226   0.329    6492   0.954
   0.600      86    3220   0.328    6449   0.948
   0.630      90    3216   0.328    6418   0.943
   0.660      94    3212   0.328    6385   0.939
   0.690      97    3209   0.327    6348   0.933
   0.720     101    3205   0.327    6312   0.928
   0.750     104    3202   0.327    6262   0.920
   0.780     108    3198   0.326    6222   0.915
   0.810     109    3197   0.326    6176   0.908
   0.840     111    3195   0.326    6149   0.904
   0.870     113    3193   0.326    6107   0.898
   0.900     116    3190   0.325    6061   0.891
   0.930     119    3187   0.325    6037   0.887
   0.960     122    3184   0.325    5993   0.881
   0.990     124    3182   0.324    5957   0.876
   1.020     129    3177   0.324    5913   0.869
   1.050     132    3174   0.324    5873   0.863
   1.080     137    3169   0.323    5834   0.858
   1.110     140    3166   0.323    5795   0.852
   1.140     143    3163   0.323    5769   0.848
   1.170     146    3160   0.322    5741   0.844
   1.200     148    3158   0.322    5709   0.839
   1.230     151    3155   0.322    5673   0.834
   1.260     154    3152   0.321    5656   0.831
   1.290     155    3151   0.321    5628   0.827
   1.320     155    3151   0.321    5598   0.823
   1.350     157    3149   0.321    5559   0.817
   1.380     158    3148   0.321    5530   0.813
   1.410     162    3144   0.321    5501   0.809
   1.440     162    3144   0.321    5481   0.806
   1.470     165    3141   0.320    5460   0.803
   1.500     166    3140   0.320    5420   0.797
