#           _id          snr100      snr160      snr250      snr350      snr500     snr1160       snrIR
#
            451              0       1.388         -99         -99         -99         -99       1.388
            468       0.815844      0.0301   1.383e-07       1.106      0.3742       1.603       2.145
            481        3.20848       1.883         -99         -99         -99         -99        3.72
            482    3.31572e-05   1.615e-05         -99         -99         -99         -99   3.688e-05
            490     4.4715e-05   1.047e-05         -99         -99         -99         -99   4.592e-05
            498        0.90807       1.817       3.936      0.9613      0.4283       1.186       4.705
            501        1.86645       2.658   7.865e-08         -99         -99         -99       3.248
            502    5.00332e-05   2.575e-05         -99         -99         -99         -99   5.627e-05
            503    4.62957e-05   1.673e-05         -99         -99         -99         -99   4.922e-05
            505    4.73139e-05   1.308e-05         -99         -99         -99         -99   4.909e-05
            506         2.1665   2.669e-05         -99         -99         -99         -99       2.166
            509         1.3034      0.6982         -99         -99         -99         -99       1.479
            510        18.1294       13.26       4.197       1.561         -99         -99        22.9
            512        3.22765       1.225         -99         -99         -99         -99       3.452
            516    4.02674e-05      0.3029       1.816       0.485       1.252       0.697       2.383
            521        1.02872       1.287         -99         -99         -99         -99       1.648
            530        2.57633       2.848         -99         -99         -99         -99       3.841
            532        12.6124       15.67       6.986       1.609         -99         -99       21.35
            533        1.48955       1.266         -99         -99         -99         -99       1.955
            540        1.67634       1.009      0.9435         -99         -99         -99       2.172
            541        6.23105       8.923       2.025         -99         -99         -99       11.07
            546        4.35387       5.575       1.545       1.164       1.144      0.6669       7.452
            547        7.63653       7.027       3.082       1.206      0.8664       1.101       10.98
            548        5.71388        4.78       4.706       1.621      0.3769   2.505e-10       8.967
            550    3.62979e-05   1.777e-05         -99         -99         -99         -99   4.042e-05
            552        11.3103       6.833       3.152      0.7369         -99         -99        13.6
            554        2.73593       5.216   6.544e-08         -99         -99         -99        5.89
            559        5.24796       8.307       2.421       1.035         -99         -99       10.17
            561       0.404442   1.475e-05         -99         -99         -99         -99      0.4044
            562        3.35178      0.9679      0.9203         -99         -99         -99       3.608
            564        2.40209        10.8       9.112       5.942       6.329       10.96       20.02
            581    4.90874e-05       1.204         -99         -99         -99         -99       1.204
            593        1.83286       5.771       1.988      0.5107         -99      0.6965       6.431
            597       0.803914   2.836e-05         -99         -99         -99         -99      0.8039
            598        6.32704       4.392       1.929       1.267         -99         -99        8.04
            604    2.12759e-06       0.164         -99         -99         -99         -99       0.164
            606     3.8088e-05   1.421e-05         -99         -99         -99         -99   4.065e-05
            620        3.78689       6.672      0.5003         -99         -99         -99       7.688
            621        5.94295       5.637       2.246       1.752         -99      0.5248       8.688
            622        1.96145   1.984e-05         -99         -99         -99         -99       1.961
            628    4.71214e-05       2.942         -99         -99         -99         -99       2.942
            631        2.34951       1.571       2.286         -99         -99         -99       3.635
            637        3.79801       3.571       2.316         -99         -99         -99       5.705
            638    7.53824e-06       4.547       8.142       4.255       3.362   2.555e-10       10.79
            652    4.65965e-05       4.462       1.115         -99         -99         -99       4.599
            658        1.66393       3.254       5.854       4.089       1.188       1.485       8.244
            659        1.26651       3.309      0.9086      0.5769        2.46       2.723       5.213
            661       0.385276           0         -99         -99         -99         -99      0.3853
            664       0.910218     0.06433         -99         -99         -99         -99      0.9125
            669        6.85041       7.883       2.875       2.778         -99         -99       11.18
            672        3.68526       1.181         -99         -99         -99         -99        3.87
            689        1.00938     0.06003         -99         -99         -99         -99       1.011
            692        14.9727       11.53       15.22       3.111       1.056         -99       24.49
            697        1.50955       1.328         -99         -99         -99         -99       2.011
            702       0.228235       2.626         -99         -99         -99         -99       2.636
            710    4.00213e-05   1.593e-05         -99         -99         -99         -99   4.308e-05
            713         1.5024   2.187e-05         -99         -99         -99         -99       1.502
            714        1.36467       3.845       1.288   6.406e-08   3.548e-08   3.152e-10       4.278
            718       0.764572       2.694         -99         -99         -99         -99       2.801
            719       0.356536       1.837         -99         -99         -99         -99       1.871
            721       0.175997       2.833         -99         -99         -99         -99       2.838
            729        3.30007       2.866         -99         -99         -99         -99       4.371
            737        19.6773       12.76       6.057       1.052         -99         -99       24.25
            740        2.03723     7.2e-06         -99         -99         -99         -99       2.037
            748    3.39495e-05   1.658e-05         -99         -99         -99         -99   3.778e-05
            749    1.53768e-05        1.67         -99         -99         -99         -99        1.67
            753        0.67097         -99         -99         -99         -99         -99       0.671
            760        2.31866       1.324         -99         -99         -99         -99        2.67
            762        2.96178      0.3329         -99         -99         -99         -99        2.98
            768      0.0237563      0.6521         -99         -99         -99         -99      0.6525
            776        1.53944       2.593         -99         -99         -99         -99       3.016
            779       0.877102   2.282e-05         -99         -99         -99         -99      0.8771
            786       0.742343       1.061         -99         -99         -99         -99       1.295
            793    5.19131e-05   2.334e-05         -99         -99         -99         -99   5.692e-05
            804       0.846211       1.401         -99         -99         -99         -99       1.637
            805        1.95875       1.011       2.016         -99         -99         -99       2.987
            807        6.34112       5.073        2.44       1.119   4.346e-08      0.1739       8.555
            808        7.81111       2.126    5.05e-08         -99         -99         -99       8.095
            809       0.281737    0.007062         -99         -99         -99         -99      0.2818
            825       0.614039      0.9252         -99         -99         -99         -99        1.11
            826        1.66032       2.766         -99         -99         -99         -99       3.226
            827         12.761       12.18         3.7       6.239        5.19      0.5682       19.78
            837        1.06448       1.154       1.118   4.739e-08      0.4002      0.8165       2.131
            841        0.44782      0.5927   1.353e-07   5.606e-08   3.279e-08       2.924       3.017
            849        1.10139    1.69e-05         -99         -99         -99         -99       1.101
            860      0.0523868       1.412           0         -99         -99         -99       1.413
            866    3.58486e-05        1.14         -99         -99         -99         -99        1.14
            867       0.215791       2.572         -99         -99         -99         -99       2.581
            870        16.4812        12.3       2.259      0.5862         -99         -99        20.7
            872        2.88698   1.529e-05         -99         -99         -99         -99       2.887
            877       0.373887    9.14e-06       1.358         -99         -99         -99       1.409
            878        4.32226       1.835         -99         -99         -99         -99       4.696
            881        2.10481      0.7334         -99         -99         -99         -99       2.229
            884       0.123999       6.773       2.989       1.999      0.9026   1.833e-10       7.722
            885        8.14637       1.313       1.849         -99         -99         -99       8.456
            886        1.88653       1.707         -99         -99         -99         -99       2.544
            892      0.0591837       1.573         -99         -99         -99         -99       1.574
            893        7.95095       7.666       4.634       2.143         -99         -99       12.17
            899       0.482248    1.67e-05         -99         -99         -99         -99      0.4822
            902        6.25202       6.432       4.086       1.472         -99         -99       9.966
            915        1.90476       8.562       5.002       1.452      0.3673       1.709       10.35
            917        4.59483       5.115       3.752       3.833       1.884   2.443e-10       8.922
            922       0.839388       1.876         -99         -99         -99         -99       2.055
            923        5.72829       6.651       3.795       2.426        1.14      0.7316       9.959
            924    4.87379e-05      0.6245         -99         -99         -99         -99      0.6245
            926          2.234   1.184e-05       1.471         -99         -99         -99       2.675
            928       0.382986      0.9865         -99         -99         -99         -99       1.058
            931        3.11983       4.336   6.723e-08         -99         -99         -99       5.341
            934        1.95467       2.925         -99         -99         -99         -99       3.518
            937        4.32824     0.03819         -99         -99         -99         -99       4.328
            939        15.3623       7.659       1.389       1.636         -99         -99        17.3
            950        2.99792       0.626         -99         -99         -99         -99       3.063
            951        2.54451       4.773       1.999         -99         -99         -99       5.767
            960    2.48433e-05       1.112         -99         -99         -99         -99       1.112
            965    5.61521e-05       3.452       1.138         -99         -99         -99       3.635
            966       0.932384   2.222e-05         -99         -99         -99         -99      0.9324
            972       0.475929   1.852e-05         -99         -99         -99         -99      0.4759
            974            -99         -99         -99       1.232      0.9735       1.651           0
            994       0.884713       0.352         -99         -99         -99         -99      0.9522
            995        2.61352       3.777       3.457       1.671         -99         -99       5.987
           1002        4.84365       2.498         -99         -99         -99         -99        5.45
           1005        7.97674       11.01       5.067       1.729       1.752   4.807e-10       14.71
           1006        18.6533       23.23       5.006       2.072         -99         -99       30.28
           1008        8.85171       8.578       3.352       1.635         -99         -99       12.88
           1023       0.651735        2.09         -99         -99         -99         -99       2.189
           1026    5.56747e-05       1.321         -99         -99         -99         -99       1.321
           1035      0.0238027    3.12e-05         -99         -99         -99         -99      0.0238
           1036       0.182058   1.307e-05     0.04054   4.507e-08      0.2494   2.355e-10      0.3115
           1037        3.20763       3.191       2.616         -99         -99         -99       5.226
           1042        1.92419         -99         -99         -99         -99         -99       1.924
           1053        3.55638      0.9361       0.236      0.3646         -99   4.085e-10       3.703
           1058    5.16993e-05       2.124         -99         -99         -99         -99       2.124
           1064        3.03549       2.284         -99         -99         -99         -99       3.799
           1075       0.985259        1.03         -99         -99         -99         -99       1.425
           1076        5.19605       1.471       1.207       2.137         -99      0.7346       5.977
           1077        3.50228       2.153       1.403         -99         -99         -99       4.344
           1081        1.55306       1.537         -99         -99         -99         -99       2.185
           1084        13.2988       11.81       6.201        3.58       3.201      0.8515       19.46
           1089        1.54958       2.014         -99         -99         -99         -99       2.541
           1091       0.457818   3.155e-05         -99         -99         -99         -99      0.4578
           1094         2.1892        3.06       5.308       2.553         -99       1.351       7.119
           1101        1.10602   9.786e-06         -99         -99         -99         -99       1.106
           1102        8.51122       1.179         -99         -99         -99         -99       8.592
           1103        9.86128       8.243        1.78         -99         -99         -99       12.98
           1104        7.12464       2.586      0.7764         -99         -99         -99       7.619
           1105        6.99233       7.435        4.15      0.6215         -99         -99       11.04
           1109        4.04515       5.369       2.387       2.015       1.671   2.826e-10       7.598
           1113        1.83226       2.412         -99         -99         -99         -99       3.029
           1118        5.65081       5.287       2.505         -99         -99         -99       8.134
           1121        2.43385      0.6251         -99         -99         -99         -99       2.513
           1123    5.49435e-05   1.888e-05         -99         -99         -99   2.902e-10    5.81e-05
           1125    3.05849e-05   1.005e-05         -99         -99         -99         -99   3.219e-05
           1129         2.2335       3.094       0.578      0.4268         -99   1.526e-10       3.883
           1133        2.07915      0.1342         -99         -99         -99         -99       2.083
           1135        8.47563       15.75       4.494       2.261         -99         -99       18.58
           1140        1.80902    1.13e-05         -99         -99         -99         -99       1.809
           1141         2.5463       2.087      0.9143         -99         -99         -99       3.417
           1143        10.6791       9.323       3.902      0.5798         -99         -99       14.71
           1144        1.08278     0.05219         -99         -99         -99         -99       1.084
           1146      0.0697913   9.993e-06     0.01959   4.772e-08   2.648e-08   2.396e-10     0.07249
           1147        4.88881         1.7         -99         -99         -99         -99       5.176
           1148        3.22727        1.98       2.664       1.785        1.29       1.476       5.335
           1150        4.70901       2.834       1.108         -99         -99         -99       5.607
           1159        2.44245       4.281       2.844       5.773       2.769       4.085       9.491
           1160       0.388013    2.22e-05         -99         -99         -99         -99       0.388
           1167        1.91898       2.211       1.724       0.649      0.5706   1.342e-10       3.506
           1168         5.2141       6.513       2.737      0.8916      0.6663       1.159       8.927
           1172        1.10121   1.714e-05         -99         -99         -99         -99       1.101
           1181    5.38819e-05   1.952e-05         -99         -99         -99         -99   5.731e-05
           1186        1.36905        1.03   6.296e-08         -99         -99         -99       1.713
           1202        1.74078       1.355         -99         -99         -99         -99       2.206
           1208        2.67285       2.778         -99         -99         -99         -99       3.855
           1221        1.89712       3.059       1.268         -99         -99         -99       3.816
           1222       0.817335       1.045         -99         -99         -99         -99       1.327
           1225        5.69065       4.496       3.704       3.068       1.886         -99       8.904
           1235        7.76544        5.27   4.695e-08   1.955e-08         -99         -99       9.385
           1239        19.1208       12.49       9.837       5.783       1.006         -99       25.55
           1248        9.17732       10.25       4.193       2.437      0.3898   2.416e-10       14.59
           1252    5.44075e-05         -99         -99         -99         -99         -99   5.441e-05
           1253    5.42117e-05       1.692         -99         -99         -99         -99       1.692
           1262       0.507507   9.338e-06       2.046      0.8153      0.4677       1.539       2.774
           1269        3.56852       4.565       1.555   4.123e-08   3.057e-08      0.6608       6.036
           1270        2.66654   2.546e-05         -99         -99         -99         -99       2.667
           1273              0      0.3958         -99         -99         -99         -99      0.3958
           1278        1.84646       1.342         -99         -99         -99         -99       2.283
           1284        1.07356       2.026       2.428       1.282       3.121       3.465       5.878
           1285         5.4773       3.646       5.324       1.125         -99         -99       8.539
           1293        5.88426       5.506        3.28       1.163         -99         -99       8.778
           1303        2.57381       1.135         -99         -99         -99         -99       2.813
           1306    4.87536e-05   3.273e-05         -99         -99         -99         -99   5.872e-05
           1313        1.33528       2.672         -99         -99         -99         -99       2.987
           1315        3.14171       3.737       1.686         -99         -99         -99       5.165
           1320        4.04703        0.89         -99         -99         -99         -99       4.144
           1334       0.381952       0.941         -99         -99         -99         -99       1.016
           1335        4.42969       1.202         -99         -99         -99         -99        4.59
           1337        7.61423       1.973       1.415         -99         -99         -99       7.992
           1338         2.9933       7.603       1.101         -99         -99         -99       8.245
           1341        7.89763       7.114       3.349       1.707         -99         -99       11.27
           1342        2.19197         -99         -99         -99         -99         -99       2.192
           1348        1.19597       2.282         -99         -99         -99         -99       2.576
           1350        1.74617       2.163         -99         -99         -99         -99        2.78
           1355       0.978149        1.03         -99         -99         -99         -99        1.42
           1357        2.71261       1.239         -99         -99         -99         -99       2.982
           1367              0       1.156         -99         -99         -99         -99       1.156
           1368        2.18289        5.78        8.87       2.941         -99      0.8649       11.24
           1369        1.89624       4.287       2.944         -99         -99         -99       5.535
           1371        1.17367       1.097         -99         -99         -99         -99       1.607
           1384        3.50705       5.559       1.136      0.8189         -99       1.109       6.811
           1387        1.03911   3.985e-06       1.436      0.9647      0.1573      0.5089       2.087
           1391        2.33159      0.4855         -99         -99         -99         -99       2.382
           1393        2.08763         3.5     0.01915         -99         -99         -99       4.075
           1394        10.0715       7.422       2.024   3.186e-08         -99         -99       12.67
           1396       0.839466       0.174         -99         -99         -99         -99      0.8573
           1401    3.69843e-05   1.293e-05         -99         -99         -99         -99   3.918e-05
           1402        1.33474       2.073       2.922         -99         -99         -99       3.823
           1416      0.0683976         -99         -99         -99         -99         -99      0.0684
           1419        1.28505       1.224         -99         -99         -99         -99       1.775
           1420        2.87991       1.499       3.808       1.604         -99   3.305e-10       5.255
           1434          8.008       4.491       1.729         -99         -99         -99       9.343
           1437       0.770522      0.9676         -99         -99         -99         -99       1.237
           1445        11.0887       12.22       6.149       9.892       3.093       3.303        20.7
           1449        5.07618       2.889         -99         -99         -99         -99       5.841
           1452       0.682724       5.655   6.946e-08      0.4794         -99         -99       5.717
           1458         6.8691       3.785        5.04       1.399         -99         -99       9.427
           1469    3.21177e-05         -99         -99         -99         -99         -99   3.212e-05
           1475        10.6308       10.95       8.937       5.797       2.713      0.5847       18.82
           1476        1.43613       4.075       1.245         -99         -99         -99       4.496
           1477       0.577372         -99         -99         -99         -99         -99      0.5774
           1479        1.46214   1.262e-05         -99         -99         -99         -99       1.462
           1480     3.0924e-05   1.361e-05         -99         -99         -99         -99   3.379e-05
           1490        4.18242       4.837       2.023       1.538      0.9449      0.1522       6.947
           1491        8.29114       5.561       3.195      0.4091         -99         -99       10.49
           1495    3.04982e-05   1.703e-05      0.3584       1.438      0.7617         -99       1.667
           1497    4.88485e-05       1.281         -99         -99         -99         -99       1.281
           1501        2.59922       7.092       8.915       3.886      0.8776         -99       12.35
           1502    5.14169e-05   1.795e-05         -99         -99         -99         -99   5.446e-05
           1513        1.01029       1.538         -99         -99         -99         -99        1.84
           1515        7.01498       4.966       8.622       3.091       2.631         -99       12.83
           1520        2.79091       1.499         -99         -99         -99         -99       3.168
           1524       0.380939    1.76e-05         -99         -99         -99         -99      0.3809
           1525        1.63245       4.476       1.508         -99         -99         -99       4.997
           1532       0.481338   1.236e-05         -99         -99         -99         -99      0.4813
           1533         9.4593       15.02       7.806       2.732         -99         -99       19.58
           1543    5.11375e-05   1.754e-05         -99         -99         -99         -99   5.406e-05
           1544      0.0558043       1.609         -99         -99         -99         -99        1.61
           1545        2.23081       0.645         -99         -99         -99         -99       2.322
           1548    4.31395e-05         -99         -99         -99         -99         -99   4.314e-05
           1551     5.6194e-05      0.7786         -99         -99         -99         -99      0.7786
           1556       0.339729    2.13e-05         -99      0.3948       1.061      0.4934       1.281
           1558        1.86594       3.926       1.304         -99         -99         -99       4.538
           1563        1.33366   1.196e-05         -99         -99         -99         -99       1.334
           1567        5.95911       4.605       2.367         -99         -99         -99       7.894
           1569        2.56248       3.039   7.648e-08         -99         -99         -99       3.975
           1579        1.51687   2.215e-05         -99         -99         -99         -99       1.517
           1592        4.75328       6.375       1.186         -99         -99         -99        8.04
           1593        1.05208       2.135         -99         -99         -99         -99        2.38
           1602       0.106359      0.4552         -99         -99         -99         -99      0.4674
           1604        1.46693       1.753         -99         -99         -99         -99       2.285
           1606        2.11788      0.8234         -99         -99         -99         -99       2.272
           1616        2.54713       2.606       1.323         -99         -99         -99       3.877
           1618        3.79114       6.217       6.814       4.092       3.659      0.5655        11.4
           1622        3.24593       2.937         -99         -99         -99         -99       4.377
           1626    6.49978e-05         -99         -99         -99         -99         -99     6.5e-05
           1629        1.14914        1.45         -99         -99         -99         -99        1.85
           1631        0.59108       1.212      0.9337         -99         -99         -99        1.64
           1633        26.7525       18.96       8.463       4.089        1.13         -99       34.13
