#      Type_SED        SAVEDid          lgSFR          msSFR          xfSFR          xeSFR           MassX
#
              0            530       0.500922       0.896765          3.169          1.176          10.31
              0            532        1.62613        1.42955          42.28          1.606           10.7
              0            533       0.643847        1.77109          4.404          3.187          11.09
              0            540        1.76148        2.07136          57.74          41.86          10.86
             -1            541        1.08135        1.64964          12.06         0.4562          11.12
              0            546        2.68511        2.54527          484.3          257.3          11.25
              0            547        2.63236        2.24933          428.9          183.2          10.96
              0            548        2.04766        2.52166          111.6          50.89          11.59
              0            550       0.886547      0.0471821          7.701          3.145           8.76
             -1            552       0.649432       0.779033          4.461         0.1953          10.29
             -1            554       0.675687       0.657071          4.739         0.3117           9.97
              0            559        1.75166        1.87512          56.45          24.79          11.06
              0            561        1.16791        1.34716          14.72          12.03          10.31
              0            562        1.88434        2.28905          76.62          56.08          10.95
              1            564        3.22037        2.81738           1661          26.77          11.49
              0            581       0.966236       0.857775          9.252           7.57           9.74
              0            593        1.84004        1.62797          69.19          31.38          10.63
              0            597        1.61731        1.33111          41.43          34.21           9.89
              0            598        1.53479        1.72968          34.26          14.46          10.81
              0            604       0.588384       0.661135          3.876          3.042          10.07
             -1            606       0.728597        1.03904          5.353          1.149          10.18
             -1            620       0.910358       0.985368          8.135         0.4357          10.28
              0            621        2.32118        2.20688          209.5          85.31          10.94
              0            622        1.10687        1.41283          12.79          9.824          10.43
              0            628       0.958421        1.09833          9.087          3.105          10.08
              0            631        1.52492       0.999558          33.49          15.85           9.87
             -1            637       0.472903        0.98327          2.971         0.1964          10.55
             -1            638        1.31048        1.55599          20.44         0.2907          11.08
             -1            652        1.59095        1.58047          38.99           9.94           10.4
              1            658        2.96336        2.57232          919.1          36.67          11.18
             -1            659          2.854        2.95172          714.5          54.44          11.66
              0            661       0.832126       0.771837          6.794          5.234            9.6
              0            664        1.46464        1.58196          29.15          22.64          10.18
              0            669        1.65992         1.3457           45.7           3.42          10.47
             -1            672       0.665769        1.87747          4.632         0.8562          11.29
              0            689       0.521007       0.720003          3.319          2.058          10.02
             -1            692        0.43409        1.57784          2.717        0.02361          11.53
              1            697        1.86558       0.607692          73.38          6.126           9.01
              0            702        1.60853        1.18933           40.6          33.32           9.73
              0            710       0.311542       0.338614          2.049          1.423           9.35
             -1            713       0.367356       0.454146           2.33         0.6813          9.628
              1            714        2.65321         2.1223            450          17.95          10.61
              0            718        0.96647        1.26199          9.257          5.982          10.49
              0            719        1.18384        1.55735          15.27          10.86          10.26
             -1            721       0.115611       0.713717          1.305         0.4328          10.12
             -1            729       0.759668       0.610243           5.75          1.658          9.718
             -1            737        1.08778        1.34593          12.24         0.3681          10.93
              0            740    -0.00753485       0.511572         0.9828         0.6464          10.04
              0            748       0.689486       0.982266          4.892          2.815           9.89
             -1            749       0.477555       0.985077          3.003         0.5086          10.36
              0            753       -0.64859       0.892585         0.2246         0.1017          10.61
             -1            760       0.726075       0.844465          5.322          1.582          10.05
             -1            762       0.771881        2.04297          5.914         0.9479           11.7
              0            768        1.50826        1.49842          32.23          27.46          10.03
              0            776       0.240799       0.440991          1.741          1.109            9.8
             -1            779       0.902112        2.11777          7.982          1.976          11.25
              0            786        1.25188        1.43783          17.86          9.596           9.98
              1            793        1.98308       0.874238          96.18          23.02          9.198
              0            804       0.719497       0.901476          5.242          3.841          10.05
              0            805        1.44217        1.45474          27.68          11.76          10.38
              0            807        2.50037        1.54546          316.5          153.9          10.06
             -1            808       0.512017        1.20477          3.251         0.3106          10.86
              0            809      -0.166917        1.15972         0.6809         0.2308           10.8
             -1            825       0.802158        1.07903          6.341          1.255          10.22
              0            826       0.547405       0.813435          3.527          2.272          10.22
             -1            827        2.10958        2.01746          128.7          5.812          11.17
              0            837        3.10278       -84.4636           1267           1067            -99
              1            841        3.29951        -84.518           1993          280.4            -99
              0            849        1.23955        1.14664          17.36          6.191           9.98
             -1            860        1.85376        2.63633          71.41          11.56          11.38
              0            866        1.08743        1.93557          12.23          9.558          11.13
              0            867       0.895699        1.08443          7.865           3.47          10.05
              0            870        1.55133        1.21745          35.59          4.645          10.54
              0            872        1.67422        1.83104          47.23          23.83           10.6
              0            877         1.4894        1.47787          30.86           21.6          10.44
              0            878      -0.340274      -0.545568         0.4568        0.05282          8.848
              0            881        1.32366        1.23365          21.07          11.98           9.81
              1            884         2.8884        2.34131          773.4            185          10.91
              0            885        1.05231      -0.433705          11.28           5.36          8.398
             -1            886      0.0989896       0.993041          1.256         0.3258          10.59
              0            892        1.09864        1.43837          12.55          6.867          10.39
             -1            893         1.3707        1.38442          23.48         0.8909          10.67
              0            899       -0.22878        1.41315         0.5905         0.3589          11.11
             -1            902        1.21722        1.16109          16.49          1.321          10.37
              0            915         2.3995        2.15097          250.9          29.71          10.83
              0            917        1.91046        1.71367          81.37          32.51          10.71
              0            922        1.07188        1.86099           11.8          6.187          10.74
              0            923        2.25115        1.40102          178.3          69.87          10.11
              0            924      -0.157953       0.352475         0.6951         0.4443           9.79
              0            926        1.46553       0.909599          29.21          20.85          9.638
              0            928       0.300161       0.182572          1.996          1.463           9.24
              0            931        0.73456       0.764331          5.427          2.962          10.05
             -1            934       0.492201       0.455636          3.106         0.6238           9.69
              0            937       0.964684        1.16398          9.219          3.672          10.32
             -1            939        1.58286        1.49939          38.27          4.449          10.81
             -1            950        2.00217         2.8682          100.5          32.68          11.72
              0            951     -0.0355047       -0.26839         0.9215         0.6082          9.188
              0            960      -0.138048        1.85457         0.7277         0.5469          11.74
             -1            965         1.3638        1.47834          23.11          5.442          10.39
             -1            966        1.00432        1.25716           10.1          1.605          10.25
              0            972      -0.413638      -0.802357         0.3858         0.1685          8.448
              1            974        3.07372        2.51482           1185          289.5           11.1
              0            994        1.04883       0.969418          11.19          7.038          10.01
             -1            995        1.30578        1.21917          20.22          1.653           10.2
             -1           1002       0.965954        1.44471          9.246          1.287          10.74
              0           1005        2.60412        2.29024          401.9          187.4          10.95
             -1           1006         1.6797        1.91746          47.83          2.069          11.34
             -1           1008        1.44855         1.5888          28.09          2.276          10.86
              0           1023        1.56348        2.26894           36.6          32.03          11.09
             -1           1026        1.27207        1.33994          18.71          4.624          10.08
              0           1035       0.172311      0.0602374          1.487         0.5494          9.128
              1           1036        2.73102        1.97937          538.3            115          10.42
             -1           1037       0.692318       0.996794          4.924         0.5198          10.32
             -1           1042       0.428621        0.80758          2.683         0.5112          9.848
              0           1053        2.05115        2.23551          112.5             77          10.99
              0           1058       0.675595        1.53883          4.738          2.636          10.79
              0           1064       0.409764        0.62055          2.569          1.666          10.01
              0           1075        1.02898        1.55674          10.69          5.559           10.8
              0           1076        1.83518        1.23743          68.42          31.93          10.04
             -1           1077        1.12905        1.24887          13.46          2.095           10.5
              0           1081      -0.295078       -1.12827         0.5069         0.4502           8.16
             -1           1084        1.78469        1.88401          60.91          1.756          11.15
              0           1089         1.0086        1.45159           10.2          5.553          10.73
              0           1091        1.45682        1.62399          28.63          20.84          10.13
              0           1094        2.37912         2.0284          239.4          38.39          10.53
              0           1101       0.943445        1.13002          8.779          7.296          10.24
             -1           1102       0.370513       0.231021          2.347         0.1833          9.628
              0           1103        1.77305        1.51589           59.3          3.702          10.54
              0           1104       0.676785       0.435265          4.751         0.7374          9.768
             -1           1105         1.2418        1.66348          17.45          1.325          11.02
              0           1109        3.55642       -84.4636           3601           3194            -99
              0           1113        1.21059       0.943863          16.24          3.631           9.76
              0           1118       0.288026    -0.00179021          1.941        0.09195           9.42
             -1           1121       0.741309        1.87787          5.512          1.646          11.41
              0           1123        1.80882        1.86558          64.39          46.73          10.37
              0           1125       0.684396        1.78272          4.835          2.481          11.11
              0           1129        2.01452         1.8023          103.4          52.35           10.4
             -1           1133      -0.689307      -0.175226         0.2045        0.05358           9.34
              1           1135      -0.727694       -2.99235         0.1872        0.03198          5.908
              0           1140      0.0178677      -0.482848          1.042         0.8109           8.72
              0           1141         1.3485        1.18162          22.31          11.28          10.24
             -1           1143       0.104146       0.558236          1.271         0.0516          10.24
              0           1144       0.810434        1.92633          6.463          5.553          11.08
              1           1146        3.26387       -84.5122           1836          323.2            -99
              0           1147        1.17231        1.33792          14.87          5.425          10.38
              0           1148        2.60767        2.71377          405.2          236.4          11.44
              0           1150        1.35736        1.50848          22.77             10          10.53
             -1           1159        2.52556        2.58704          335.4          96.43          11.31
              0           1160        1.41044        1.87935          25.73          16.14          10.56
              1           1167        2.49276        1.63733            311           13.3          10.12
              0           1168        3.08743       -84.5068           1223          829.4            -99
              0           1172       0.970114        1.57873          9.335          6.394          10.64
              0           1181        1.01452        1.59444          10.34          5.384          10.42
              0           1186         1.3707        1.60883          23.48          16.98           10.6
              0           1202        1.11959        1.24204          13.17          5.895          9.948
              0           1208        1.32387         1.2726          21.08          7.567          10.14
              0           1221        1.18327         1.2489          15.25           6.38          10.33
              0           1222       0.558589       0.620966          3.619          3.022          9.718
              0           1225       0.824711        0.92822          6.679          3.228          10.45
             -1           1235        1.36248        1.22754          23.04          7.432          10.51
             -1           1239        1.53504        2.24971          34.28          2.826          11.85
              0           1248        1.90763        1.50921          80.84          34.47          10.61
              0           1252        1.14082        1.29045          13.83          8.902          9.858
             -1           1253        1.49346        1.50272          31.15          8.757          10.27
             -1           1262        2.90677        3.79583          806.8          135.6          12.74
              0           1269        2.17143        1.81079          148.4          64.53          10.52
             -1           1270        0.80679         0.9647          6.409          2.114          10.03
              0           1273       0.377124       0.765441          2.383         0.8701          10.05
              0           1278        1.22608        1.35194          16.83          8.443          10.23
              0           1284        2.52035        2.18949          331.4          117.1          10.73
              0           1285      -0.547294       -1.17378         0.2836         0.1498          8.138
             -1           1293       0.955736        1.05235          9.031         0.8282          10.37
              0           1303       0.248219       0.108336          1.771         0.6099          9.318
              0           1306       -2.22076       -2.73991       0.006015       0.006014          6.328
              0           1313       0.154728      -0.427943          1.428          1.068           8.86
              0           1315        1.66801        1.61565          46.56           18.4          10.47
              0           1320         1.2014        1.21651           15.9          7.604          10.31
              0           1334        1.16346        2.15207          14.57          10.88          11.17
              0           1335         1.0406         1.0668          10.98           4.83           10.2
              0           1337        1.23274        1.06278          17.09          7.544          10.27
             -1           1338        1.55047        1.63987          35.52          3.388           10.7
             -1           1341        1.33001        1.26024          21.38          2.178          10.46
              0           1342       -2.34688       -1.95781       0.004499       0.004498          7.318
              0           1348      -0.094906       0.333759         0.8037         0.5171          9.708
              0           1350        1.19117        1.17175          15.53          9.339          10.24
              0           1355        1.09864        1.25459          12.55          8.608          10.32
             -1           1357        1.10789        1.29566          12.82          3.945          10.26
             -1           1367        1.17377        1.33131          14.92          2.878          10.08
              0           1368        2.23528        2.43266          171.9          60.95          11.21
              0           1369        1.87518        1.97289          75.02          30.21          10.76
             -1           1371       0.672929        0.77826          4.709         0.9409          9.828
              0           1384        1.75884        1.62117          57.39          29.15           10.7
              0           1387        3.11494       -84.4605           1303           1291            -99
              0           1391       0.517855       0.810452          3.295          1.279          9.868
              0           1393         1.2667       0.987746          18.48          11.11           9.97
             -1           1394       0.606919       0.661152          4.045        0.07418          10.35
              0           1396       0.276462       0.966452           1.89          1.353          10.33
              0           1401        1.39058        1.50368          24.58          19.23          10.18
              0           1402        1.75097         1.9235          56.36          28.97           10.8
              0           1416        1.29425        1.64195          19.69           8.63          10.28
             -1           1419       0.921634        1.56233          8.349          2.321          10.74
              0           1420        1.82995        1.72324           67.6          32.32           10.7
             -1           1434       0.568436       0.740322          3.702         0.4084          10.26
              1           1437         1.3969       0.416431          24.94         0.5439           9.16
              0           1445         2.5649        2.76598          367.2          133.1           11.7
             -1           1449       0.298635       0.848805          1.989         0.2473          10.37
              0           1452        1.71517        1.50467           51.9          25.83          10.54
              0           1458        1.52414         1.5569          33.43          12.15          10.52
             -1           1469       0.448861        1.70238          2.811         0.8133          10.95
             -1           1475        2.24797        2.12646            177          55.23          11.02
             -1           1476       0.793231        1.40778          6.212         0.9611          10.78
              0           1477       -3.06661        -2.1883      0.0008578      0.0008549           7.06
              0           1479        0.73175        1.10716          5.392          3.691          10.33
              0           1480        1.61637         2.4811          41.34           33.3          11.23
              0           1490        2.16107        1.93158          144.9          68.58          10.79
             -1           1491        1.25139        1.10487          17.84          3.745           10.4
              0           1495        1.30298       -84.8368          20.09          20.09            -99
              0           1497          1.824        2.18431          66.68          28.85          10.97
             -1           1501        1.68708        2.10994          48.65         0.7618          11.25
              0           1502        1.39967        1.50692           25.1           20.5           10.2
              0           1513       0.786822        1.89404          6.121          3.617          11.26
             -1           1515        1.44871        1.30361           28.1         0.6954          10.38
             -1           1520       0.139879         1.2272           1.38         0.4242          10.83
              0           1524       0.537315        1.00441          3.446          1.781          10.23
              0           1525       0.262925        2.60499          1.832         0.9004          12.47
              0           1532       0.518909          1.544          3.303          2.059          10.84
