#   coo_zmin    coo_zmax    coo_zcen    coo_zdis         coo_zvol
#
      4.0000      4.0000      4.0000      0.0000               0
      4.0000      4.0400      4.0200      0.0400       17577.628
      4.0000      4.0800      4.0400      0.0800       35086.604
      4.0000      4.1200      4.0600      0.1200       52526.706
      4.0000      4.1600      4.0800      0.1600       69897.465
      4.0000      4.2000      4.1000      0.2000       87198.843
      4.0000      4.2400      4.1200      0.2400       104430.69
      4.0000      4.2800      4.1400      0.2800       121592.72
      4.0000      4.3200      4.1600      0.3200        138684.4
      4.0000      4.3600      4.1800      0.3600       155706.25
      4.0000      4.4000      4.2000      0.4000       172658.06
      4.0000      4.4400      4.2200      0.4400       189539.53
      4.0000      4.4800      4.2400      0.4800       206350.58
      4.0000      4.5200      4.2600      0.5200          223092
      4.0000      4.5600      4.2800      0.5600       239763.01
      4.0000      4.6000      4.3000      0.6000       256362.55
      4.0000      4.6400      4.3200      0.6400       272894.01
      4.0000      4.6800      4.3400      0.6800       289355.57
      4.0000      4.7200      4.3600      0.7200       305744.86
      4.0000      4.7600      4.3800      0.7600       322065.88
      4.0000      4.8000      4.4000      0.8000       338316.74
      4.0000      4.8400      4.4200      0.8400       354498.46
      4.0000      4.8800      4.4400      0.8800       370609.77
      4.0000      4.9200      4.4600      0.9200       386653.27
      4.0000      4.9600      4.4800      0.9600       402626.64
      4.0000      5.0000      4.5000      1.0000       418531.06
      4.0000      5.0400      4.5200      1.0400       434367.89
      4.0000      5.0800      4.5400      1.0800       450135.65
      4.0000      5.1200      4.5600      1.1200       465835.15
      4.0000      5.1600      4.5800      1.1600       481467.26
      4.0000      5.2000      4.6000      1.2000       497030.94
      4.0000      5.2400      4.6200      1.2400       512528.48
      4.0000      5.2800      4.6400      1.2800       527957.41
      4.0000      5.3200      4.6600      1.3200        543320.1
      4.0000      5.3600      4.6800      1.3600        558616.9
      4.0000      5.4000      4.7000      1.4000       573847.39
      4.0000      5.4400      4.7200      1.4400       589009.48
      4.0000      5.4800      4.7400      1.4800       604107.41
      4.0000      5.5200      4.7600      1.5200       619140.81
      4.0000      5.5600      4.7800      1.5600       634108.31
      4.0000      5.6000      4.8000      1.6000       649010.23
      4.0000      5.6400      4.8200      1.6400       663848.67
      4.0000      5.6800      4.8400      1.6800       678622.19
      4.0000      5.7200      4.8600      1.7200       693331.07
      4.0000      5.7600      4.8800      1.7600        707979.6
      4.0000      5.8000      4.9000      1.8000       722561.28
      4.0000      5.8400      4.9200      1.8400       737082.46
      4.0000      5.8800      4.9400      1.8800       751539.42
      4.0000      5.9200      4.9600      1.9200       765936.77
      4.0000      5.9600      4.9800      1.9600       780267.36
      4.0000      6.0000      5.0000      2.0000       794540.25
