#i_Bootstrap        CSFRD_Vmax_Bootstrap         CSFRD_Vbin_Bootstrap
#
       188                   0.0238904                   0.0210993
       189                   0.0233686                   0.0217102
       190                   0.0216887                   0.0198279
       191                    0.023785                   0.0221267
       192                   0.0239491                     0.02043
       193                   0.0197693                   0.0190414
       194                   0.0212546                   0.0212546
       195                   0.0242896                   0.0207705
       196                   0.0231392                   0.0222089
       197                    0.023433                   0.0201163
       198                   0.0276832                   0.0258225
       199                   0.0245604                   0.0238324
       200                   0.0213556                   0.0204252
       201                   0.0216509                   0.0190621
       202                   0.0261835                   0.0252531
       203                   0.0224889                   0.0224889
       204                   0.0231024                   0.0205137
       205                   0.0217924                   0.0199316
       206                   0.0217719                   0.0217719
       207                   0.0228895                   0.0214335
       208                   0.0296201                    0.025373
       209                   0.0202143                   0.0202143
       210                   0.0213408                   0.0204104
       211                   0.0255094                   0.0245791
       212                   0.0234787                     0.02089
       213                   0.0218272                   0.0210993
       214                   0.0230049                   0.0202138
       215                   0.0222425                   0.0194514
       216                   0.0239736                   0.0230432
       217                    0.021321                    0.021321
       218                   0.0226693                   0.0226693
       219                   0.0259622                   0.0259622
       220                   0.0201435                   0.0182828
       221                   0.0241671                   0.0232367
       222                   0.0187243                   0.0187243
       223                   0.0230231                   0.0220927
       224                   0.0258705                   0.0258705
       225                     0.02377                    0.023042
       226                    0.019475                    0.019475
       227                   0.0251448                   0.0242145
       228                   0.0214826                   0.0190963
       229                    0.021885                   0.0192963
       230                   0.0251513                   0.0242209
       231                   0.0229898                   0.0206035
       232                    0.022692                   0.0217616
       233                   0.0238752                   0.0238752
       234                   0.0240831                   0.0216968
       235                   0.0207363                   0.0207363
       236                   0.0240311                   0.0214424
       237                   0.0238453                   0.0219845
       238                   0.0221759                   0.0203151
       239                   0.0227012                   0.0219733
       240                   0.0294602                   0.0285298
       241                   0.0208429                   0.0208429
       242                   0.0246051                   0.0227443
       243                   0.0218112                   0.0192225
       244                   0.0206902                   0.0199622
       245                   0.0262086                   0.0252782
       246                   0.0274066                   0.0264762
       247                   0.0225581                   0.0208998
       248                    0.023144                   0.0214856
       249                   0.0314254                   0.0295646
       250                   0.0265387                     0.02395
       251                   0.0233471                   0.0226191
       252                   0.0222284                   0.0212981
       253                   0.0203918                   0.0194614
       254                   0.0253818                   0.0244515
       255                   0.0233402                   0.0214794
       256                   0.0219025                   0.0209722
       257                   0.0262317                   0.0253013
       258                   0.0237886                   0.0230607
       259                   0.0308698                   0.0301418
       260                   0.0258332                   0.0249028
       261                   0.0221283                   0.0221283
       262                   0.0225357                   0.0218077
       263                   0.0254203                   0.0254203
       264                   0.0234109                   0.0226829
       265                     0.02445                   0.0227916
       266                   0.0215033                   0.0196425
       267                   0.0244463                   0.0209272
       268                   0.0233425                   0.0216842
       269                   0.0296065                   0.0260874
       270                   0.0241021                   0.0231718
       271                   0.0232272                   0.0222968
       272                   0.0255596                   0.0236988
       273                   0.0196047                   0.0186744
       274                   0.0219714                   0.0219714
       275                   0.0279978                   0.0263395
       276                   0.0292211                   0.0268348
       277                   0.0223694                    0.021439
       278                   0.0234305                   0.0206393
       279                   0.0276736                   0.0211609
       280                   0.0234173                   0.0226894
       281                   0.0223828                   0.0214524
       282                   0.0214641                   0.0196033
       283                   0.0214664                   0.0198081
       284                   0.0233251                   0.0225971
       285                   0.0216865                   0.0209585
       286                   0.0238916                   0.0220309
       287                   0.0208426                   0.0201146
       288                   0.0233495                   0.0224191
       289                   0.0245742                   0.0231182
       290                   0.0278216                   0.0268912
       291                   0.0221983                   0.0196095
       292                   0.0237877                   0.0228573
       293                   0.0220706                   0.0187539
       294                   0.0321453                   0.0312149
       295                   0.0274375                   0.0218552
       296                   0.0219828                    0.020122
       297                    0.021354                   0.0204236
       298                   0.0257409                   0.0231522
       299                   0.0213673                    0.020437
       300                   0.0267481                   0.0267481
       301                   0.0280987                   0.0264403
       302                   0.0257373                   0.0231486
       303                   0.0208372                   0.0208372
       304                   0.0242799                   0.0242799
       305                   0.0256361                   0.0256361
       306                   0.0230106                   0.0206243
       307                   0.0199779                   0.0190476
       308                   0.0246007                   0.0229424
       309                   0.0225059                   0.0184612
       310                   0.0269249                   0.0259945
       311                    0.023879                   0.0229486
       312                   0.0201758                   0.0201758
       313                   0.0226071                    0.019816
       314                    0.023016                   0.0220856
       315                   0.0247635                   0.0238331
       316                   0.0190363                   0.0190363
       317                   0.0205263                   0.0195959
       318                   0.0234775                   0.0206864
       319                   0.0239473                   0.0230169
       320                    0.019174                    0.019174
       321                   0.0245429                    0.019891
       322                   0.0251536                   0.0234953
       323                   0.0245121                   0.0237841
       324                   0.0236663                   0.0218056
       325                   0.0254684                   0.0254684
       326                   0.0218975                   0.0211695
       327                   0.0225304                    0.020872
       328                   0.0232769                   0.0232769
