#         SchechterM          SchechterP     SchechterP_log10
#
                7.86          0.00564593            -2.24826
                7.87          0.00556834            -2.25427
                7.88          0.00549181            -2.26028
                7.89          0.00541633            -2.26629
                 7.9          0.00534189            -2.27231
                7.91          0.00526847            -2.27832
                7.92          0.00519605            -2.28433
                7.93          0.00512463            -2.29034
                7.94          0.00505418            -2.29635
                7.95           0.0049847            -2.30236
                7.96          0.00491618            -2.30837
                7.97          0.00484859            -2.31438
                7.98          0.00478192             -2.3204
                7.99          0.00471617            -2.32641
                   8          0.00465133            -2.33242
                8.01          0.00458737            -2.33844
                8.02          0.00452428            -2.34445
                8.03          0.00446206            -2.35046
                8.04           0.0044007            -2.35648
                8.05          0.00434017            -2.36249
                8.06          0.00428047            -2.36851
                8.07          0.00422159            -2.37452
                8.08          0.00416352            -2.38054
                8.09          0.00410624            -2.38656
                 8.1          0.00404975            -2.39257
                8.11          0.00399403            -2.39859
                8.12          0.00393907            -2.40461
                8.13          0.00388487            -2.41062
                8.14           0.0038314            -2.41664
                8.15          0.00377867            -2.42266
                8.16          0.00372666            -2.42868
                8.17          0.00367537             -2.4347
                8.18          0.00362478            -2.44072
                8.19          0.00357487            -2.44674
                 8.2          0.00352566            -2.45276
                8.21          0.00347711            -2.45878
                8.22          0.00342923             -2.4648
                8.23          0.00338201            -2.47083
                8.24          0.00333543            -2.47685
                8.25          0.00328949            -2.48287
                8.26          0.00324418             -2.4889
                8.27          0.00319949            -2.49492
                8.28           0.0031554            -2.50094
                8.29          0.00311193            -2.50697
                 8.3          0.00306904              -2.513
                8.31          0.00302675            -2.51902
                8.32          0.00298503            -2.52505
                8.33          0.00294388            -2.53108
                8.34           0.0029033            -2.53711
                8.35          0.00286327            -2.54314
                8.36          0.00282379            -2.54917
                8.37          0.00278485             -2.5552
                8.38          0.00274644            -2.56123
                8.39          0.00270856            -2.56726
                 8.4          0.00267119             -2.5733
                8.41          0.00263434            -2.57933
                8.42          0.00259798            -2.58536
                8.43          0.00256213             -2.5914
                8.44          0.00252676            -2.59744
                8.45          0.00249188            -2.60347
                8.46          0.00245748            -2.60951
                8.47          0.00242354            -2.61555
                8.48          0.00239007            -2.62159
                8.49          0.00235706            -2.62763
                 8.5           0.0023245            -2.63367
                8.51          0.00229238            -2.63971
                8.52           0.0022607            -2.64576
                8.53          0.00222945             -2.6518
                8.54          0.00219863            -2.65785
                8.55          0.00216823            -2.66389
                8.56          0.00213825            -2.66994
                8.57          0.00210867            -2.67599
                8.58           0.0020795            -2.68204
                8.59          0.00205072            -2.68809
                 8.6          0.00202234            -2.69415
                8.61          0.00199435             -2.7002
                8.62          0.00196674            -2.70625
                8.63           0.0019395            -2.71231
                8.64          0.00191264            -2.71837
                8.65          0.00188614            -2.72443
                8.66             0.00186            -2.73049
                8.67          0.00183422            -2.73655
                8.68          0.00180879            -2.74261
                8.69          0.00178371            -2.74868
                 8.7          0.00175897            -2.75474
                8.71          0.00173456            -2.76081
                8.72          0.00171049            -2.76688
                8.73          0.00168674            -2.77295
                8.74          0.00166332            -2.77902
                8.75          0.00164022             -2.7851
                8.76          0.00161743            -2.79117
                8.77          0.00159496            -2.79725
                8.78          0.00157278            -2.80333
                8.79          0.00155091            -2.80941
                 8.8          0.00152934             -2.8155
                8.81          0.00150806            -2.82158
                8.82          0.00148707            -2.82767
                8.83          0.00146637            -2.83376
                8.84          0.00144594            -2.83985
                8.85           0.0014258            -2.84594
                8.86          0.00140592            -2.85204
                8.87          0.00138632            -2.85814
                8.88          0.00136698            -2.86424
                8.89          0.00134791            -2.87034
                 8.9          0.00132909            -2.87644
