#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         4568.38         1669.86         1.24812        0.365526        0.325297               0           1e-30               0           1e-30
            8.3         3187.03         1846.31          1.7958         0.57932        0.515561               0           1e-30               0           1e-30
            8.5         2222.24         2040.37         2.58379         0.91816         0.81711               0           1e-30               0           1e-30
            8.7         1548.27         2253.02         3.71755         1.45519         1.29503               0           1e-30               0           1e-30
            8.9         1077.34         2484.68         5.34881         2.30631         2.05249               0           1e-30               0           1e-30
            9.1         748.137         2734.64         7.69586         3.65526         3.25297               0           1e-30               0           1e-30
            9.3         517.874         3000.14         11.0728          5.7932         5.15561               0           1e-30               0           1e-30
            9.5         356.672         3274.82         15.9315          9.1816          8.1711               0           1e-30               0           1e-30
            9.7         243.687         3546.09         22.9223         14.5519         12.9503               0           1e-30               0           1e-30
            9.9         164.389         3791.34         32.9805         23.0631         20.5249               1         302.389               1         302.389
           10.1         108.685          3972.7         47.4523         36.5526         32.5297               0           1e-30               0           1e-30
           10.3         69.5979         4031.94         68.2743          57.932         51.5561               3         1261.48               3         1261.48
           10.5         42.3691         3890.16          98.233          91.816          81.711               4         1591.28               2         759.999
           10.7         23.8053         3464.11         141.337         145.519         129.503               4         1984.78               0           1e-30
           10.9         11.7787         2716.54         203.356         230.631         205.249               7         2559.94               0           1e-30
           11.1         4.76471         1741.62         292.589         365.526         325.297               6         2398.95               0           1e-30
           11.3         1.40062         806.138         420.976          575.56         515.561               7         3747.39               0           1e-30
           11.5        0.248226         214.431           605.7         863.853          817.11               1         689.133               0           1e-30
           11.7       0.0197283         24.2035          871.48         1226.84         1295.03               0           1e-30               0           1e-30
           11.9     0.000439879        0.725222         1253.88         1648.69         2052.49               0           1e-30               0           1e-30
           12.1     1.30833e-06      0.00274287         1804.09         2096.46         3252.97               0           1e-30               0           1e-30
           12.3      1.5979e-10     4.03074e-07         2595.72         2522.53         5155.61               0           1e-30               0           1e-30
           12.5     1.23833e-16     3.55648e-13         3734.71         2872.01          8171.1               0           1e-30               0           1e-30
           12.7     3.15682e-26     9.76753e-23          5373.5          3094.1         12950.3               0           1e-30               0           1e-30
           12.9     2.43044e-41     7.66601e-38         7731.39         3154.16         20524.9               0           1e-30               0           1e-30
           13.1     3.33844e-65     1.01573e-61         11123.9         3042.52         32529.7               0           1e-30               0           1e-30
