#     Obs_id       Obs_z      Obs_Mstar        Obs_SFR          Obs_SB
#
        4990       4.161         10.322        698.494             SB
         658       4.051         10.942        920.514          mixed
       13207       4.109         11.172         570.53             MS
         564       4.051        11.2519        1812.36             SB
        2592       4.744         11.372        1238.87             MS
       11499       4.496         11.442        983.511             MS
       15425       4.697        11.5719         430.54             MS
       11758       4.716         11.592        741.973             MS
       13097       4.677         11.692        765.607             MS
        1735        4.08        11.7619         852.15             MS
