#     Obs_id       Obs_z      Obs_Mstar        Obs_SFR          Obs_SB
#
       15600        2.45        8.17984        157.708             SB
       14630        2.09        9.38003        154.714             SB
       12615       2.321        9.82197        80.4453          mixed
        6934        2.44        9.90195        197.875             SB
       11276        2.39        9.94196        150.909             SB
        9981       2.231         10.092        137.781             SB
       13793       2.128         10.192        128.353          mixed
        9520       2.002        10.2519        182.012             SB
        6509       2.499         10.332        293.209             SB
        2540       2.295         10.332        117.981             MS
        3220        2.31         10.382        61.7892             MS
       11418       2.088         10.472        128.653             MS
        3836        2.33         10.472        84.1864             MS
        2994       2.234         10.482        200.974             MS
        5067       2.046         10.482        96.4632             MS
        7800       2.481         10.482        112.572             MS
        8427       2.322         10.502        195.562          mixed
       14778       2.275         10.512        133.109             MS
        8785       2.215        10.5219        74.4754             MS
        1369        2.11        10.5219        81.7528             MS
       15930       2.382        10.5619        212.222          mixed
       15452       2.243        10.5619        134.514             MS
        3393        2.34        10.5719        108.702             MS
        5730        2.17        10.5719        411.156             SB
        8081       2.149        10.5819        139.068             MS
         385       2.458        10.5819        246.968          mixed
        5256       2.319        10.5819        80.2962             MS
       15224       2.046        10.5819        80.5874             MS
        1712       2.216        10.6219        144.611             MS
       15820       2.302        10.6619        469.132             SB
       17254       2.036         10.692        123.182             MS
       17002        2.41         10.692        235.678             MS
        3093       2.009         10.692        85.6012             MS
        4456        2.04        10.7019        118.827             MS
         621        2.48        10.7019        215.994             MS
       11991        2.26         10.712        192.169             MS
       16466       2.365         10.722        164.869             MS
        1762       2.068        10.7419        184.029             MS
        5836        2.13        10.7419        226.231             MS
        4083       2.098         10.752        103.547             MS
        5916       2.441         10.782         110.24             MS
        4954       2.032         10.792        123.637             MS
       17446       2.219        10.8319        185.349             MS
       16248       2.084        10.8519        138.299             MS
        3417       2.199         10.862        106.455             MS
       18556        2.05         10.872          233.8             MS
        5211       2.416         10.882        148.296             MS
        4270       2.122         10.882        101.701             MS
        7054           2        10.9019        464.786             SB
       16967        2.02         10.932         249.13             MS
        2324        2.29         10.942        120.021             MS
        6724        2.03         10.952        118.236             MS
       12244       2.487         10.952        139.276             MS
       13037       2.017         10.952        113.654             MS
        4774       2.198        10.9919        129.178             MS
       16775       2.316        10.9919        283.067             MS
       10005        2.35        11.0022        189.382             MS
        3758        2.32        11.0618        162.049             MS
       11137       2.398        11.0719        169.476             MS
        9256       2.158        11.0821        98.3854             MS
        9762       2.487         11.092        365.555             MS
        6061       2.122         11.092        405.976             MS
       15984       2.336        11.1219        174.312             MS
        5090       2.325        11.1319        437.716             MS
       13385       2.403         11.152        201.101             MS
       13741       2.171        11.1818        244.237             MS
       10749       2.453        11.2219        111.591             MS
       12856       2.205        11.2219        281.026             MS
        4449       2.198         11.322        254.356             MS
       16681       2.435         11.332        340.478             MS
       15121       2.246        11.3619        232.451             MS
        9761       2.488         11.382        290.962             MS
        6489       2.118         11.382        173.392             MS
       15681       2.215         11.432         205.22             MS
        1445        2.33        11.4619        296.888             MS
        9370       2.011        11.5719        446.142             MS
       13415       2.104         11.682        594.807             MS
         256       2.352         11.712        338.353             MS
