#     Obs_id       Obs_z      Obs_Mstar        Obs_SFR          Obs_SB
#
       15093       1.775        9.59999        55.3657             SB
        4924       1.535        9.62992          51.52             SB
        1076       1.527        9.80195        64.0402             SB
        7379       1.594        9.87198        43.9953          mixed
       12694       1.946        9.90195        147.023             SB
       11201       1.521        9.98195        50.9012          mixed
        2874       1.599        9.98195         46.882             MS
       11128       1.542        10.0418        35.0593             MS
        7678       1.966         10.092        90.5294          mixed
        9786        1.67        10.1119        138.015             SB
       11402        1.72        10.1119        115.023             SB
       17699       1.993        10.1119         8.4614             MS
       18385       1.742        10.1421        100.814             SB
       14694        1.87         10.172        214.678             SB
        9398        1.99        10.1818        214.213             SB
       18106       1.795        10.1818        58.7047             MS
       15637        1.58        10.2119        49.2832             MS
        7803        1.93         10.292        61.0019             MS
       10715       1.953         10.322        94.9467             MS
        9610       1.872         10.352        90.7118             MS
       17021       1.973         10.352        129.414             MS
        9438        1.95         10.392        94.8812             MS
        6537       1.559         10.432        100.075          mixed
       18616        1.62        10.4519          70.97             MS
       17306       1.998        10.4519        106.686             MS
        5177        1.87        10.4619        94.1995             MS
        4312       1.627         10.472        120.285          mixed
        6517       1.689         10.482        56.2078             MS
        8613       1.526        10.4919         93.568          mixed
        9229       1.873         10.502        85.3989             MS
        5089       1.988         10.512        182.251          mixed
        6386       1.522         10.542        58.6521             MS
        1490         1.9        10.5519        155.498          mixed
        8814       1.777        10.5519        51.6392             MS
        3236       1.518         10.592        30.4079             MS
        8875        1.91         10.592        182.833          mixed
        4320       1.867         10.602        74.1162             MS
        9409        1.59         10.602        58.3485             MS
        5974       1.517        10.6219        45.8636             MS
       13988       1.979         10.652        250.195          mixed
       13811       1.604        10.6619        82.9333             MS
       14672       1.526        10.6719        41.1818             MS
        3296       1.684        10.6719        66.5311             MS
       10783       1.619         10.682        41.3379             MS
       16286       1.531        10.7619        70.3985             MS
        8586        1.77         10.772        127.659             MS
        1475       1.766         10.782        141.349             MS
        2738       1.987         10.802         105.03             MS
        7840       1.807         10.802        65.8416             MS
       18695       1.707         10.812        126.537             MS
       17660        1.53         10.812          60.61             MS
       10909       1.996         10.822          262.9          mixed
       18003       1.968        10.8319        91.4696             MS
       11319       1.642        10.8319        78.5488             MS
       12007       1.645         10.842        53.9057             MS
         407       1.521         10.862        194.317          mixed
        6094        1.71         10.862        63.8375             MS
       14938       1.914        10.9219        59.2005             MS
       14052        1.96         10.932        89.2487             MS
       10352       1.768        10.9619        106.332             MS
        9274       1.525         10.972        48.5547             MS
        6096       1.828         10.982        73.9528             MS
       13502       1.524        11.2019        105.696             MS
       11764         1.6        11.2019        236.088             MS
       10750       1.996        11.2119        583.749          mixed
        8968       1.926         11.232        129.187             MS
        4826        1.95         11.262        147.586             MS
       16774       1.673        11.2718        102.116             MS
        1648        1.76        11.2819        156.072             MS
         548        1.78         11.352        120.465             MS
       16268       1.502         11.372        68.6586             MS
        3289       1.712         11.532         141.48             MS
