#     Obs_id       Obs_z      Obs_Mstar        Obs_SFR          Obs_SB
#
       11563       1.004        9.24005        43.4003             SB
        2360       1.491        9.40002        18.2916          mixed
        5395       1.481        9.54998        30.6263             SB
       12095       1.109        9.62992        20.4922          mixed
        9311        1.14        9.69992        25.2575          mixed
       18002        1.33        9.76193        62.6553             SB
        2594       1.152        9.80195        27.2556          mixed
        7240       1.055        9.82197        28.0888          mixed
        9022       1.225        9.86195        34.2197             SB
       10954       1.461        9.89193        20.4658             MS
       14095       1.149        9.91196        45.0599             SB
       10829       1.295        9.92195        26.1439             MS
       10131       1.359        9.94196         62.744             SB
         995       1.306        9.96194        25.8622             MS
       13231        1.02        10.0022        23.3007             MS
       15259       1.201        10.0022        40.6235          mixed
       14794       1.006        10.0022        18.4614             MS
        9056       1.015        10.0418        37.0521          mixed
        1866       1.083        10.0618        32.7528             MS
       16576       1.261        10.0821        23.9969             MS
        3888       1.023         10.092        14.9607             MS
        4633       1.128         10.092        17.8165             MS
        5347       1.142        10.1319         26.961             MS
        5515       1.246        10.1319        32.0777             MS
       17788       1.002        10.1421        28.4655          mixed
        1147        1.26        10.1421        19.8326             MS
        1515       1.195        10.1421        33.6525             MS
        9297       1.143        10.1421        34.0228             MS
        2513       1.028        10.1421        24.3952             MS
        3712        1.45         10.172        28.5392             MS
        3813       1.031        10.1818        27.1214             MS
         438       1.229        10.1818        57.0251          mixed
       11604       1.223        10.1818        49.4242          mixed
       18036       1.003        10.1818        22.9071             MS
       10205       1.222         10.192        23.0489             MS
        5270        1.02         10.192         22.052             MS
        9782       1.154        10.2019        38.7304          mixed
       14211       1.013        10.2119        67.8797             SB
       14599       1.489        10.2219        90.4206          mixed
        1341       1.008        10.2219        23.8141             MS
        3265       1.306         10.232        22.0349             MS
        3560       1.018         10.232        11.8815             MS
       13584       1.268         10.242        176.551             SB
        8973       1.433         10.242        133.638             SB
        2525       1.142        10.2519        27.0159             MS
        5627       1.153        10.2718        19.9301             MS
        1458       1.497        10.2819        42.4996             MS
        5133       1.145        10.2819        30.8729             MS
       16907        1.08         10.292        27.2244             MS
        1150       1.364         10.292        38.3786             MS
        8167       1.224        10.3019        48.0365             MS
       10177       1.015        10.3019        13.9309             MS
        1103       1.363        10.3019        69.0497          mixed
       13680       1.224        10.3019        32.1991             MS
        6085       1.005         10.312        13.6983             MS
       10696       1.296         10.312        41.8463             MS
       14188       1.021         10.322        83.7436          mixed
       11494       1.239         10.332         59.754          mixed
        2746       1.221         10.342        56.3036          mixed
        2643        1.28         10.352        29.7504             MS
       11481       1.141         10.352        58.3048          mixed
       15414       1.042         10.352        26.2986             MS
        1973       1.491        10.3619        25.9765             MS
        2025         1.2        10.3619        19.7552             MS
       11880       1.498         10.372        39.6195             MS
       14071       1.224         10.382        25.6684             MS
        4974       1.013        10.4019        26.4989             MS
        4308       1.155        10.4019        34.5899             MS
       15229       1.423        10.4519        85.3494          mixed
        4203         1.3        10.4519        32.1036             MS
       13629       1.083        10.4519        23.2627             MS
        5012        1.47        10.4619        45.7239             MS
        1338       1.358        10.4619        36.2053             MS
        4905       1.306        10.4619         50.006             MS
        9489       1.224        10.4619        29.4034             MS
        6251       1.155         10.472        56.6622             MS
        3069       1.056         10.472        47.9457             MS
        6768        1.36         10.472        46.9289             MS
        9593       1.382         10.482        36.4168             MS
        3083        1.42         10.482         54.542             MS
       10077       1.022        10.4919        40.9436             MS
       10879       1.022         10.502        39.3842             MS
       12423       1.485         10.502        55.6612             MS
        9798         1.4         10.512        54.8959             MS
       18008       1.091         10.542        30.2272             MS
         375       1.199        10.5519        22.4536             MS
