#     Obs_id       Obs_z      Obs_Mstar        Obs_SFR          Obs_SB
#
       14191        3.67        9.86195        302.389             SB
        4500        3.19         10.262        450.685             SB
       10059       3.238        10.2819        386.658             SB
        1094        3.53         10.292         424.14             SB
        1945       3.742         10.412        360.264             SB
        8053       3.663        10.4219        424.492          mixed
       15213        3.24        10.4519        399.735             SB
        1284       3.693        10.4919         406.79          mixed
         884        3.53        10.6719        532.405          mixed
       17381         3.1         10.682        491.269          mixed
       11053        3.11         10.732        241.098             MS
       12508       3.168         10.732         720.01          mixed
        4995       3.568         10.812        425.776             MS
        8056        3.15         10.842        239.901             MS
        8612        3.18         10.842        559.838          mixed
       15360       3.386         10.942        409.788             MS
        7966       3.242         10.952        358.337             MS
        6828       3.102         10.972        335.968             MS
       10898       3.124         10.972        230.334             MS
         546        3.23         11.012         569.62             MS
        3276       3.636        11.0618        306.483             MS
       13107       3.489        11.0719        433.151             MS
        7548       3.151        11.0719        254.208             MS
        9293       3.214        11.1021         375.27             MS
        2320       3.768        11.1021        460.216             MS
        1148       3.218        11.2019        486.912             MS
       12581       3.026        11.2119        479.855             MS
       16121       3.742         11.242        454.047             MS
       11966        3.02        11.2519        267.491             MS
        9053       3.485         11.262        579.216             MS
        7959       3.266        11.3019        927.588             MS
       15078       3.838        11.3619        552.285             MS
        3532       3.988        11.4619        689.133             MS
