#         SMF_M           SMF_N         SMF_SFR      SargentSFR    SchreiberSFR    BetherminSFR           OBS_N         OBS_SFR        OBS_N_SB       OBS_SFR_SB
#
            8.1         347.725         101.133         1.04066        0.290841        0.232645               0           1e-30               0           1e-30
            8.3         263.871         121.632          1.4973        0.460952        0.368718               0           1e-30               0           1e-30
            8.5         200.277         146.314         2.15431        0.730559        0.584379               0           1e-30               0           1e-30
            8.7         152.054         176.056         3.09962         1.15786        0.926178               0           1e-30               0           1e-30
            8.9         115.492         211.937         4.45973         1.83508         1.46789               0           1e-30               0           1e-30
            9.1         87.7789         255.297         6.41665         2.90841         2.32645               0           1e-30               0           1e-30
            9.3          66.779         307.819         9.23227         4.60952         3.68718               0           1e-30               0           1e-30
            9.5         50.8703         371.638         13.2834         7.30559         5.84379               0           1e-30               0           1e-30
            9.7         38.8186         449.465         19.1121         11.5786         9.26178               0           1e-30               0           1e-30
            9.9           29.68         544.652         27.4985         18.3508         14.6789               1         178.801               1         178.801
           10.1         22.7251         660.938         39.5648         29.0841         23.2645               0           1e-30               0           1e-30
           10.3         17.3796         801.114         56.9257         46.0952         36.8718               3         502.694               0           1e-30
           10.5         13.1793         962.823         81.9047         73.0559         58.4379               3         693.451               0           1e-30
           10.7         9.74507         1128.34         117.844         115.786         92.6178               5          1516.9               0           1e-30
           10.9         6.79409         1246.77         169.554         183.508         146.789               5          1925.4               1         1170.55
           11.1         4.20212         1218.85         243.954         290.056         232.645               1         463.548               0           1e-30
           11.3          2.0802         914.288         351.001          439.52         368.718               4         1385.67               0           1e-30
           11.5        0.697691         439.682          505.02         630.196         584.379               0           1e-30               0           1e-30
           11.7        0.121776          104.12         726.622         855.012         926.178               0           1e-30               0           1e-30
           11.9      0.00733512         8.05149         1045.46         1097.66         1467.89               0           1e-30               0           1e-30
           12.1     8.07001e-05        0.107607         1504.21         1333.42         2326.45               0           1e-30               0           1e-30
           12.3     5.95175e-08     9.12235e-05         2164.26         1532.72         3687.18               0           1e-30               0           1e-30
           12.5     5.97419e-13      9.9595e-10         3113.93         1667.09         5843.79               0           1e-30               0           1e-30
           12.7     6.54257e-21     1.12254e-17         4480.32         1715.75         9261.78               0           1e-30               0           1e-30
           12.9      1.4399e-33     2.40594e-30         6446.27         1670.91         14678.9               0           1e-30               0           1e-30
           13.1     1.13647e-53     1.74987e-50         9274.89         1539.74         23264.5               0           1e-30               0           1e-30
