#     Obs_id       Obs_z      Obs_Mstar        Obs_SFR          Obs_SB
#
       14267       2.983        9.89193        178.801             SB
       13517       2.892        10.3019        204.598          mixed
       11810       2.724         10.312        152.007          mixed
        7687       2.587         10.322        146.089             MS
       11303       2.929         10.412         248.77          mixed
       18212        2.76         10.502        171.838             MS
         915       2.635         10.592        272.843          mixed
       12838        2.72         10.642        140.598             MS
        6006       2.907         10.712        403.603          mixed
        1005       2.608         10.712        282.382             MS
         547       2.757         10.722        474.662          mixed
        8484       2.849         10.752        215.654             MS
       18379       2.575         10.812        137.892             MS
        3455       2.546         10.822        177.351             MS
       11580       2.921        10.9219        1170.55             SB
        1368       2.716         10.972        228.699             MS
        7188        2.65         10.982        210.904             MS
       12788       2.914         11.162        463.548             MS
        2901       2.514        11.2119        103.777             MS
        6265       2.964         11.242         525.95             MS
        1651        2.99         11.262         351.32             MS
        7958        2.69        11.3019        404.628             MS
