#         id250           f250           df250
#
           2738        6.28808       0.899504
           2739        5.58011       0.876748
           2746        6.61117        4.20627
           2778        1.60462        3.32388
           2806        1.45001        1.13087
           2813       0.397827       0.764391
           2818         1.0469        2.11342
           2822       0.671777        1.09166
           2825        2.39051        1.30668
           2841        21.1208        3.22652
           2874        2.29282       0.972899
           2877        1.44433        3.18134
           2878        6.00357        1.95537
           2893        6.33756        1.85654
           2901        1.88318        1.00956
           2920    3.20924e-07        1.26128
           2925        12.8422        4.33835
           2994         4.4655       0.910914
           3001        9.72578        3.28437
           3012        4.48119       0.925393
           3022        5.36378        1.62429
           3037        4.22913        2.44172
           3063         1.0711        1.14117
           3069        9.81578       0.904215
           3075        5.42372       0.846333
           3081        2.41085        1.95738
           3083        8.51995        2.50705
           3087        15.5766       0.923758
           3093        6.28473         1.9936
           3101        1.81402        1.54547
           3103        1.25435        2.82801
           3112       0.921098       0.953217
           3119        8.95555        3.56049
           3125        6.89633        4.82734
           3145        15.6307        2.80627
           3196        16.1141        1.07497
           3220        2.00416        1.03452
           3236       0.976059       0.935593
           3265         2.6509        1.05119
           3276       0.761054        1.20109
           3289        12.4643       0.966503
           3296         6.1221        1.35921
           3310        2.52558        1.35417
           3367        1.00016       0.895704
           3393        3.23889        0.81741
           3401        1.35377        1.12159
           3403        12.0654         2.8693
           3417        2.70619       0.969606
           3442        1.14279        1.47827
           3455        5.11464       0.894741
           3484       0.173142        2.93895
           3526        3.21249       0.875598
           3532        10.0773        1.19896
           3560        1.82364        0.85019
           3572        13.6209        2.38307
           3626         1.0001        1.83333
           3627        10.1569        1.47356
           3638       0.168506        1.94758
           3652    3.20924e-07        1.81412
           3654        1.89274        2.77374
           3658        8.85448        1.82113
           3668        25.3647        3.25338
           3676    3.20924e-07         1.0463
           3679        3.39534        1.61509
           3712        3.12605        1.07279
           3718        12.1954        1.81643
           3742        9.03073        1.68396
           3758         7.6113        1.52643
           3775         1.0429        2.10418
           3792        2.31638        1.39868
           3793        2.45077        1.15159
           3813        1.87171        1.13913
           3817        2.21527       0.807972
           3821        10.5132        1.59748
           3827        6.53243        3.04515
           3836      -0.214391        0.93219
           3870        37.2124        2.49157
           3883        6.81586        2.07224
           3887        3.79273        3.15292
           3888        3.61338        2.34576
           3914        17.5545        1.23724
           3935       0.102006       0.985287
           3955       0.699877        1.52373
           3969       0.743619       0.909852
           3981        5.41536        3.72876
           4004        1.35485        1.45642
           4022        2.04666        2.29604
           4048    3.20924e-07        2.43855
           4050        3.08054        0.83983
           4083        4.86599       0.793294
           4108        11.8775        2.57957
           4116        2.49995         1.0842
           4145        3.10994       0.866772
           4203         7.1763        1.92037
           4211        9.80265        1.05427
           4222        7.60302        4.32438
           4226        3.16957       0.792405
           4235        10.9242         1.6454
           4255        4.46468        4.36032
           4266        2.21535         3.1297
           4267        4.40547        3.55442
           4268        18.8134        4.58705
           4270        5.37355        1.31578
           4308        5.58973        1.11899
           4312        10.1504       0.901178
           4314         7.8538        1.14842
           4320         6.0363       0.854947
           4325    3.20924e-07        1.07159
           4449         8.8298        2.25424
           4456        7.62728        1.51229
           4486        11.1734       0.977884
           4499          1.213        0.93294
           4500        7.03588        0.86432
           4580        9.15929        1.23509
           4589        3.07862        1.23313
           4592        2.19148       0.824783
           4601        2.92576        1.36955
           4625        8.05962        1.98855
           4633        3.62778         1.1547
           4654        6.96754        1.10439
           4656        6.58484       0.914312
           4663        8.59311         1.3487
           4707       0.262549       0.945593
           4722        2.04092       0.783751
           4738        5.54829        3.08681
           4744    3.20924e-07        3.31824
           4751        1.49963        2.06121
           4762        1.61113        2.07906
           4774        5.84502        1.24066
           4777        2.37942        1.08683
           4779        1.46848         2.9884
           4799        35.4756        1.28542
           4806        1.74929        1.11841
           4826        13.8159        1.65868
           4832        4.32427        1.65763
           4846        3.01868       0.812206
           4858        2.13885        2.54538
           4865        11.6713        2.56708
           4888        6.39667        1.67632
           4905        6.31912        1.98903
           4917        6.26305        2.41153
           4924        2.15045        3.79483
           4937        5.01509        1.13407
           4945         3.6421         1.5608
           4954        3.39677        2.15701
           4955        6.91808       0.939193
           4974        4.27349        2.22843
           4986        2.36699        1.82676
           4990         6.2618        1.45312
           4995        5.80097        1.91599
           4997        5.77596         3.1718
           5007        6.61686        1.82956
           5012        5.95374       0.940624
           5023        39.0937        3.77879
           5028        11.6985        1.09551
           5055        8.49422        1.12996
           5067        2.46098        3.84146
           5080        1.53226         2.7011
           5089        8.75421        4.43384
           5090        19.0054        4.87153
           5097        12.9593        4.02864
           5133        4.22976        2.81874
           5138        4.28254       0.839052
           5147        7.49174        1.12269
           5148        5.87667        2.18032
           5156        3.42428        3.51234
           5168        3.69844        2.30493
           5170      0.0488902        1.54538
           5171        3.77217         4.2914
           5177        7.06302        2.02611
           5187        5.41319        3.04016
           5211        6.22057       0.813977
           5215        22.4569        4.60271
           5238        2.25505        3.30363
           5256        4.34014        1.58206
           5265        14.7321        4.49898
           5270        6.57381         1.8691
           5296        2.06706        3.10565
           5321        12.3523        1.24904
           5325        36.0722        1.39646
           5337        9.58268        5.61014
           5346         10.272        1.35383
           5347        2.77063       0.852645
           5348        15.8247        1.06172
           5358        5.51323       0.810125
           5372        2.98642        1.88562
           5375        6.94069        2.11616
           5395         5.1455         1.2901
           5438        4.63641        2.25437
           5446    3.20924e-07        4.01019
           5512        8.92248        1.53519
           5515        1.68643        2.02606
           5518    3.20924e-07        6.94277
           5526        7.33279        1.84785
           5530        11.8129        2.14812
           5543        2.02215        2.74835
           5545        2.10654        1.06868
           5552        4.96883        2.25551
           5588        3.56523        1.11684
           5604        6.47662        1.87308
           5612        3.59543        3.30377
           5627        2.58015       0.882511
           5634        6.49469        5.50209
           5668        2.76228        3.45824
           5685        4.40232       0.969574
           5710        1.52693        2.16187
           5726        2.31865       0.913575
           5730        22.6482       0.959484
           5735        8.43634        1.72344
           5747        5.07763        1.63504
           5766       0.215206        2.39504
           5797        5.91843         2.8795
           5802        4.55449         1.5458
           5814    3.20924e-07        1.94204
           5822        12.6375        1.22789
           5836        5.10953        4.84292
           5837        8.13727        5.03054
           5849        6.83907        2.21106
           5853        9.14382        1.23785
           5879         8.2008        1.18538
           5882        2.76369        1.09098
           5916        3.66212        0.92623
           5917       0.161108        1.86506
           5974        7.36588        2.19038
           5976        6.91187        1.22265
           5977        2.33158        2.11035
           6005        16.0274       0.912016
           6006        10.8959        1.38497
           6012        5.27364       0.762324
           6015        3.00314       0.973887
           6061        25.8644        1.60847
           6065        3.25961       0.837753
           6073        5.39084        2.17972
           6084        11.9943        2.72569
           6085        5.31348        1.99919
           6090        17.4417        3.28603
           6092        2.61415        1.27643
           6094        3.61964        1.18885
           6096        6.17715        1.85612
           6114        2.09923        1.74211
           6147        5.01626        1.63402
           6155    3.20924e-07        3.32465
           6158        4.26115         2.3391
           6186        3.44964         1.1859
           6249        3.30171        3.15468
           6251        12.9754        2.04305
           6265        12.3138        2.24001
           6287        11.2974         2.2694
           6289        2.23024        2.46507
           6290        1.10395         1.0932
           6292      0.0781211       0.893953
           6296         19.641        1.15712
           6308        16.2613        1.08691
           6330        1.92209        2.47748
           6333        6.61042        2.42749
           6352        6.10693        1.56536
           6383        11.7896        1.07023
           6386        6.97062        1.27294
           6406         5.4149        1.90716
           6409        5.34298        1.39583
           6438        2.81043        1.09844
           6464        4.06288       0.889128
           6489        9.75011        2.05234
           6509        12.1692        2.09087
           6517        2.69637       0.905884
           6537        12.2192       0.977165
           6547        13.4471        2.01985
           6558        1.94088        1.98937
           6592      0.0808743        2.02714
           6617        5.75589        2.84998
           6629        2.97184        2.52555
           6641    3.20924e-07        4.01919
           6665        13.8963        1.24133
           6676        3.98592       0.730842
           6693        2.92011        1.91167
           6695        2.28886        2.64888
           6700        1.16062        1.46794
           6710        8.73188       0.920543
           6714        12.7417        1.66257
           6724        5.63042        1.17085
           6768        5.29215        1.88058
           6770        4.19714        2.14799
           6778       0.509681       0.605563
           6782         4.9448        3.92409
           6787        12.0202        1.64642
           6789        2.68999         2.3875
           6790        4.08323        2.07079
           6820    3.20924e-07         4.6493
           6827        11.4261        3.41907
           6828        2.58125        3.63683
           6845         8.9498        1.78134
           6871         5.0498        3.94076
           6891        14.6639        1.01156
           6928       0.411531        5.55741
           6934        6.18747        3.94937
           6944         2.4742        1.46747
           6945    3.20924e-07        3.01844
           6950        3.96747         1.4653
           6969        2.06915        2.89267
           6984        5.18186        1.22155
           7009        11.1306        2.57962
           7038        6.24343        3.16318
           7041        1.45629        2.34155
           7045        4.40053        3.55457
           7052        41.0353        2.89251
           7053        8.58191        1.51626
           7054         44.827        2.06905
           7065        5.26387        2.57403
           7098        4.60428        4.32769
           7099        2.16542        1.57845
           7114        1.91701       0.690025
           7172        7.06274       0.965807
           7173         4.4678        1.89346
           7178        6.65603        2.15248
           7185        21.7068        1.22806
           7188         8.3299        2.51817
           7196        21.2355        1.60129
           7236        6.59572       0.853312
           7249        6.72006        1.43073
           7289          1.376        1.20605
           7320        2.01672        1.49603
           7340     -0.0665509        1.92279
           7353         4.7219        1.36847
           7369        2.53812       0.886195
           7379        6.04741       0.911823
           7385        32.0534        13.8533
           7386        66.8643        4.27729
           7387        3.42896        3.19372
           7406        3.14069       0.959664
           7410    3.20924e-07        14.2989
           7426        3.95845        2.07467
           7532        2.52269       0.827011
           7548        4.02153        1.03177
           7558    3.20924e-07        1.59018
           7562    3.20924e-07        2.21737
           7568        10.1713        4.73364
           7582         1.4333       0.833669
           7588        11.6967       0.898421
           7598        11.5504        1.03785
           7616        11.8621        6.77852
           7630        15.8581        1.59691
           7642        4.10923        6.32869
           7643    3.20924e-07        5.30338
           7678        5.90803        1.40768
           7682         5.3273        3.08271
           7683        11.1083        2.36864
           7687        1.67107        1.82069
           7698         5.1475        1.00569
           7711        5.04306        1.33229
           7716        6.13435        3.05004
           7800        3.30999        1.30502
           7803        3.49004        1.05625
           7838          2.341         1.3759
           7840        5.39757        1.21413
           7847        13.5697       0.826944
           7848        1.82396        4.72623
           7882        8.57495        2.66656
           7895        2.07359         2.9153
           7897        7.11609        1.52196
           7907        2.96192        2.61503
           7908        8.98346        2.87246
           7910        2.58161         1.5672
           7920        2.83009        1.08584
           7925        12.7104        1.37558
           7958        14.5204        3.79773
           7959        12.7437        5.52299
           7963        3.22331        1.48726
           7966        2.11669        2.89481
           7991        2.46395        3.98422
           7996        4.16444        2.31212
           8027        10.9589        3.00554
           8028        13.9572        3.75002
           8035        6.43862        2.41694
           8047        8.97581       0.857863
           8051        5.25259        1.20355
           8053        4.36685       0.827769
           8054        4.79829        2.52943
           8056        3.54521       0.824391
           8065        3.49514        1.09996
           8081        9.82468        2.66122
           8092        8.90734        2.04413
           8099        4.94219       0.772915
           8105        3.14412        2.05453
           8113        36.6244        1.35284
           8135       0.142624        1.30395
           8142        2.26032        2.81829
           8144        2.29086        1.99143
           8162        1.31884        1.06264
           8167        9.54354        1.77689
           8217        9.05295        2.20434
           8220        9.39906        1.13505
           8267        5.48715         1.0216
           8303    3.20924e-07        1.59626
           8304        1.78927        1.51928
           8319        6.34744        1.21822
           8326        3.21523        2.06515
           8331       0.165176         1.2724
           8354         4.8873        1.31942
           8377        3.34112        1.84469
           8427        7.13591        1.64717
           8433        9.84227        1.12977
           8452        25.7333        1.32876
           8460      -0.231748        2.37609
           8474        4.21908        1.05497
           8483        5.23923        1.78244
           8484        3.80711       0.933245
           8493        29.0687        3.59552
           8509        6.93368        2.95354
           8515    3.20924e-07        3.33701
           8535         2.7524       0.783704
           8539         11.801        1.27916
           8544         12.829        1.38074
           8551       0.537633        1.12385
           8585    3.20924e-07        3.96601
