#   z_min_list    z_max_list   M_incomplete_list   N_correction_list   F_correction_list    S_correction_list
#
           0.2           0.5               9.600              -0.257            0.981203              Muzzin
           0.2           0.5               9.200               0.024            1.064087              Ilbert
           0.2           0.5               9.400              -0.198            1.051642            Davidzon
           0.5           1.0              10.000               0.031            0.586720              Muzzin
           0.5           1.0               9.600               0.327            0.713561              Ilbert
           0.5           1.0               9.800               0.004            0.781826            Davidzon
           1.0           1.5              10.400              -0.178            0.876787              Muzzin
           1.0           1.5              10.000               0.042            0.884694              Ilbert
           1.0           1.5              10.200              -0.197            1.003110            Davidzon
           1.5           2.0              10.800              -0.183            0.762221              Muzzin
           1.5           2.0              10.400              -0.022            0.711967              Ilbert
           1.5           2.0              10.400              -0.080            0.761722            Davidzon
           2.0           2.5              10.200               0.204            0.931179              Muzzin
           2.0           2.5              10.200               0.297            0.754083              Ilbert
           2.0           2.5              10.400               0.415            0.561858            Davidzon
           2.5           3.0              10.400               0.004            0.946684              Muzzin
           2.5           3.0              10.400               0.187            0.704196              Ilbert
           2.5           3.0              10.400               0.365            0.459202            Davidzon
           3.0           4.0              10.400               0.373            0.814565              Muzzin
           3.0           4.0              10.600               0.250            0.577193              Ilbert
           3.0           4.0              10.600               0.476            0.303048            Davidzon
           4.0           5.0              11.000               0.867            0.130119             Grazian
           4.0           5.0              10.800               1.992            0.015316                Song
           4.0           5.0              10.800               0.736            0.163260            Davidzon
           5.0           6.0              11.400               1.597            0.014873             Grazian
           5.0           6.0              11.400               2.090            0.004384                Song
           5.0           6.0              11.400               1.041            0.027842            Davidzon
