# z    lg_SFRD_uncorr  e_lo e_hi  lg_SFRD_corr  e_lo e_hi    lg_L_IR_D e_lo e_hi  # Rujopakarn2010 Table 5 (Salpeter (1955) IMF. Assuming the Kroupa (2002) IMF would yield 0.66*value given here.)
# 
0.125               0     0    0        -1.60   0.07 0.07
0.275               0     0    0        -1.43   0.08 0.08
0.425               0     0    0        -1.26   0.08 0.08
0.575               0     0    0        -1.07   0.07 0.07
0.85                0     0    0        -0.92   0.11 0.11
1.15                0     0    0        -0.61   0.14 0.14
