#         z_low         z_high     lgoneplusz          CSFRD         eCSFRD
# Below are 1/Vmax and boostrapping CSFRD from GOODSN Superdeblending 201612 goodArea SNR>=4 sources
              0            0.2      0.0413927       -2.05234       0.251478
            0.2            0.4       0.113943       -1.91926       0.119599
            0.4            0.6       0.176091       -1.44667      0.0734969
            0.6            0.8       0.230449       -1.54907       0.112486
            0.8              1       0.278754       -1.02843       0.299939
              1            1.5       0.352183       -1.13138      0.0891536
            1.5              2       0.439333       -1.40883      0.0815398
              2            2.5       0.511883       -1.09705       0.102915
            2.5              3       0.574031       -1.33405       0.103407
              3              4       0.653213       -1.42429      0.0588573
              4              5       0.740363       -1.55296       0.101569
              5              6       0.812913        -1.8243       0.345374
