#        _id   snrFIRSMM     zFIRSMM      snr100      snr160      snr250      snr350      snr500      snr850     snr1160
#
         394       2.754       1.151       1.633       2.218         -99         -99         -99      1e-109         -99
         398      0.1936       1.044      0.1936   3.031e-05         -99         -99         -99      1e-109         -99
         399        3.55       2.885       2.274       1.922         1.3       1.432   5.069e-08   8.675e-51   3.164e-10
         401      0.8488       1.251   4.178e-05      0.8488         -99         -99         -99      1e-109         -99
         407       21.02       1.521       15.85       9.229       8.755       5.267     0.04324   8.675e-51       1.128
         409       2.179      0.6997        1.52       1.561         -99         -99         -99      1e-109         -99
         413       3.566      0.6233       1.152       3.132       1.258         -99         -99      1e-109         -99
         414       2.327        1.16         2.3      0.3489         -99         -99         -99      1e-109         -99
         416       1.606      0.4158      0.4938       1.528         -99         -99         -99      1e-109         -99
         418       2.769       1.292       2.586      0.9912         -99         -99         -99      1e-109         -99
         421      0.2838        1.24   3.149e-05      0.2838         -99         -99         -99      1e-109         -99
         428       1.914        1.29   3.833e-05       1.914         -99         -99         -99      1e-109         -99
         429       2.417       1.147       2.417   1.655e-05         -99         -99         -99      1e-109         -99
         430         2.2       1.253       2.144      0.4911         -99         -99         -99      1e-109         -99
         431       2.569       0.676       2.269       1.204         -99         -99         -99      1e-109         -99
         432       2.457      0.7425       2.437      0.3147         -99         -99         -99      1e-109         -99
         433        1.57       1.701        1.43      0.6466         -99         -99         -99   8.675e-51   2.706e-10
         437       3.689        3.09       2.494       1.685         -99         -99         -99   8.675e-51       2.133
         438       22.78       1.229       19.97        10.9      0.7665      0.8788         -99      1e-109         -99
         439       0.913        1.59   3.266e-05       0.913         -99         -99         -99      1e-109         -99
         442        11.7       1.174       6.243        9.59       2.004       1.398         -99   8.675e-51         -99
         449       16.01      0.1893       10.84        11.1       3.588       1.601         -99      1e-109         -99
         450       3.148       4.554       2.753      0.9118       1.131   5.174e-08      0.4661   8.675e-51   3.066e-10
         451       1.388       1.019           0       1.388         -99         -99         -99      1e-109         -99
