#         id100           f100           df100
#
           1077        1.30557       0.372865
           1081        0.93961       0.605007
           1084        3.72483       0.280148
           1089       0.676745       0.436701
           1091       0.125895       0.274964
           1094       0.587823        0.26851
           1101       0.608183       0.549862
           1102        2.50446       0.294241
           1103        3.19941       0.324356
           1104        2.23495       0.313688
           1105        2.09694       0.299881
           1109        1.79216       0.442988
           1113       0.539573       0.294512
           1118         2.5181       0.445575
           1121         1.1127       0.457255
           1123    1.50602e-05       0.274077
           1125    1.50602e-05       0.492385
           1129       0.636121       0.284751
           1133       0.667202       0.320854
           1135        2.31341       0.272891
           1140       0.866744       0.479083
           1141         1.2098       0.475194
           1143        3.33351       0.312159
           1144       0.358404        0.33096
           1146      0.0448201       0.642221
           1147        1.38467       0.283304
           1148       0.851993       0.264036
           1150        1.23802       0.262893
           1159       0.817014       0.334537
           1160       0.110702       0.285294
           1167        1.26022       0.656617
           1168        2.75246        0.52781
           1172       0.410187       0.372529
           1181    1.50602e-05       0.279469
           1186       0.526368       0.384492
           1202       0.472138       0.271155
           1208        0.73446       0.274782
           1221       0.560649       0.295486
           1222       0.254568       0.311492
           1225        2.95841       0.519759
           1235        4.12453       0.531211
           1239        6.80699       0.356033
           1248        3.94926       0.430257
           1252    1.50602e-05       0.276841
           1253    1.50602e-05       0.277761
           1262       0.324499       0.639353
           1269        1.49218        0.41807
           1270       0.722948       0.271076
           1273      -0.025552       0.283185
           1278       0.503861       0.272905
           1284       0.324015       0.301787
           1285        1.53161       0.279744
           1293        1.63682       0.278202
           1303       0.632851       0.245886
           1306    1.50602e-05       0.308884
           1313       0.640021       0.479306
           1315       0.942168       0.299899
           1320        1.13566       0.280704
           1334       0.103705       0.271452
           1335        1.30061       0.293682
           1337        2.93316       0.385152
           1338       0.937814       0.313325
           1341        2.29897       0.291065
           1342       0.616612       0.281268
           1348       0.338698       0.283176
           1350       0.706498       0.404568
           1355        0.47448       0.485119
           1357       0.649393       0.239395
           1367     -0.0154581       0.286701
           1368        0.64565       0.295783
           1369       0.559243       0.294898
           1371       0.335188       0.285604
           1384         1.7904       0.510353
           1387       0.991146       0.953796
           1391       0.622997       0.267201
           1393       0.857586       0.410844
           1394        8.73916       0.867724
           1396       0.232669       0.277219
           1401    1.50602e-05       0.407159
           1402       0.441358       0.330749
           1416       0.018443       0.269596
           1419        0.41155       0.320291
           1420        1.24748       0.432968
           1434         2.8021       0.349851
           1437       0.376413       0.488485
           1445        3.63556       0.327923
           1449        1.36639       0.269128
           1452       0.287651       0.421449
           1458        2.03571       0.296377
           1469    1.50602e-05       0.468942
           1475        3.21882       0.302839
           1476       0.466554       0.324854
           1477       0.227558       0.394186
           1479       0.654636        0.44774
           1480    1.50602e-05       0.486972
           1490        2.03648       0.486754
           1491        3.53717       0.426629
           1495    1.50602e-05       0.493773
           1497    1.50602e-05       0.308259
           1501       0.797729        0.30687
           1502    1.50602e-05       0.292885
           1513       0.579416       0.573484
           1515         2.1083        0.30054
           1520       0.755492       0.270685
           1524       0.130709       0.343092
           1525       0.618686       0.379022
           1532       0.211544       0.439425
           1533        3.28909       0.347741
           1543    1.50602e-05       0.294498
           1544      0.0174515       0.312663
           1545       0.828315       0.371331
           1548    1.50602e-05       0.349072
           1551    1.50602e-05       0.268032
           1556       0.108012       0.317887
           1558       0.597147        0.32003
           1563       0.670253        0.50263
           1567        1.74926       0.293512
           1569        1.05555        0.41209
           1579       0.485421       0.319987
           1592        1.52216       0.320195
           1593       0.313121        0.29764
           1602      0.0279325       0.262596
           1604       0.636494       0.433866
           1606       0.743838        0.35117
           1616       0.870096       0.341551
           1618        1.60065       0.422264
           1622       0.836822        0.25778
           1626    1.50602e-05       0.231666
           1629       0.321329       0.279625
           1631        0.26767       0.452878
           1633        8.20504       0.306735
           1634      0.0590893       0.338898
           1638       0.577791       0.372433
           1644       0.328596       0.283753
           1648        9.39962       0.375064
           1650       0.432201         0.4591
           1651        0.85099       0.268202
           1662      0.0126173       0.275228
           1673        1.12017       0.385755
           1693       0.973615       0.376427
           1702    1.50602e-05       0.282952
           1709       0.494917       0.714329
           1710       0.488282       0.293543
           1711    1.50602e-05       0.269394
           1712        1.97756       0.281256
           1717       0.510621       0.422016
           1724        1.49113       0.299232
           1734    1.50602e-05       0.398389
           1735       0.918188       0.438031
           1737         0.4729         0.3244
           1740       0.476858       0.311429
           1741       0.969567       0.341672
           1747    1.50602e-05       0.326412
           1753        1.39572       0.344258
           1762        1.70508       0.325795
           1764        0.33509       0.278612
           1775      0.0304186       0.282195
           1779    1.50602e-05       0.285101
           1813       0.638996       0.401522
           1814       0.138595       0.443419
           1818       0.586973       0.268248
           1822       0.456015       0.305463
           1824       0.437347       0.424885
           1836       0.505163       0.274527
           1843       0.548861       0.254628
           1847       0.823976       0.288325
           1850        1.12998       0.288198
           1855       0.241243       0.272142
           1859       0.621239       0.298282
           1865       0.118518       0.280083
           1866        1.81332       0.303566
           1870       0.117763       0.297753
           1880        2.11562       0.295531
           1886       0.010944       0.279421
           1894       0.554303       0.277618
           1899      0.0151996       0.283557
           1907       0.862416       0.307918
           1908       0.582129       0.406687
           1918       0.804139       0.302364
           1919    1.50602e-05       0.336335
           1921      0.0198533       0.331442
           1930        5.93411       0.293105
           1937       0.582903       0.250414
           1938       0.231558       0.290885
           1944         1.3193       0.287418
           1945       0.255011       0.295987
           1951        1.13453       0.309813
           1960       0.515759       0.328405
           1961     -0.0115074       0.297528
           1968       0.522577       0.290141
           1973       0.988716       0.276941
           1990       0.435281       0.273386
           1999    1.50602e-05       0.367112
           2007       0.537451       0.283862
           2022    1.50602e-05       0.264244
           2025        1.66499       0.347064
           2032      0.0194909       0.386516
           2046    1.50602e-05       0.299378
           2052       0.144067       0.321202
           2054       0.401685       0.270662
           2056       0.434032       0.289269
           2059       0.285289       0.400412
           2061        4.39595       0.363859
           2089       0.127338       0.316234
           2094        11.6866       0.288421
           2099    1.50602e-05        0.29431
           2101      0.0835679       0.363766
           2106       0.152923       0.289023
           2115    1.50602e-05       0.294093
           2124       0.144555        0.31266
           2129       0.530132       0.346395
           2135         16.876        0.23378
           2137      0.0599181       0.272153
           2140       0.706828       0.317366
           2141        4.80868       0.360511
           2144        1.97353       0.384449
           2147       0.860654       0.276155
           2150        1.03173       0.395959
           2152       0.456952       0.307207
           2160        1.08933       0.291031
           2163       0.585083       0.277265
           2175       0.370987       0.275621
           2181    1.50602e-05       0.389062
           2185      0.0207889        0.31899
           2189       0.239026       0.265828
           2192    1.50602e-05       0.304663
           2195       0.148397       0.279674
           2196       0.729101       0.335486
           2197       0.421198       0.413753
           2202        1.43166       0.322138
           2229        1.47196       0.310733
           2231    1.50602e-05       0.251211
           2234       0.780765       0.277851
           2239      0.0564812       0.283794
           2252       0.227211       0.299296
           2256        21.5236       0.302458
           2262       0.125789        0.31092
           2266         7.0898       0.288564
           2268       0.331139       0.308506
           2272       0.399523       0.302778
           2290      0.0957385       0.303916
           2295        0.99459       0.300799
           2296       0.309904       0.276084
           2297        1.15753       0.353504
           2314       0.726356       0.446666
           2318        1.62917       0.443048
           2320      0.0304561       0.266141
           2323       0.278282       0.262498
           2324        6.53735       0.311825
           2327       0.637365       0.400921
           2328        9.79338        0.36513
           2330      0.0276587       0.422422
           2331       0.283588       0.340751
           2336        3.35637       0.381784
           2337        0.62006       0.280543
           2342       0.482023       0.286836
           2347       0.636336        0.33576
           2357    1.50602e-05       0.402264
           2359       0.989384        0.28705
           2360        2.06297       0.310157
           2365        1.59923       0.375924
           2369    1.50602e-05       0.286997
           2374       0.978392       0.388986
           2376        0.42861       0.320209
           2378    1.50602e-05       0.420468
           2387      0.0318132       0.280279
           2395    1.50602e-05       0.420786
           2399       0.566397       0.329123
           2408        1.61014       0.276084
           2412       0.284829       0.301459
           2417       0.278504        0.24771
           2418       0.628541       0.296034
           2432        1.37722       0.386886
           2433       0.511468       0.369053
           2440        2.88879         0.3933
           2449        1.24056       0.363624
           2455        3.66298       0.312825
           2463        12.5949       0.313255
           2488        3.24856       0.480568
           2489        2.34153       0.474712
           2500       0.306512       0.273703
           2509       0.142614       0.418088
           2510      0.0135509       0.282517
           2513        1.65777       0.315097
           2518        1.14876       0.274711
           2524       0.539618       0.279099
           2525        2.70997       0.305905
           2540        1.79282       0.299297
           2543       0.272194       0.277569
           2544    1.50602e-05       0.295187
           2561       0.188807        0.31475
           2569         1.2806       0.384879
           2574    1.50602e-05       0.380769
           2577       0.956041       0.306381
           2578       0.109845       0.412088
           2587      0.0899336       0.287869
           2588       0.184246       0.325637
           2591        0.50348       0.297225
           2592    1.50602e-05       0.303339
           2594        2.22761       0.305832
           2596       0.631883       0.310554
           2605       0.455973       0.272158
           2608    1.50602e-05         0.3738
           2615        1.08607        0.34216
           2619    1.50602e-05       0.298149
           2622        1.74917       0.495071
           2625        2.70922       0.282159
           2643        2.69182       0.345381
           2648       0.667393       0.287285
           2652       0.361561       0.361713
           2655      0.0249938       0.383414
           2660       0.316556       0.284271
           2667        1.50706       0.465061
           2668       0.262376       0.551711
           2670       0.941696       0.301871
           2671       0.405598       0.277611
           2674    1.50602e-05       0.288594
           2677    1.50602e-05       0.308764
           2681        0.01577       0.288283
           2682       0.931557       0.361544
           2683       0.417757       0.294488
           2687        1.20206       0.339827
           2697       0.771138       0.268748
           2705    1.50602e-05       0.452439
           2715        1.02549       0.385949
           2716    1.50602e-05       0.277746
           2720       0.862881       0.378623
           2722       0.136653       0.292484
           2725       0.468423       0.319056
           2728        5.61904       0.407812
           2738        1.24086       0.263205
           2739        2.01719       0.326476
           2740       0.619581       0.485836
           2741       0.502439       0.517514
           2746        3.74767       0.313592
           2758    1.50602e-05       0.289848
           2767        1.05975       0.262394
           2769     -0.0221428       0.309545
           2776       0.487713       0.249949
           2778    1.50602e-05       0.313606
           2785    1.50602e-05       0.372502
           2794       0.256639       0.420944
           2805    1.50602e-05       0.284993
           2806        1.28484       0.389303
           2813       0.964287       0.334801
           2818         4.7531       0.380912
           2822       0.847754       0.352155
           2825        1.36391       0.327221
           2831       0.471984         0.2827
           2841        4.50744       0.262057
           2856        1.01558       0.312927
           2870       0.758385       0.402485
           2874        2.02506       0.329508
           2877        0.61462       0.356396
           2878        2.20421        0.29921
           2880    1.50602e-05       0.270034
           2884    1.50602e-05        0.33653
           2888       0.242705       0.380084
           2890        1.17434       0.403657
           2893        6.28791       0.305268
           2895       0.612344       0.287659
           2896    1.50602e-05       0.280398
           2901        1.14733       0.303863
           2920       0.356585       0.313005
           2925       0.841515       0.441868
           2947       0.732274       0.271398
           2957      0.0117444       0.291771
           2973       0.864323       0.286197
           2979       0.205098       0.262775
           2992       0.357489       0.302564
           2994       0.927779       0.315724
           3001         3.0538       0.427332
           3012       0.593818       0.275882
           3022        1.83722       0.294386
           3028       0.712007       0.334557
           3029       0.548436       0.272527
           3037        2.16336       0.379243
           3039       0.774915       0.291877
           3063       0.563842       0.282544
           3066       0.621473       0.267318
           3069        5.19802       0.284122
           3071    1.50602e-05       0.280611
           3074       0.447629       0.304967
           3075        2.51467       0.333954
           3078       0.290136       0.263865
           3081       0.980148       0.313261
           3083        1.90688       0.311288
           3084       0.688328       0.267147
           3085       0.165491       0.316447
           3087        5.28256       0.311876
           3089       0.147214       0.284128
           3093        1.76458       0.294277
           3099       0.214362       0.332804
           3101        1.60667        0.39632
           3103       0.677411       0.281082
           3112       0.912459       0.320376
           3114       0.503336       0.354503
           3119        1.41971       0.465153
