#      Type_SED        SAVEDid          lgSFR          msSFR          xfSFR          xeSFR           MassX
#
              0            530       0.500922       0.896765          3.169          1.176          10.31
              0            532        1.62149        1.42955          41.83          2.506           10.7
              0            533       0.643847        1.77109          4.404          3.187          11.09
              0            540        1.75282        2.07136           56.6          41.38          10.86
             -1            541        1.08529        1.64964          12.17         0.4698          11.12
              0            546        2.70355        2.54527          505.3          322.7          11.25
              0            547        2.61826        2.24933          415.2          219.8          10.96
              0            548        1.96759        2.52166          92.81          61.71          11.59
              0            550       0.886547      0.0471821          7.701          3.145           8.76
             -1            552       0.657056       0.779033           4.54          0.295          10.29
             -1            554       0.671358       0.657071          4.692         0.2266           9.97
              0            559        1.74788        1.87512          55.96          24.77          11.06
              0            561        1.16791        1.34716          14.72          12.03          10.31
              0            562        1.86499        2.28905          73.28           57.5          10.95
              1            564        3.22089        2.81738           1663          66.54          11.49
              0            581       0.966236       0.857775          9.252           7.57           9.74
              0            593        1.82711        1.63298          67.16          26.43          10.63
              0            597        1.61731        1.33111          41.43          34.21           9.89
              0            598        1.47041        1.72968          29.54          13.41          10.81
              0            604       0.588384       0.661135          3.876          3.042          10.07
             -1            606       0.728597        1.03904          5.353          1.149          10.18
             -1            620       0.900913       0.985368           7.96         0.4019          10.28
              0            621        2.33786        2.20688          217.7          125.7          10.94
              0            622        1.10687        1.41283          12.79          9.824          10.43
              0            628       0.958421        1.09833          9.087          3.105          10.08
              0            631        1.55047       0.999558          35.52          17.26           9.87
             -1            637       0.439491        0.98327          2.751         0.2743          10.55
             -1            638        1.26788        1.55599          18.53          1.892          11.08
             -1            652        1.57818        1.58047          37.86          9.914           10.4
              1            658        3.53441        2.57232           3423          15.12          11.18
             -1            659        2.81064        2.95172          646.6           55.7          11.66
              0            661       0.832126       0.771837          6.794          5.234            9.6
              0            664        1.46464        1.58196          29.15          22.64          10.18
              0            669        1.64404         1.3457          44.06           4.93          10.47
             -1            672       0.665769        1.87747          4.632         0.8562          11.29
              0            689       0.521007       0.720003          3.319          2.058          10.02
             -1            692       0.383097        1.57784          2.416        0.04648          11.53
              1            697        1.86558       0.607692          73.38          6.126           9.01
              0            702        1.60853        1.18933           40.6          33.32           9.73
              0            710       0.311542       0.338614          2.049          1.423           9.35
             -1            713       0.367356       0.454146           2.33         0.6813          9.628
              1            714        2.65283         2.1223          449.6          18.33          10.61
              0            718        0.96647        1.26199          9.257          5.982          10.49
              0            719        1.18384        1.55735          15.27          10.86          10.26
             -1            721       0.115611       0.713717          1.305         0.4328          10.12
             -1            729       0.759668       0.610243           5.75          1.658          9.718
             -1            737        1.07445        1.34593          11.87         0.4703          10.93
              0            740    -0.00753485       0.511572         0.9828         0.6464          10.04
              0            748       0.689486       0.982266          4.892          2.815           9.89
             -1            749       0.477555       0.985077          3.003         0.5086          10.36
              0            753       -0.64859       0.892585         0.2246         0.1017          10.61
             -1            760       0.726075       0.844465          5.322          1.582          10.05
             -1            762       0.771881        2.04297          5.914         0.9479           11.7
              0            768        1.50826        1.49842          32.23          27.46          10.03
              0            776       0.240799       0.440991          1.741          1.109            9.8
             -1            779       0.902112        2.11777          7.982          1.976          11.25
              0            786        1.25188        1.43783          17.86          9.596           9.98
              1            793        1.98308       0.874238          96.18          23.02          9.198
              0            804       0.719497       0.901476          5.242          3.841          10.05
              0            805         1.4257        1.44987          26.65          13.47          10.38
              0            807        2.52569        1.54546          335.5            196          10.06
             -1            808       0.506505        1.20477           3.21         0.3049          10.86
              0            809      -0.166917        1.15972         0.6809         0.2308           10.8
             -1            825       0.802158        1.07903          6.341          1.255          10.22
              0            826       0.547405       0.813435          3.527          2.272          10.22
              0            827        1.94091        1.93093          87.28          37.47          11.17
              0            837        3.05269       -84.4646           1129          843.3            -99
              0            841        3.13162       -84.4806           1354          660.5            -99
              0            849        1.23955        1.14664          17.36          6.191           9.98
              0            860        2.04021        2.64151          109.7          45.18          11.38
              0            866        1.08743        1.93557          12.23          9.558          11.13
              0            867       0.895699        1.08443          7.865           3.47          10.05
              0            870        1.55811        1.21745          36.15          5.498          10.54
              0            872        1.67422        1.83104          47.23          23.83           10.6
              0            877        1.46538        1.47787           29.2          21.55          10.44
              0            878      -0.340274      -0.545568         0.4568        0.05282          8.848
              0            881        1.32366        1.23365          21.07          11.98           9.81
              1            884        2.87245        2.33841          745.5            189          10.91
              0            885        1.01072      -0.433705          10.25           4.98          8.398
             -1            886      0.0989896       0.993041          1.256         0.3258          10.59
              0            892        1.09864        1.43837          12.55          6.867          10.39
             -1            893        1.32777        1.38442          21.27          2.115          10.67
              0            899       -0.22878        1.41315         0.5905         0.3589          11.11
             -1            902        1.19893        1.16109          15.81          2.068          10.37
              0            915        2.36605        2.15097          232.3           33.5          10.83
              0            917        1.85594        1.71367          71.77          45.84          10.71
              0            922        1.07188        1.86099           11.8          6.187          10.74
              0            923         2.2222        1.40102          166.8          83.58          10.11
              0            924      -0.157953       0.352475         0.6951         0.4443           9.79
              0            926        1.43727       0.909599          27.37          19.66          9.638
              0            928       0.300161       0.182572          1.996          1.463           9.24
              0            931       0.725176       0.764331          5.311          2.842          10.05
             -1            934       0.492201       0.455636          3.106         0.6238           9.69
              0            937       0.964684        1.16398          9.219          3.672          10.32
             -1            939        1.58047        1.49939          38.06          3.691          10.81
             -1            950        2.00217         2.8682          100.5          32.68          11.72
              0            951      -0.109188      -0.276799         0.7777         0.5646          9.188
              0            960      -0.138048        1.85457         0.7277         0.5469          11.74
             -1            965        1.34986        1.47834          22.38          6.107          10.39
             -1            966        1.00432        1.25716           10.1          1.605          10.25
              0            972      -0.413638      -0.802357         0.3858         0.1685          8.448
              1            974        2.99445        2.51482          987.3          256.6           11.1
              0            994        1.04883       0.969418          11.19          7.038          10.01
             -1            995        1.17609        1.21917             15          3.282           10.2
             -1           1002       0.965954        1.44471          9.246          1.287          10.74
              0           1005        2.63124        2.29024          427.8          230.6          10.95
             -1           1006        1.66162        1.91746          45.88           2.78          11.34
             -1           1008        1.42813         1.5888           26.8          2.901          10.86
              0           1023        1.56348        2.26894           36.6          32.03          11.09
             -1           1026        1.27207        1.33994          18.71          4.624          10.08
              0           1035       0.172311      0.0602374          1.487         0.5494          9.128
              1           1036        2.69108        1.97937            491          99.79          10.42
             -1           1037       0.761627       0.996794          5.776          1.357          10.32
             -1           1042       0.428621        0.80758          2.683         0.5112          9.848
              0           1053        2.07737        2.23551          119.5          81.57          10.99
              0           1058       0.675595        1.53883          4.738          2.636          10.79
              0           1064       0.409764        0.62055          2.569          1.666          10.01
              0           1075        1.02898        1.55674          10.69          5.559           10.8
              0           1076        1.72346        1.21717           52.9          20.35          10.04
             -1           1077        1.11893        1.24887          13.15          2.031           10.5
              0           1081      -0.295078       -1.12827         0.5069         0.4502           8.16
             -1           1084        1.74811        1.88401          55.99          6.144          11.15
              0           1089         1.0086        1.45159           10.2          5.553          10.73
              0           1091        1.45682        1.62399          28.63          20.84          10.13
              1           1094        2.49485         2.0284          312.5          7.884          10.53
              0           1101       0.943445        1.13002          8.779          7.296          10.24
             -1           1102       0.370513       0.231021          2.347         0.1833          9.628
              1           1103        1.88434        1.51589          76.62          11.22          10.54
              0           1104       0.665112       0.435265          4.625         0.6901          9.768
             -1           1105        1.22401        1.66348          16.75          1.806          11.02
              0           1109        3.99708       -84.4699           9933           9933            -99
              0           1113        1.21059       0.943863          16.24          3.631           9.76
              0           1118       0.277151    -0.00179021          1.893        0.09253           9.42
             -1           1121       0.741309        1.87787          5.512          1.646          11.41
              0           1123        1.80882        1.86558          64.39          46.73          10.37
              0           1125       0.684396        1.78272          4.835          2.481          11.11
              0           1129        2.00903        1.80845          102.1          51.86           10.4
             -1           1133      -0.689307      -0.175226         0.2045        0.05358           9.34
              1           1135      -0.741842       -2.99235         0.1812        0.03195          5.908
              0           1140      0.0178677      -0.482848          1.042         0.8109           8.72
              0           1141        1.34203        1.18162          21.98          11.05          10.24
             -1           1143      0.0920185       0.558236          1.236        0.05777          10.24
              0           1144       0.810434        1.92633          6.463          5.553          11.08
              0           1146        3.19921       -84.4669           1582           1167            -99
              0           1147        1.17231        1.33792          14.87          5.425          10.38
              0           1148        2.49845        2.71377          315.1          156.1          11.44
              0           1150        1.34203        1.50848          21.98          8.601          10.53
             -1           1159        2.34713        2.52716          222.4          49.75          11.31
              0           1160        1.41044        1.87935          25.73          16.14          10.56
              1           1167        2.43088        1.63733          269.7          15.37          10.12
              0           1168        3.72575        -84.472           5318           4947            -99
              0           1172       0.970114        1.57873          9.335          6.394          10.64
              0           1181        1.01452        1.59444          10.34          5.384          10.42
              0           1186        1.38328        1.60883          24.17          17.83           10.6
              0           1202        1.11959        1.24204          13.17          5.895          9.948
              0           1208        1.32387         1.2726          21.08          7.567          10.14
              0           1221        1.17898         1.2489           15.1          6.271          10.33
              0           1222       0.558589       0.620966          3.619          3.022          9.718
              0           1225       0.737829       0.905123          5.468          3.489          10.45
             -1           1235        1.36586        1.22754          23.22          6.775          10.51
             -1           1239        1.42472        2.24971          26.59          6.114          11.85
              0           1248        1.91228        1.50921          81.71          39.51          10.61
              0           1252        1.14082        1.29045          13.83          8.902          9.858
             -1           1253        1.49346        1.50272          31.15          8.757          10.27
             -1           1262         2.8772        3.79583          753.7          127.3          12.74
              0           1269        2.13735        1.81079          137.2          71.58          10.52
             -1           1270        0.80679         0.9647          6.409          2.114          10.03
              0           1273       0.377124       0.765441          2.383         0.8701          10.05
              0           1278        1.22608        1.35194          16.83          8.443          10.23
              0           1284        2.48044        2.18949          302.3            112          10.73
              0           1285       -0.69037       -1.21712          0.204         0.1937          8.138
             -1           1293       0.908378        1.05235          8.098          1.206          10.37
              0           1303       0.248219       0.108336          1.771         0.6099          9.318
              0           1306       -2.22076       -2.73991       0.006015       0.006014          6.328
              0           1313       0.154728      -0.427943          1.428          1.068           8.86
             -1           1315        1.65571        1.64339          45.26           10.3          10.47
              0           1320         1.2014        1.21651           15.9          7.604          10.31
              0           1334        1.16346        2.15207          14.57          10.88          11.17
              0           1335         1.0406         1.0668          10.98           4.83           10.2
              0           1337        1.20003        1.05648          15.85          6.705          10.27
             -1           1338        1.54728        1.63987          35.26          2.718           10.7
             -1           1341        1.31112        1.26024          20.47          2.506          10.46
              0           1342       -2.34688       -1.95781       0.004499       0.004498          7.318
              0           1348      -0.094906       0.333759         0.8037         0.5171          9.708
              0           1350        1.19117        1.17175          15.53          9.339          10.24
              0           1355        1.09864        1.25459          12.55          8.608          10.32
             -1           1357        1.10789        1.29566          12.82          3.945          10.26
             -1           1367        1.17377        1.33131          14.92          2.878          10.08
              0           1368        2.34674        2.43266          222.2          107.9          11.21
              0           1369        1.80584        1.97289          63.95          32.38          10.76
             -1           1371       0.672929        0.77826          4.709         0.9409          9.828
              0           1384        1.73416        1.62117          54.22          26.64           10.7
              0           1387        3.21617       -84.4575           1645           1619            -99
              0           1391       0.517855       0.810452          3.295          1.279          9.868
              0           1393        1.31973       0.998352          20.88          11.41           9.97
             -1           1394       0.611829       0.661152          4.091        0.04131          10.35
              0           1396       0.276462       0.966452           1.89          1.353          10.33
              0           1401        1.39058        1.50368          24.58          19.23          10.18
              0           1402        1.70484        1.91898          50.68          30.13           10.8
              0           1416        1.29425        1.64195          19.69           8.63          10.28
             -1           1419       0.921634        1.56233          8.349          2.321          10.74
              0           1420        1.45545        1.72324          28.54          17.27           10.7
             -1           1434       0.554489       0.740322          3.585         0.4599          10.26
              1           1437         1.3969       0.416431          24.94         0.5439           9.16
              0           1445        2.50147        2.76598          317.3          160.6           11.7
             -1           1449       0.298635       0.848805          1.989         0.2473          10.37
              0           1452        1.71525        1.50467          51.91          22.52          10.54
              0           1458        1.39445         1.5569           24.8          9.117          10.52
             -1           1469       0.448861        1.70238          2.811         0.8133          10.95
              0           1475        2.21801        2.12189          165.2          64.28          11.02
             -1           1476       0.786751        1.40778           6.12         0.9669          10.78
              0           1477       -3.06661        -2.1883      0.0008578      0.0008549           7.06
              0           1479        0.73175        1.10716          5.392          3.691          10.33
              0           1480        1.61637         2.4811          41.34           33.3          11.23
              0           1490        2.18041        1.93158          151.5          75.25          10.79
             -1           1491        1.21112        1.10487          16.26          4.835           10.4
              0           1495        2.94037       -84.4545          871.7          871.7            -99
              0           1497          1.824        2.18431          66.68          28.85          10.97
             -1           1501        1.57484        2.10994          37.57          3.317          11.25
              0           1502        1.39967        1.50692           25.1           20.5           10.2
              0           1513       0.786822        1.89404          6.121          3.617          11.26
