#      Type_AGN        SAVEDid          radio         eradio          xfRad           xeRad
#
              0            606            2.2          2.873       0.003154        0.00071
              0            620          7.954           2.88       0.007961       0.000215
              0            621          15.67           2.88        0.01218       0.005105
              0            622           3.68            2.9        0.00322       0.001884
              0            628          2.167          2.921       0.003309       0.001199
              0            631          12.46          2.956       0.009364       0.001756
              0            637           9.11          3.039       0.008435      0.0006305
              0            638           42.8            8.4        0.02823        0.00288
              0            652          1.154          2.916       0.005715       0.001529
              1            658          143.3            3.5        0.08879       0.000415
              0            659          11.81          2.971        0.01357       0.002005
              0            661          1.741          2.892       0.001629      0.0009874
              0            664          2.607          3.032       0.001905       0.001373
              0            669           25.8            3.9        0.01964        0.00146
              1            672          14.84          2.955        0.00338      0.0006195
              0            689          7.315          3.184        0.00493       0.003208
              0            692           36.8            6.8        0.02633       0.000505
              0            697           2.24          2.883       0.007858       0.000656
              0            702         0.8757          2.897       0.003149       0.002593
              0            710          3.402          2.976       0.001562       0.001023
              0            713          1.269          2.975       0.002532      0.0007985
              0            714          10.61           2.86        0.01161       0.000475
              0            718          3.125          2.989        0.00498       0.002279
              0            719        -0.3481          2.915       0.001557       0.001189
              0            721          4.346          2.849       0.002667        0.00093
              0            729          2.823          2.878       0.004829       0.001509
              1            737           50.6            6.4        0.02661       0.000915
              0            740         0.1986          2.995       0.004155       0.001624
              0            748          3.338          3.105       0.001521      0.0007091
              0            749          11.44          3.068       0.004198       0.000882
              0            753        -0.3587          2.895       0.001981       0.001011
              0            760          5.129          2.957       0.004724       0.001551
              0            762          10.66          2.999       0.008514        0.00145
              0            768          1.629          2.885       0.001853       0.001502
              0            776          3.658          2.919       0.003271       0.000921
              1            779           54.8            3.2       0.002053      0.0005405
              0            786          2.089          2.955       0.001222      0.0006668
              0            793          8.093          2.959       0.006133       0.001078
              0            804          3.642              3        0.00419       0.003159
              0            805          4.288          2.955       0.006136       0.002347
              0            807          14.97          3.048        0.01755       0.008871
              0            808          18.14          2.831        0.01122       0.000735
              0            809          1.658          2.866        0.00227      0.0005715
              0            825          10.19          3.004        0.00372       0.000863
              0            826          6.678           2.95       0.005542       0.001469
              1            827          116.2            3.5        0.03156       0.002865
              0            837          10.09          2.911        0.01123       0.002335
              0            841          10.57          2.858        0.01227        0.00062
              0            849          10.97           2.96       0.003685       0.001651
              0            860          6.458          2.974       0.005481       0.002508
              0            866          4.401          2.861       0.003407       0.002048
              0            867         0.4727          2.885       0.002619      0.0007805
