#         id              ra             dec            z        z_opt       z_spec         f500        df500
#                                                                                          [mJy]        [mJy]
       15174     189.2130127      62.1752357       0.4099         0.47       0.4099        7.995        2.125
       15229     189.2832184      62.1746407        1.423         1.28           -1        9.841        3.133
       15289     188.9900818      62.1734276        3.075         0.17        3.075        9.137        2.318
       15524     189.3860626      62.1702805          1.8          1.8           -1        11.58        3.312
       15681     189.0797272      62.1678848        2.215         2.95        2.215        10.34        3.398
       15820     189.1302948      62.1660690        2.302         2.32        2.302        13.38        2.252
       15826     188.9298096      62.1653404        1.823         1.59           -1         19.1         4.42
       15847     188.9712219      62.1651230        1.605         1.42           -1        10.14        2.588
       15902     189.0274048      62.1643295        0.637         0.83        0.637        14.02        1.595
       15962     189.3742218      62.1641846        1.136         1.04           -1         13.8         4.41
       15984     189.0585175      62.1634331        2.365         2.22           -1        6.905        1.617
       16121     189.1436768      62.1616745        3.834         4.11           -1        12.06        2.243
       16248     189.0993958      62.1593246        2.084         2.07           -1        6.641        1.349
       16251     189.1774139      62.1594429       0.5284         0.48       0.5284        7.082        1.555
       16297     188.9710388      62.1582680        2.869         2.64           -1        14.02        2.399
       16466     189.2034454      62.1560974         2.54         2.54           -1        7.015        1.401
       16495     188.9395905      62.1554375         1.29         1.29           -1        9.516        3.093
       16681     189.2510834      62.1527367         2.58         2.58           -1        16.08        2.839
       16716     189.3449860      62.1525421       0.3229         0.44       0.3229        29.03        6.338
       16775     189.0784912      62.1502724         2.33         2.16           -1        8.879        1.465
       16810     189.0555725      62.1504669        3.138         2.96           -1        9.826        1.613
       16953     189.0308228      62.1480751         2.18         2.03           -1         16.4        5.141
       16967     189.1542816      62.1478767         2.02         2.01         2.02        14.91        1.799
       17141     189.2906189      62.1448250        0.903         1.01        0.903        12.72        3.473
       17199     189.0525208      62.1432533        2.429         2.31           -1        14.29        3.318
       17213     189.1384277      62.1429749        0.934         0.97        0.934         8.55         2.76
       17244     189.1944427      62.1425705       0.9712         1.02       0.9712        16.56        4.297
       17274     189.3136597      62.1419449         1.72         1.72           -1        24.36        7.346
       17770     189.1909637      62.1317253        1.434          1.2        1.434        7.299        2.241
       18003     189.1213989      62.1272163        1.968         1.84           -1        8.855        2.595
       18194     189.2781830      62.1229248        1.218         1.14        1.218        15.55        4.626
       18341     189.1493683      62.1187859        1.266         1.16           -1        21.66        2.644
       18594     189.1324768      62.1121025        2.231         2.29           -1         14.2        2.738
       18636     189.0852509      62.1110649        2.349         2.54           -1        16.04        2.893
       18664     189.0261536      62.1102448        1.642         1.55           -1        24.19        5.197
       18695     189.1747437      62.1092529        1.707         1.59           -1        10.59        2.249
       18911     189.1133881      62.1015778        4.551          -99           -1        31.58        4.512
