#   coo_zmin    coo_zmax    coo_zcen    coo_zdis         coo_zvol
#
      0.6000      0.6000      0.6000      0.0000   1.7502862e-12
      0.6000      0.6040      0.6020      0.0040       696.80825
      0.6000      0.6080      0.6040      0.0080       1399.8943
      0.6000      0.6120      0.6060      0.0120       2109.2556
      0.6000      0.6160      0.6080      0.0160       2824.8738
      0.6000      0.6200      0.6100      0.0200       3546.7479
      0.6000      0.6240      0.6120      0.0240       4274.8821
      0.6000      0.6280      0.6140      0.0280       5009.2472
      0.6000      0.6320      0.6160      0.0320       5749.8438
      0.6000      0.6360      0.6180      0.0360       6496.6712
      0.6000      0.6400      0.6200      0.0400        7249.703
      0.6000      0.6440      0.6220      0.0440        8008.936
      0.6000      0.6480      0.6240      0.0480        8774.382
      0.6000      0.6520      0.6260      0.0520       9545.9969
      0.6000      0.6560      0.6280      0.0560       10323.793
      0.6000      0.6600      0.6300      0.0600       11107.773
      0.6000      0.6640      0.6320      0.0640       11897.852
      0.6000      0.6680      0.6340      0.0680       12694.089
      0.6000      0.6720      0.6360      0.0720       13496.493
      0.6000      0.6760      0.6380      0.0760       14304.981
      0.6000      0.6800      0.6400      0.0800       15119.575
      0.6000      0.6840      0.6420      0.0840       15940.301
      0.6000      0.6880      0.6440      0.0880       16766.997
      0.6000      0.6920      0.6460      0.0920       17599.911
      0.6000      0.6960      0.6480      0.0960       18438.782
      0.6000      0.7000      0.6500      0.1000       19283.705
      0.6000      0.7040      0.6520      0.1040       20134.669
      0.6000      0.7080      0.6540      0.1080       20991.659
      0.6000      0.7120      0.6560      0.1120       21854.573
      0.6000      0.7160      0.6580      0.1160       22723.568
      0.6000      0.7200      0.6600      0.1200       23598.542
      0.6000      0.7240      0.6620      0.1240       24479.384
      0.6000      0.7280      0.6640      0.1280       25366.128
      0.6000      0.7320      0.6660      0.1320         26258.9
      0.6000      0.7360      0.6680      0.1360       27157.581
      0.6000      0.7400      0.6700      0.1400        28062.11
      0.6000      0.7440      0.6720      0.1440        28972.55
      0.6000      0.7480      0.6740      0.1480       29888.841
      0.6000      0.7520      0.6760      0.1520       30810.963
      0.6000      0.7560      0.6780      0.1560       31738.975
      0.6000      0.7600      0.6800      0.1600       32672.656
      0.6000      0.7640      0.6820      0.1640       33612.237
      0.6000      0.7680      0.6840      0.1680       34557.697
      0.6000      0.7720      0.6860      0.1720       35508.756
      0.6000      0.7760      0.6880      0.1760       36465.522
      0.6000      0.7800      0.6900      0.1800       37428.155
      0.6000      0.7840      0.6920      0.1840       38396.415
      0.6000      0.7880      0.6940      0.1880       39370.463
      0.6000      0.7920      0.6960      0.1920        40350.03
      0.6000      0.7960      0.6980      0.1960       41335.394
      0.6000      0.8000      0.7000      0.2000       42326.286
