#        z   magcolor_B_V   magcolor_V_z   magcolor_V_i   magcolor_i_z   magcolor_J_H   magcolor_H_IRAC2
      1.00           0.61           1.23           0.70           0.52           0.23           1.00
      1.25           0.66           1.09           0.53           0.56           0.23           1.03
      1.50           0.82           0.91           0.49           0.42           0.23           1.16
      1.75           0.90           0.82           0.51           0.31           0.28           1.25
      2.00           1.00           0.85           0.54           0.30           0.44           1.32
      2.25           1.13           0.93           0.63           0.30           0.63           1.51
      2.50           1.20           1.04           0.72           0.31           0.73           1.62
      2.75           1.39           1.12           0.78           0.34           0.70           1.85
      3.00           1.67           1.19           0.82           0.37           0.61           2.01
      3.25           2.11           1.31           0.89           0.42           0.51           2.05
      3.50           2.56           1.44           0.94           0.50           0.43           2.12
      3.75           3.03           1.54           1.02           0.52           0.39           2.14
      4.00           3.44           1.64           1.13           0.50           0.39           2.05
      4.25           3.64           1.83           1.34           0.49           0.40           2.01
      4.50           3.86           2.02           1.47           0.55           0.40           2.05
      4.75           3.71           2.40           1.77           0.63           0.41           2.08
      5.00           3.59           2.76           2.08           0.68           0.42           2.11
      5.25           3.45           3.14           2.43           0.72           0.44           2.14
      5.50           3.30           3.49           2.74           0.75           0.47           2.17
      5.75           3.18           3.80           2.98           0.83           0.51           2.21
      6.00           3.16           4.11           3.14           0.96           0.56           2.24
