#        z   magcolor_B_V   magcolor_V_z   magcolor_V_i   magcolor_i_z   magcolor_J_H   magcolor_H_IRAC2
      1.00           0.27           0.91           0.49           0.42           0.15           0.75
      1.25           0.28           0.73           0.29           0.44           0.14           0.76
      1.50           0.39           0.51           0.23           0.29           0.13           0.85
      1.75           0.44           0.39           0.22           0.17           0.17           0.91
      2.00           0.49           0.37           0.23           0.15           0.32           0.95
      2.25           0.58           0.41           0.28           0.13           0.50           1.10
      2.50           0.61           0.48           0.35           0.13           0.59           1.17
      2.75           0.75           0.52           0.38           0.14           0.55           1.37
      3.00           0.99           0.56           0.40           0.16           0.45           1.49
      3.25           1.39           0.64           0.44           0.20           0.34           1.52
      3.50           1.79           0.72           0.47           0.26           0.24           1.57
      3.75           2.22           0.79           0.52           0.27           0.20           1.57
      4.00           2.59           0.85           0.60           0.24           0.19           1.46
      4.25           2.75           1.00           0.79           0.22           0.18           1.41
      4.50           2.93           1.15           0.89           0.26           0.17           1.41
      4.75           2.73           1.50           1.16           0.33           0.17           1.42
      5.00           2.58           1.81           1.45           0.36           0.18           1.41
      5.25           2.39           2.16           1.77           0.39           0.18           1.42
      5.50           2.19           2.47           2.06           0.41           0.20           1.42
      5.75           2.03           2.74           2.26           0.48           0.23           1.43
      6.00           1.97           3.00           2.41           0.59           0.27           1.43
