#        z   magcolor_B_V   magcolor_V_z   magcolor_V_i   magcolor_i_z   magcolor_J_H   magcolor_H_IRAC2
      1.00           0.95           1.54           0.91           0.63           0.31           1.24
      1.25           1.04           1.45           0.77           0.68           0.33           1.31
      1.50           1.24           1.30           0.75           0.55           0.34           1.47
      1.75           1.37           1.26           0.80           0.46           0.39           1.59
      2.00           1.51           1.32           0.86           0.46           0.57           1.69
      2.25           1.68           1.44           0.97           0.47           0.77           1.93
      2.50           1.80           1.59           1.09           0.50           0.88           2.07
      2.75           2.02           1.71           1.18           0.53           0.86           2.34
      3.00           2.35           1.82           1.24           0.58           0.78           2.52
      3.25           2.83           1.98           1.33           0.65           0.69           2.59
      3.50           3.32           2.15           1.42           0.73           0.62           2.68
      3.75           3.84           2.29           1.52           0.77           0.59           2.72
      4.00           4.29           2.43           1.66           0.77           0.60           2.64
      4.25           4.53           2.66           1.89           0.77           0.61           2.62
      4.50           4.80           2.89           2.05           0.84           0.63           2.68
      4.75           4.69           3.31           2.38           0.93           0.64           2.75
      5.00           4.61           3.71           2.72           0.99           0.67           2.80
      5.25           4.51           4.13           3.08           1.05           0.70           2.87
      5.50           4.40           4.52           3.43           1.09           0.74           2.93
      5.75           4.33           4.87           3.69           1.18           0.79           2.99
      6.00           4.35           5.21           3.88           1.33           0.85           3.06
