#        z   magcolor_B_V   magcolor_V_z   magcolor_V_i   magcolor_i_z   magcolor_J_H   magcolor_H_IRAC2
      1.00           1.63           2.17           1.34           0.84           0.48           1.73
      1.25           1.81           2.16           1.24           0.91           0.51           1.86
      1.50           2.09           2.09           1.28           0.81           0.54           2.08
      1.75           2.30           2.13           1.38           0.74           0.62           2.27
      2.00           2.53           2.27           1.49           0.78           0.81           2.45
      2.25           2.78           2.47           1.66           0.81           1.04           2.77
      2.50           2.99           2.70           1.83           0.86           1.16           2.99
      2.75           3.30           2.89           1.97           0.93           1.17           3.33
      3.00           3.71           3.09           2.09           1.00           1.11           3.57
      3.25           4.27           3.32           2.23           1.09           1.04           3.67
      3.50           4.85           3.57           2.37           1.20           0.99           3.80
      3.75           5.45           3.79           2.53           1.26           0.98           3.88
      4.00           5.99           4.00           2.71           1.29           1.01           3.82
      4.25           6.31           4.32           3.00           1.32           1.05           3.84
      4.50           6.66           4.62           3.21           1.41           1.08           3.96
      4.75           6.64           5.13           3.59           1.54           1.12           4.08
      5.00           6.65           5.60           3.98           1.62           1.17           4.19
      5.25           6.63           6.10           4.40           1.70           1.21           4.31
      5.50           6.61           6.57           4.80           1.77           1.28           4.43
      5.75           6.62           7.00           5.11           1.89           1.34           4.55
      6.00           6.72           7.42           5.36           2.06           1.43           4.68
