#        z   magcolor_B_V   magcolor_V_z   magcolor_V_i   magcolor_i_z   magcolor_J_H   magcolor_H_IRAC2
      1.00          -0.07           0.59           0.28           0.31           0.06           0.50
      1.25          -0.10           0.38           0.05           0.32           0.05           0.48
      1.50          -0.03           0.12          -0.04           0.16           0.03           0.55
      1.75          -0.03          -0.05          -0.07           0.02           0.05           0.57
      2.00          -0.02          -0.10          -0.09          -0.01           0.19           0.58
      2.25           0.02          -0.10          -0.06          -0.04           0.37           0.68
      2.50           0.02          -0.07          -0.01          -0.05           0.44           0.73
      2.75           0.11          -0.07          -0.01          -0.06           0.39           0.89
      3.00           0.31          -0.07          -0.02          -0.05           0.28           0.98
      3.25           0.66          -0.03          -0.01          -0.02           0.16           0.99
      3.50           1.03           0.01          -0.01           0.02           0.06           1.02
      3.75           1.42           0.04           0.02           0.02           0.00           1.00
      4.00           1.74           0.06           0.08          -0.02          -0.02           0.87
      4.25           1.86           0.18           0.23          -0.06          -0.04           0.80
      4.50           1.99           0.28           0.31          -0.03          -0.05           0.77
      4.75           1.76           0.59           0.56           0.03          -0.07           0.75
      5.00           1.56           0.87           0.82           0.05          -0.07           0.72
      5.25           1.33           1.17           1.11           0.06          -0.08           0.69
      5.50           1.09           1.44           1.37           0.07          -0.07           0.67
      5.75           0.89           1.67           1.55           0.12          -0.05           0.64
      6.00           0.78           1.89           1.67           0.23          -0.02           0.62
