#        z   magcolor_B_V   magcolor_V_z   magcolor_V_i   magcolor_i_z   magcolor_J_H   magcolor_H_IRAC2
      1.00           0.27           0.86           0.43           0.44           0.17           0.77
      1.25           0.32           0.62           0.20           0.43           0.15           0.76
      1.50           0.33           0.29           0.25           0.04           0.19           0.85
      1.75           0.54           0.26           0.18           0.08           0.09           0.91
      2.00           0.43           0.30           0.19           0.11           0.17           0.88
      2.25           0.35           0.36           0.24           0.12           0.46           1.05
      2.50           0.67           0.33           0.32           0.01           0.85           1.17
      2.75           0.80           0.53           0.45           0.08           0.79           1.09
      3.00           0.63           0.59           0.44           0.15           0.57           1.26
      3.25           1.27           0.51           0.39           0.12           0.47           1.73
      3.50           1.77           0.38           0.29           0.09           0.24           1.63
      3.75           2.94           0.56           0.36           0.21           0.21           1.33
      4.00           2.78           0.90           0.46           0.44           0.27           1.41
      4.25           3.18           0.72           0.66           0.06           0.28           1.31
      4.50           3.23           0.46           0.54          -0.08           0.17           1.36
      4.75           3.45           0.68           0.63           0.05           0.15           1.38
      5.00           2.94           1.15           1.09           0.06           0.16           1.39
      5.25           2.62           1.90           1.51           0.39           0.19           1.39
      5.50           2.75           1.89           1.11           0.78           0.23           1.42
      5.75           1.46           3.07           2.82           0.25           0.23           1.46
      6.00           1.73           2.82           2.75           0.07           0.30           1.37
