#     _id          _ra          _de       zp_X         f24        df24         f16        df16        f100       df100        f160       df160        f250       df250        f350       df350        f500       df500       f1160      df1160       radio      eradio       _fch1      _dfch1       _fch2      _dfch2       _fch3      _dfch3       _fch4      _dfch4       KtotX       MassX       distX       spezX          zq      source       distz         idz    goodArea
#
6          189.3485107   62.4028587      0.91       314.9       13.71         -99       1e+10       1.971      0.6668       2.159       1.923       13.94       2.889       11.59       2.836         -99       1e+10         -99       1e+10       11.49       3.202         -99         -99         -99         -99         -99         -99       35.32       2.241       19.77       10.88      0.1098       1.035          -1          81       0.131          -1           0
18         189.3498383   62.4003258      1.02       56.32       10.28         -99       1e+10      0.0137      0.6284       3.379       1.611         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.4365       3.186       8.307        0.15       6.171       0.421         -99         -99       5.109       1.872        21.4       10.19      0.9166          -1         -99         -99       9.459         -99           0
35         189.3342133   62.3983154       -99        23.6        8.97         -99       1e+10      0.6621      0.4756      0.6777       1.206         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       2.793       3.066       -0.23       0.128        0.79       0.167       9.472       1.737      -1.911       1.154         -99         -99       2.835          -1        -999         -99       29.05         -99           0
36         189.3627319   62.3979416      0.37       189.5       8.795         -99       1e+10       5.336      0.7658       10.26       2.087       8.379       3.402         -99       1e+10         -99       1e+10         -99       1e+10       17.18       3.181       41.08       0.121       39.27       0.455        38.6       2.011       77.15       1.858       19.19        9.75      0.2252          -1         -99         -99       29.55         -99           0
38         189.3673859   62.3982124      3.78      -0.553       17.74         -99       1e+10    -0.03261      0.6858       2.179       2.023        7.93       3.073       7.733        3.05       9.473       3.715      0.3465       1.128       12.92        3.22       1.808       0.152         -99         -99       7.493       2.003       8.538       2.339       23.68          10      0.4338          -1         -99         -99        35.6         -99           0
44         189.3435364   62.3971863      3.87       26.67        9.11         -99       1e+10      0.7222      0.5902     0.01973       1.516   3.209e-07        4.24   2.905e-07       3.136         -99       1e+10    -0.06307       1.026       2.416       3.187       0.836       0.096       0.856       0.192       4.302       1.261       0.661       1.209       23.77       10.25      0.4377          -1         -99         -99       22.16         -99           0
48         189.3411560   62.3968201      2.26       48.08       6.591       0.257          43    -0.03261      0.6796     0.01973       1.764       1.401       3.821         -99       1e+10         -99       1e+10         -99       1e+10       4.285        3.18       4.476       0.096       5.069       0.172       7.437       1.227       5.357       1.146       22.92       10.89      0.1337          -1         -99         -99       25.08         -99           0
50         189.3090210   62.3967781       1.4       44.62       17.65         -99       1e+10      0.7505      0.4095     0.01973      0.8369         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10      0.6058         3.1         -99         -99       9.219       0.152         -99         -99       7.086       1.071       22.03       10.55     0.05784          -1         -99         -99       21.41         -99           0
56         189.3330841   62.3961372      2.41       3.418       7.585       0.257       16.74      0.1222      0.4646     0.01973       1.167         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       7.701       3.145        0.47       0.103       0.471       0.142      -0.063       1.322      -0.294       1.008       22.99       10.39      0.6433          -1         -99         -99       29.56         -99           0
64         189.3278351   62.3952713      1.37       25.69       6.868        18.1       19.73      0.1811      0.4251       1.321       1.089         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       3.532       3.068       6.981       0.105       7.582       0.133       4.441       1.372        6.21       0.939       21.91       10.19     0.06866          -1         -99         -99       21.21         -99           0
65         189.3402405   62.3952560      2.07       28.75       8.598       0.257       24.81    -0.03261      0.5418     0.01973       1.131         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     -0.4437       3.058       3.663       0.089       3.892       0.147       4.934       1.103       3.617       1.015       22.62       10.56     0.02892          -1         -99         -99       24.53         -99           0
