#            id   flag_SB_MS_1   dist_to_MS_1   dist_to_MS_2        log_SFR   log_SFR_MS_1    log_SFR_MS_2
#
            468              0      -0.345781      -0.471263        1.97612         2.3219        2.44738
            481              0         0.5219       0.677618       -1.00511       -1.52701       -1.68273
            482              0      -0.210877      -0.115501        1.38632         1.5972        1.50182
            490              0      0.0260207      0.0503684       0.776483       0.750463       0.726115
            498              1       0.463432       0.420643        2.57136        2.10793        2.15072
            501              0       0.122153       0.229952        1.72908        1.60693        1.49913
            502              0      -0.260143      -0.179434        1.43008        1.69022        1.60951
            503              0      -0.508952      -0.464515        1.27531        1.78426        1.73983
            505              0       0.329716       0.525949        1.69836        1.36865        1.17241
            506              0            -99            -99        1.62118            -99            -99
            509              0      -0.284272      -0.477889      0.0744507       0.358723        0.55234
            510             -1      0.0266825      -0.080078        1.30771        1.28103        1.38779
            512              0       0.538808       0.644235        1.02694       0.488133       0.382707
            516              0            -99            -99        2.19368            -99            -99
            521              0      -0.290201      -0.398027        0.89254        1.18274        1.29057
            530              0       -0.46108      -0.645437       0.435685       0.896765        1.08112
            532             -1       0.184402      0.0791981        1.61395        1.42955        1.53475
            533              0        -1.2824       -1.28535       0.488692        1.77109        1.77404
            540              0      -0.424079      -0.448505        1.64729        2.07136        2.09579
            541             -1      -0.679947      -0.656438       0.969695        1.64964        1.62613
            546             -1       0.144607      0.0728617        2.69223        2.54762        2.61937
            547             -1       0.382735       0.340376        2.67376        2.29102        2.33338
            548             -1      -0.619441      -0.470981        1.88366         2.5031        2.35464
            550              0       0.488112       0.750213       0.535294      0.0471821      -0.214919
            552             -1      -0.143247      -0.349293       0.635785       0.779033       0.985078
            554             -1     -0.0969247      -0.247163       0.560146       0.657071       0.807309
            559             -1      -0.100692      -0.118077        1.83992        1.94061          1.958
            561              0      -0.368658      -0.399092         0.9785        1.34716        1.37759
            562              0      -0.469939      -0.511086        1.81365        2.28359        2.32473
            564              0       0.427883       0.240909        3.24527        2.81738        3.00436
            581              0     -0.0131736      0.0591834       0.844601       0.857775       0.785418
            593             -1       0.245573       0.204184        1.94503        1.69945        1.74084
            597              0       0.106798       0.274098        1.43791        1.33111        1.16381
            598             -1      -0.124587      -0.185542        1.60509        1.72968        1.79063
            604              0      -0.126982      -0.319074       0.534153       0.661135       0.853227
            606              0       -0.43937      -0.533287       0.599665        1.03904        1.13295
            620             -1      -0.106387      -0.260101       0.878981       0.985368        1.13908
            621             -1       0.225607       0.189352         2.4833         2.2577        2.29395
            622              0      -0.482242      -0.543546       0.930592        1.41283        1.47414
            628              0      -0.195779      -0.207173       0.902547        1.09833        1.10972
            631              0         0.4939       0.555861        1.49346       0.999558       0.937597
            637              0      -0.508763      -0.673258       0.474508        0.98327        1.14777
            638              0      -0.224566      -0.210702        1.33143        1.55599        1.54213
            652              0     -0.0626892     -0.0507758        1.50893        1.57162        1.55971
            658             -1       0.346964       0.185358        2.91929        2.57232        2.73393
            659              0       -0.29861      -0.503123        2.65925        2.95786        3.16237
            661              0     -0.0229521      0.0895174       0.748885       0.771837       0.659368
            664              0      -0.110373    0.000140203        1.47159        1.58196        1.47144
            669             -1       0.217545       0.121033        1.56324         1.3457        1.44221
            672              0       -1.12905       -1.03754       0.748421        1.87747        1.78596
            689              0      -0.215261      -0.364179       0.504743       0.720003       0.868921
            692             -1       -1.12852      -0.657714       0.449324        1.57784        1.10704
            697              0        1.05659        1.39333        1.63063       0.574045       0.237304
            702              0        0.23588       0.433424        1.42521        1.18933       0.991784
            710              0     -0.0135094      0.0450162       0.325105       0.338614       0.280089
            713              0       -0.15095      -0.199042       0.303196       0.454146       0.502238
            714              0       0.279615       0.235949        2.40192         2.1223        2.16597
            718              0      -0.400155       -0.52421       0.861833        1.26199        1.38604
            719              0      -0.369828       -0.29679        1.18752        1.55735        1.48431
            721              0      -0.661408      -0.852768      0.0523091       0.713717       0.905077
            729              0       0.100974      0.0733741       0.711217       0.610243       0.637842
            737             -1      -0.234667      -0.275358        1.11126        1.34593        1.38662
            740              0      -0.680727      -0.908207      -0.169155       0.511572       0.739052
            748              0       -0.41893      -0.373084       0.568788       0.987718       0.941872
            749              0       -0.30221      -0.473252       0.682867       0.985077        1.15612
            753              0       -1.84844        -1.9871      -0.955852       0.892585        1.03125
            760              0       -0.18674      -0.296999       0.657725       0.844465       0.954724
            762              0       -1.24088      -0.817597       0.802089        2.04297        1.61969
            768              0      -0.122393      0.0243671        1.37603        1.49842        1.35166
            776              0      -0.243986      -0.396305       0.197005       0.440991        0.59331
            779              0       -1.62208       -1.58575       0.495683        2.11777        2.08144
            786              0     -0.0124582        0.14224        1.42537        1.43783        1.28313
            793              0       0.767038        1.09027        1.64128       0.874238       0.551006
            804              0      -0.251768      -0.310528       0.704236       0.956005        1.01476
