#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
152       2.151      0.7345       4.135      0.4405       6.207       0.793       4.702       1.445       2.547       0.995        1.02      0.4612      0.2092      0.1032     0.07926     0.04004     0.07124     0.03404      0.0626     0.02757     0.01389    0.007054     0.01284     0.00651     0.01465    0.002455
158        1.73      0.6645       3.731       0.447       7.826      0.2855       10.29       1.329       8.754       1.657       5.015       1.319       1.284      0.4111      0.4832      0.1576      0.4333      0.1246      0.3799     0.08915     0.08274     0.02676     0.07646     0.02474     0.02699     0.00664
162       8.034      0.9355       20.46       0.795       35.52       0.065       32.15       0.475       20.94        0.42       9.277      0.2035       1.902       0.042      0.6926      0.0146      0.6199    -0.02255      0.5423     -0.0622      0.1177     0.00225      0.1087      0.0021       0.106     0.00345
169      0.0632      0.0246      0.1931     0.08125      0.5245      0.2292      0.7489      0.3582      0.6869      0.3482       0.481      0.2693      0.1443     0.08926     0.05677     0.03615     0.05106     0.03151     0.04491     0.02651     0.00996     0.00645    0.009201    0.005959    0.001985    0.000829
175       0.478      0.1383       1.177      0.2861       2.734       0.706       3.959        1.15       3.495       1.178       2.098      0.8485      0.5626      0.2596      0.2163      0.1036      0.1943     0.08745      0.1707      0.0701     0.03784     0.01865     0.03496     0.01724     0.00997    0.002741
179      0.3975     0.05455       1.167      0.0675       2.837       0.225        3.88       0.315       3.243       0.322       1.805      0.2085        0.45      0.0589      0.1686     0.02295      0.1512      0.0131      0.1325      0.0025     0.02888    0.004085     0.02667    0.003775     0.01052   0.0008635
180      0.2495     0.09745      0.5732      0.3012       1.271      0.6946       1.579      0.9571       1.229      0.8276      0.6193      0.4467      0.1432      0.1091     0.05396     0.04149     0.04843     0.03662     0.04251     0.03139    0.009405    0.007275    0.008684    0.006726    0.004052    0.002479
185      0.7545      0.4075       1.125      0.5282       1.797      0.8554       1.546        1.04       1.076      0.8574      0.5787      0.5053      0.1689      0.1558     0.06648     0.06172     0.05973     0.05522     0.05246     0.04822     0.01151     0.01069     0.01063    0.009865    0.004106     0.00209
186       0.437      0.1149      0.9374      0.3596       1.961      0.7545       2.429       0.966       1.899      0.7695      0.9325      0.4175      0.2104      0.1017     0.07923     0.03917      0.0711     0.03312     0.06243     0.02668     0.01387    0.006975     0.01282    0.006444    0.005997    0.002512
207     0.09416     0.01934      0.3123      0.0734      0.9089      0.2441       1.374      0.4311       1.292      0.4791      0.8221       0.346       0.229      0.1083     0.08843     0.04328     0.07949     0.03667     0.06988     0.02958      0.0155    0.007821     0.01431    0.007225    0.003664   0.0009505
208      0.1077     0.03526      0.3716      0.1469      0.9579      0.4191       1.346      0.6324       1.203      0.6088       0.705      0.3631      0.1908      0.1039     0.07396     0.04144     0.06648     0.03564     0.05844     0.02942     0.01298    0.007448     0.01199    0.006886    0.003527    0.001478
