#     _id       snrFIRSMM         zFIRSMM           snr24        snrRadio           snr16          snr100          snr160          snr250          snr350          snr500          snr850          snr1160
#
339                 0.656           0.972           7.393           0.670           0.000           0.013           0.656           0.000           0.000           0.000           0.000           0.000
340                 2.416           1.435           7.191           0.362           2.152           0.606           2.339           0.000           0.000           0.000           0.000           0.000
343                 2.549           0.863          20.828           1.265           5.220           1.448           2.098           0.000           0.000           0.000           0.000           0.000
356                 7.361           1.248          25.422           2.890           4.040           5.862           4.374           0.827           0.000           0.000           0.000           0.000
365                 1.135           1.174           6.184           0.236           2.437           0.209           1.116           0.000           0.000           0.000           0.000           0.000
368                 0.000           0.761           4.463           0.413           0.879           0.000           0.000           0.000           0.000           0.000           0.000           0.000
371                 1.735           5.701           0.033           3.103           0.000           0.000           0.552           1.349           0.441           0.000           0.000           0.833
374                10.206           0.818          34.825           2.260           0.000           6.592           6.572           3.994           1.249           0.000           0.000           0.000
375                 5.831           1.260          19.938           1.761           7.500           3.518           4.177           2.043           0.000           0.000           0.000           0.000
376                 8.481           2.830          25.849           7.868           0.000           2.436           3.923           5.202           4.340           2.075           0.000           0.629
379                 0.838           4.380           5.157           0.000           0.000           0.000           0.000           0.792           0.000           0.275           0.000           0.000
381                 3.071           3.905           8.804           1.063           0.000           1.391           0.612           1.911           1.769           0.159           0.000           0.560
385                10.624           2.570          22.350           5.472           0.426           3.910           3.485           7.131           5.059           2.634           0.000           1.435
390                 0.000           2.030           3.551           0.000           0.996           0.000           0.000           0.000           0.000           0.000           0.000           0.000
391                 0.312           2.320           4.047           0.000           0.000           0.312           0.000           0.000           0.000           0.000           0.000           0.000
394                 2.754           1.001          13.159           0.882           0.000           1.633           2.218           0.000           0.000           0.000           0.000           0.000
398                 0.194           1.044          10.388           0.515           0.000           0.194           0.000           0.000           0.000           0.000           0.000           0.000
399                 3.550           2.901          10.556           3.414           0.123           2.274           1.922           1.300           1.432           0.000           0.000           0.000
401                 0.849           1.251          10.161           0.138           2.690           0.000           0.849           0.000           0.000           0.000           0.000           0.000
407                21.025           1.521          23.222           7.014          27.291          15.850           9.229           8.755           5.267           0.043           0.000           1.128
409                 2.179           0.710          13.422           5.162           3.278           1.520           1.561           0.000           0.000           0.000           0.000           0.000
413                 3.566           0.623           8.682           0.796           2.301           1.152           3.132           1.258           0.000           0.000           0.000           0.000
414                 2.327           1.160           4.703           1.071           0.000           2.300           0.349           0.000           0.000           0.000           0.000           0.000
416                 1.606           0.416           5.364           0.479           0.000           0.494           1.528           0.000           0.000           0.000           0.000           0.000
418                 2.769           1.292           3.676           0.758           5.070           2.586           0.991           0.000           0.000           0.000           0.000           0.000
421                 0.284           1.240           4.078           0.000           0.648           0.000           0.284           0.000           0.000           0.000           0.000           0.000
428                 1.914           1.290           5.365           0.496           0.000           0.000           1.914           0.000           0.000           0.000           0.000           0.000
429                 2.417           1.147           6.236           0.215           0.000           2.417           0.000           0.000           0.000           0.000           0.000           0.000
430                 2.200           1.253           7.281           1.306           2.347           2.144           0.491           0.000           0.000           0.000           0.000           0.000
431                 2.569           0.676           9.505           3.524           6.408           2.269           1.204           0.000           0.000           0.000           0.000           0.000
432                 2.457           0.743           6.899           0.339           1.320           2.437           0.315           0.000           0.000           0.000           0.000           0.000
433                 1.570           1.551           4.146           0.000           0.000           1.430           0.647           0.000           0.000           0.000           0.000           0.000
437                 3.689           3.035           6.082           1.796           0.000           2.494           1.685           0.000           0.000           0.000           0.000           2.133
438                22.779           1.270          29.230           6.098           8.248          19.966          10.904           0.767           0.879           0.000           0.000           0.000
439                 0.913           1.590          26.193           0.467           0.000           0.000           0.913           0.000           0.000           0.000           0.000           0.000
442                11.701           1.174           8.852           3.166           0.000           6.243           9.590           2.004           1.398           0.000           0.000           0.000
449                16.008           0.189          29.685           1.799          16.659          10.842          11.103           3.588           1.601           0.000           0.000           0.000
450                 3.148           4.388           5.749           0.834           0.992           2.753           0.912           1.131           0.000           0.466           0.000           0.000
451                 1.388           1.019           6.001           0.000           2.577           0.000           1.388           0.000           0.000           0.000           0.000           0.000
468                 2.145           4.439           3.179           0.651           0.000           0.816           0.030           0.000           1.106           0.374           0.000           1.603
481                 3.720           0.179          19.256           1.885           0.000           3.208           1.883           0.000           0.000           0.000           0.000           0.000
482                 0.000           2.270          10.034           1.363           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000
490                 0.000           1.119           6.545           2.855           3.576           0.000           0.000           0.000           0.000           0.000           0.000           0.000
498                 4.705           4.360           9.110           3.495           1.038           0.908           1.817           3.936           0.961           0.428           0.000           1.186
501                 3.248           2.410           5.286           0.235           0.113           1.866           2.658           0.000           0.000           0.000           0.000           0.000
502                 0.000           2.360           8.527           1.915           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000
503                 0.000           2.260           8.778           1.208           0.593           0.000           0.000           0.000           0.000           0.000           0.000           0.000
505                 0.000           2.816           6.897           2.118           0.750           0.000           0.000           0.000           0.000           0.000           0.000           0.000
506                 2.166           1.601           6.354           0.031           0.280           2.166           0.000           0.000           0.000           0.000           0.000           0.000
509                 1.479           0.452          16.185           2.184           0.000           1.303           0.698           0.000           0.000           0.000           0.000           0.000
510                22.902           0.680          27.750           9.639           0.000          18.129          13.259           4.197           1.561           0.000           0.000           0.000
512                 3.452           1.137          16.412           0.877           7.898           3.228           1.225           0.000           0.000           0.000           0.000           0.000
516                 2.383           3.951           1.647           4.169           0.000           0.000           0.303           1.816           0.485           1.252           0.000           0.697
521                 1.648           1.037          15.578           1.864           6.551           1.029           1.287           0.000           0.000           0.000           0.000           0.000
530                 3.841           0.640          16.233           0.405           5.989           2.576           2.848           0.000           0.000           0.000           0.000           0.000
532                21.354           0.975          31.838           4.225          21.260          12.612          15.670           6.986           1.609           0.000           0.000           0.000
533                 1.955           1.030           6.979           0.294           0.355           1.490           1.266           0.000           0.000           0.000           0.000           0.000
540                 2.172           2.180          11.286           1.274           0.000           1.676           1.009           0.943           0.000           0.000           0.000           0.000
541                11.070           0.801          14.574           3.957           5.740           6.231           8.923           2.025           0.000           0.000           0.000           0.000
546                 7.452           3.030          22.139           4.901           0.000           4.354           5.575           1.545           1.164           1.144           0.000           0.667
547                10.982           2.612          23.282           5.206           0.000           7.637           7.027           3.082           1.206           0.866           0.000           1.101
548                 8.967           1.780          19.129           9.583           4.082           5.714           4.780           4.706           1.621           0.377           0.000           0.000
550                 0.000           1.239           3.761           0.887           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000
552                13.605           0.504          33.851           5.529          16.072          11.310           6.833           3.152           0.737           0.000           0.000           0.000
554                 5.890           0.680          25.175           1.849           0.000           2.736           5.216           0.000           0.000           0.000           0.000           0.000
559                10.172           1.260          24.088           6.765           0.000           5.248           8.307           2.421           1.035           0.000           0.000           0.000
561                 0.404           1.390          10.004           0.936           1.212           0.404           0.000           0.000           0.000           0.000           0.000           0.000
562                 3.608           2.821           9.134           0.922           0.000           3.352           0.968           0.920           0.000           0.000           0.000           0.000
564                20.022           4.055          13.164           9.145           1.924           2.402          10.801           9.112           5.942           6.329           0.000          10.957
581                 1.204           1.310           6.269           1.115           1.638           0.000           1.204           0.000           0.000           0.000           0.000           0.000
593                 6.431           1.450          24.335           6.246           2.796           1.833           5.771           1.988           0.511           0.000           0.000           0.697
597                 0.804           2.280           2.058           2.811           0.000           0.804           0.000           0.000           0.000           0.000           0.000           0.000
598                 8.040           1.364          16.653           5.037          12.452           6.327           4.392           1.929           1.267           0.000           0.000           0.000
604                 0.164           0.578           6.399           2.825           0.000           0.000           0.164           0.000           0.000           0.000           0.000           0.000
606                 0.000           1.008           4.754           0.766           6.371           0.000           0.000           0.000           0.000           0.000           0.000           0.000
620                 7.688           0.800          24.249           2.762           4.266           3.787           6.672           0.500           0.000           0.000           0.000           0.000
621                 8.688           2.480          21.518           3.613           0.000           5.943           5.637           2.246           1.752           0.000           0.000           0.525
622                 1.961           1.330           5.786           1.269           1.216           1.961           0.000           0.000           0.000           0.000           0.000           0.000
628                 2.942           1.255          10.805           0.742           5.536           0.000           2.942           0.000           0.000           0.000           0.000           0.000
631                 3.635           1.390          16.999           4.215           0.401           2.350           1.571           2.286           0.000           0.000           0.000           0.000
637                 5.705           0.503          22.273           2.998           0.000           3.798           3.571           2.316           0.000           0.000           0.000           0.000
638                10.788           0.711          12.632           5.095           0.000           0.000           4.547           8.142           4.255           3.362           0.000           0.000
652                 4.599           1.765          20.114           0.396           0.000           0.000           4.462           1.115           0.000           0.000           0.000           0.000
658                 8.244           4.051           7.854          19.211           0.160           1.664           3.254           5.854           4.089           1.188           0.000           1.485
659                 5.213           4.056           5.002           3.975           2.068           1.267           3.309           0.909           0.577           2.460           0.000           2.723
661                 0.385           1.360           6.076           0.602           0.000           0.385           0.000           0.000           0.000           0.000           0.000           0.000
664                 0.912           2.370           5.071           0.860           0.000           0.910           0.064           0.000           0.000           0.000           0.000           0.000
669                11.183           1.142          19.073           5.075           7.243           6.850           7.883           2.875           2.778           0.000           0.000           0.000
672                 3.870           0.945          15.736           5.022           4.733           3.685           1.181           0.000           0.000           0.000           0.000           0.000
689                 1.011           0.713           7.425           2.297           0.000           1.009           0.060           0.000           0.000           0.000           0.000           0.000
692                24.487           0.281          28.522           5.412          26.422          14.973          11.528          15.223           3.111           1.056           0.000           0.000
697                 2.011           2.172          15.646           0.777           3.647           1.510           1.328           0.000           0.000           0.000           0.000           0.000
702                 2.636           2.220           6.955           0.302           3.433           0.228           2.626           0.000           0.000           0.000           0.000           0.000
710                 0.000           0.935           6.237           1.143           0.036           0.000           0.000           0.000           0.000           0.000           0.000           0.000
713                 1.502           0.776           8.442           0.427           4.707           1.502           0.000           0.000           0.000           0.000           0.000           0.000
714                 4.278           4.058           8.753           3.710           0.341           1.365           3.845           1.288           0.000           0.000           0.000           0.000
718                 2.801           0.972          21.735           1.046           0.000           0.765           2.694           0.000           0.000           0.000           0.000           0.000
719                 1.871           2.040           9.109           0.000           2.458           0.357           1.837           0.000           0.000           0.000           0.000           0.000
721                 2.838           0.595          12.572           1.525           3.508           0.176           2.833           0.000           0.000           0.000           0.000           0.000
729                 4.371           0.905           6.391           0.981           2.866           3.300           2.866           0.000           0.000           0.000           0.000           0.000
737                24.246           0.585          32.925          12.886          14.940          19.677          12.762           6.057           1.052           0.000           0.000           0.000
740                 2.037           0.416           6.611           0.066           4.052           2.037           0.000           0.000           0.000           0.000           0.000           0.000
748                 0.000           1.322           3.933           1.075           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000
749                 1.670           0.708           5.213           3.729           0.000           0.000           1.670           0.000           0.000           0.000           0.000           0.000
753                 0.671           0.331           6.534           0.000           2.056           0.671           0.000           0.000           0.000           0.000           0.000           0.000
760                 2.670           0.862          11.310           1.735           6.596           2.319           1.324           0.000           0.000           0.000           0.000           0.000
762                 2.980           0.707          21.795           3.555           0.000           2.962           0.333           0.000           0.000           0.000           0.000           0.000
768                 0.653           2.530           5.660           0.565           0.000           0.024           0.652           0.000           0.000           0.000           0.000           0.000
776                 3.016           0.569           4.878           1.253           0.000           1.539           2.593           0.000           0.000           0.000           0.000           0.000
779                 0.877           1.450          29.395           7.234           9.089           0.877           0.000           0.000           0.000           0.000           0.000           0.000
786                 1.295           2.431           3.256           0.707           0.000           0.742           1.061           0.000           0.000           0.000           0.000           0.000
793                 0.000           2.704           1.162           2.735           1.142           0.000           0.000           0.000           0.000           0.000           0.000           0.000
804                 1.637           0.931           8.536           1.214           0.000           0.846           1.401           0.000           0.000           0.000           0.000           0.000
805                 2.987           1.493           5.683           1.451           2.784           1.959           1.011           2.016           0.000           0.000           0.000           0.000
807                 8.555           2.650          10.209           4.911           0.000           6.341           5.073           2.440           1.119           0.000           0.000           0.174
808                 8.095           0.473          25.052           6.408           0.000           7.811           2.126           0.000           0.000           0.000           0.000           0.000
809                 0.282           0.476           6.732           0.579           0.000           0.282           0.007           0.000           0.000           0.000           0.000           0.000
