#      id           ra           de         z        ez      z_sp        z_op          fK         dfK        fch1       dfch1        fch2       dfch2        fch3       dfch3        fch4       dfch4         f24        df24         f16        df16        f100       df100        f160       df160        f250       df250        f350       df350        f500       df500        f850       df850       f1160      df1160       f20cm      df20cm         SNR       Mstar         SFR        eSFR        sSFR    goodArea    Type_AGN    Type_SED    Type_FIR
#
6          189.3485107   62.4028587     1.035        -1     1.035      0.91      0.04487    0.004487         -99       1e+10         -99       1e+10         -99       1e+10     0.03532    0.002241        0.31     0.01038         -99       1e+10       2.167      0.6384       2.372       1.767       10.84       1.753       10.94        3.29       7.469       4.065       1e-99       1e+10         -99       1e+10     0.01149    0.003202       8.124   4.385e+10       32.79       4.036      0.7478           0           0          -1           1
18         189.3498535   62.4003220     1.018    0.1799        -1      1.02         0.01       0.001    0.008307     0.00015    0.006171    0.000421         -99       1e+10    0.005109    0.001872     0.05635    0.005802         -99       1e+10     -0.0035       0.649       3.972       1.582         -99       1e+10         -99       1e+10         -99       1e+10       1e-99       1e+10         -99       1e+10  -0.0004365    0.003186       2.512   8.953e+09       6.577       5.122      0.7346           0           0           0           0
35         189.3342133   62.3983154     0.401         0        -1       -99          -99       1e+10    -0.00023    0.000128     0.00079    0.000167    0.009472    0.001737   -0.001911    0.001154     0.02037    0.006689         -99       1e+10      0.7571      0.5075         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10       1e-99       1e+10         -99       1e+10    0.002793    0.003066       1.492       1e-99      0.5408      0.3625         -99           0           0           0           0
36         189.3627319   62.3979454    0.3567      0.11        -1      0.37      0.07656    0.007656     0.04108    0.000121     0.03927    0.000455      0.0386    0.002011     0.07715    0.001858      0.2099     0.01863         -99       1e+10       5.951      0.6873       11.58       1.817       6.919       2.857         -99       1e+10         -99       1e+10       1e-99       1e+10         -99       1e+10     0.01718    0.003181       11.02   3.251e+09       4.301       2.876       1.323           0           0           0           1
38         189.3673859   62.3982124      3.78      0.43        -1      3.78     0.001225   0.0001225    0.001808    0.000152         -99       1e+10    0.007493    0.002003    0.008538    0.002339   8.071e-11     0.01369         -99       1e+10   1.792e-05      0.7388       2.716       2.111       6.523       2.861       5.454       2.588       7.461       3.786   8.675e-41       1e+10       1.195       1.769     0.01292     0.00322       3.954    5.78e+09       329.1       83.23       56.93           0           0           1           0
44         189.3435364   62.3971863     3.913    0.3945        -1      3.87     0.001127   0.0001127    0.000836     9.6e-05    0.000856    0.000192    0.004302    0.001261    0.000661    0.001209     0.02416    0.008115         -99       1e+10      0.8563      0.5982   1.745e-05        1.85   3.209e-07       1.666   2.905e-07        4.51      0.3252       5.258   8.675e-41       1e+10    2.13e-10       1.674    0.002416    0.003187       1.433   1.028e+10         251       175.2       24.42           0           0           1           0
48         189.3411560   62.3968201      2.26     0.293        -1      2.26     0.002466   0.0002466    0.004476     9.6e-05    0.005069    0.000172    0.007437    0.001227    0.005357    0.001146     0.04859    0.006812   1.903e-10     0.01591   1.792e-05      0.7089   1.745e-05       2.524         -99       1e+10         -99       1e+10         -99       1e+10       1e-99       1e+10         -99       1e+10    0.004285     0.00318           0   4.487e+10       38.34       38.34      0.8545           0           0           0           0
50         189.3090210   62.3967781       1.4     0.216        -1       1.4     0.005598   0.0005598         -99       1e+10    0.009219    0.000152         -99       1e+10    0.007086    0.001071     0.04282     0.01151         -99       1e+10      0.8933      0.5029   1.745e-05      0.9871         -99       1e+10         -99       1e+10         -99       1e+10       1e-99       1e+10         -99       1e+10   0.0006058      0.0031       1.776   2.051e+10       15.37       8.654      0.7494           0           0           0           0
56         189.3330841   62.3961372      2.61    0.1075        -1      2.41     0.002312   0.0002312     0.00047    0.000103    0.000471    0.000142    -6.3e-05    0.001322   -0.000294    0.001008    0.001633    0.004602     0.01207     0.01044         -99       1e+10   1.745e-05       1.115         -99       1e+10         -99       1e+10         -99       1e+10   8.675e-41       1e+10         -99       1e+10    0.007701    0.003145           0   1.419e+10       72.82       72.82       5.132           0           0           0           0
64         189.3278351   62.3952751      1.37     0.213        -1      1.37     0.006252   0.0006252    0.006981    0.000105    0.007582    0.000133    0.004441    0.001372     0.00621    0.000939     0.02458    0.006377     0.02916     0.01134      0.1908      0.4496       2.719       1.273         -99       1e+10         -99       1e+10         -99       1e+10       1e-99       1e+10         -99       1e+10    0.003532    0.003068       2.177   8.953e+09       13.34       9.329        1.49           0           0           0           0
65         189.3402557   62.3952560      2.07     0.276        -1      2.07     0.003251   0.0003251    0.003663     8.9e-05    0.003892    0.000147    0.004934    0.001103    0.003617    0.001015     0.02792    0.006095   1.903e-10     0.01687   1.792e-05       0.458   1.745e-05       1.385         -99       1e+10         -99       1e+10         -99       1e+10       1e-99       1e+10         -99       1e+10  -0.0004437    0.003058           0   2.099e+10       17.27       17.27      0.8229           0           0           0           0
