#   SAVEDid      xmeAGN       xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
385       40.22       92.06       92.06       230.7       271.1       108.8       327.8       148.2        2.57       0.321
390       2.446       5.664       5.518       5.068       4.888       4.888       9.173        4.28        2.03       0.273
391       1.348       3.434       3.434       7.934       19.28       13.63       20.71        12.2        2.32       0.299
394      0.9113       5.457       5.457       5.598       13.36       12.95       15.36       14.77       1.001         0.6
398      0.5508      0.9142      0.9142      0.6527        1.46      0.9778       2.212       1.204       1.044      0.1601
399           0       6.394       6.394       142.3       120.4       21.85       120.9       21.42       2.901       0.099
401      0.7985      0.6938      0.6938       6.961       8.384       2.313        9.21       1.751       1.251           0
407       107.4       81.31       81.31       184.7         186       27.99       273.5       67.56       1.521           0
409           0      0.2925      0.2925       4.009       5.024       2.528       5.193       2.641      0.7097        0.11
413           0     0.09058     0.09058       2.466       2.147       1.253       2.159       1.242      0.6233        0.14
414      0.3995      0.7111      0.7111       7.068       10.39        4.54       10.97       4.547        1.16        0.14
416    0.009518     0.08093     0.08093      0.4437       0.805      0.5548      0.8311      0.5286      0.4158        0.08
418           0      0.6526      0.6526       10.42       10.04       4.233       10.18       4.095       1.292       0.108
421      0.7388       1.305       1.305       3.846       7.834       5.266       8.544       5.341        1.24       0.202
428           0       1.318       1.318       3.374       8.397        6.79       8.711       6.475        1.29       0.206
429      0.5733       1.075       1.075       3.578       5.865       4.861       6.872       5.341       1.147      0.1903
430           0      0.1646      0.1646       8.473       7.235       1.289       7.367       1.157       1.253           0
431           0      0.1327      0.1327       2.722       2.507      0.6695       2.622      0.5539       0.676           0
432           0      0.3677      0.3677       1.977       3.017       2.125       3.251       2.197      0.7425        0.15
433    0.001314       6.652       6.652      0.4593       27.78       27.78       33.38       33.38       1.551        1.55
437           0       6.824       6.824       73.09       96.03       56.53       99.45       54.57       3.035       0.313
438           0        27.5        27.5       45.77       62.52       17.48       90.29       44.51        1.27       0.204
439       14.55       23.18       10.51       19.44       25.37       7.444       48.09       15.52        1.59       0.233
442           0       13.21       13.21       42.92       41.84       18.69       51.69       28.29       1.174      0.1901
449           0      0.3373      0.3373      0.8743      0.7746      0.0997       1.098      0.4114      0.1893        0.01
450         104       83.57       35.86       340.8       318.3       33.13       402.4       64.22       4.388      0.3555
451      0.2771      0.4172      0.4172       2.371       2.851       1.025        3.17      0.7056       1.019           0
468       90.85       101.8       63.98       395.6         343       58.92       438.6       108.6       4.439      0.4365
481     0.02104     0.02249     0.01194      0.1328      0.1131     0.07357      0.1356     0.06163       0.179           0
482           0       9.939       9.939       19.25       29.46       23.35       34.26       18.55        2.27       0.294
490           0      0.4978      0.4978       6.367       7.051       5.141       7.326       4.866       1.119      0.1899
498       139.6       234.2       134.4       324.2         378       60.87       622.4       185.1        4.36       0.482
501           0       4.933       4.933       41.98       32.02       26.57       37.15       27.57        2.41       0.307
502           0       7.212       7.212       23.07       26.47       22.31        30.1       18.69        2.36       0.302
503           0       6.961       6.961       16.67        21.5       16.97       25.59       12.87        2.26       0.293
