#            id              z           maxz            snr         maxzsnr
#
            826         0.6233            -99          3.226            -99
            827          1.371          2.171          19.91        5.01435
            837          3.551            -99          2.291            -99
            841          6.301            -99          3.017            -99
            849          1.556            -99          1.101            -99
            860          2.982            -99          1.413            -99
            866           1.27            -99           1.14            -99
            867          1.263            -99          2.581            -99
            870           0.84           1.26           20.7        5.05441
            872          2.084            -99          2.887            -99
            877           1.45            -99          1.409            -99
            878         0.2755            -99          4.696            -99
            881           2.15            -99          2.229            -99
            884           3.53           3.87          7.733        5.04841
            885         0.9032         1.1032          8.456        5.15531
            886          0.475            -99          2.544            -99
            892           1.45            -99          1.574            -99
            893           0.94           1.26          12.17        5.10798
            899         0.4869            -99          0.482            -99
            902          0.962          1.222          9.966        5.08068
            915          2.635          3.415          12.04        5.02219
            917            1.5            1.9          8.922        5.05252
            922           1.81            -99          2.055            -99
            923           1.92            2.4          9.959        5.00016
            924         0.4641            -99          0.625            -99
            926            1.6            -99          2.675            -99
            928         0.8281            -99          1.058            -99
            931         0.7425         0.7425          5.341              0
            934         0.7078            -99          3.518            -99
            937          1.032            -99          4.328            -99
            939          0.947          1.267           17.3        5.11616
            950          2.679            -99           3.57            -99
            951         0.2857         0.2857          5.767              0
            960         0.4158            -99          1.112            -99
            965           1.53            -99          3.635            -99
            966          1.303            -99          0.932            -99
            972         0.3466            -99          0.476            -99
            974          5.336            -99          2.279            -99
            994          1.119            -99          0.952            -99
            995          1.306          1.346          5.987        5.13042
           1002          0.948          0.968           5.45        5.00121
           1005          2.885          4.085          15.08        5.03522
           1006          0.946          1.386          30.28         5.2026
           1008          1.029          1.389          12.88        5.16433
           1023           2.24            -99          2.189            -99
           1026          1.811            -99          1.321            -99
           1035         0.7778            -99          0.024            -99
           1036           4.18            -99          0.311            -99
           1037         0.7703         0.7703          5.226         5.0563
           1042           1.06            -99          1.924            -99
           1053           2.43            -99          3.703            -99
           1058          1.038            -99          2.124            -99
           1064         0.5869            -99          3.799            -99
           1075          1.055            -99          1.425            -99
           1076            1.6           1.68          5.977        5.15256
           1077          0.938            -99          4.344            -99
           1081         0.2293            -99          2.185            -99
           1084          1.144          1.804          19.48        5.12269
           1089         0.9719            -99          2.541            -99
           1091          2.783            -99          0.458            -99
           1094           3.53           4.13          7.119        5.04126
           1101          1.082            -99          1.106            -99
           1102         0.4724         0.5924          8.592        5.23762
           1103          1.363          1.763          13.02        5.08866
           1104         0.5948         0.6748          7.619        5.20334
           1105         0.9441         1.2441          11.04        5.05404
           1109          1.601          1.841          7.598        5.00077
           1113          1.457            -99          3.029            -99
           1118         0.3866         0.4466          8.134        5.10622
           1121         0.7997            -99          2.513            -99
           1123          3.116            -99          1.835            -99
           1125          1.023            -99              0            -99
           1129          2.538            -99          3.883            -99
           1133         0.2538            -99          2.083            -99
           1135          0.131          0.191          18.58        5.32231
           1140         0.4768            -99          1.809            -99
           1141          1.174            -99          3.417            -99
           1143         0.2804         0.4204          14.71        5.03152
           1144           1.33            -99          1.084            -99
           1146          4.651            -99          0.072            -99
           1147           1.26           1.28          5.176        5.03312
           1148           3.18           3.26           5.99        5.02606
           1150          1.364          1.384          5.607        5.07803
           1159          3.234          4.594           13.5        5.02056
           1160          2.388            -99          0.388            -99
           1167           2.92            -99          3.506            -99
           1168          2.401          2.861          8.938        5.03591
           1172           1.33            -99          1.101            -99
           1181          1.772            -99              0            -99
           1186           1.46            -99          1.713            -99
           1202          1.841            -99          2.206            -99
           1208          1.498            -99          3.855            -99
           1221          1.157            -99          3.816            -99
           1222         0.9219            -99          1.327            -99
           1225         0.5341         0.6141          8.904        5.39626
           1235         0.8919         1.0519          9.385        5.16264
           1239          0.836          1.436          25.55        5.01425
           1248           1.24           1.76          14.59        5.12111
           1252           2.22            -99              0            -99
           1253          1.847            -99          1.692            -99
           1262          3.796            -99          4.131            -99
           1269           2.21           2.37          6.612        5.02562
           1270          1.083            -99          2.667            -99
           1273         0.7441            -99          0.396            -99
           1278           1.54            -99          2.283            -99
           1284          3.591          4.411          6.164        5.01073
           1285         0.2065         0.2465          8.539         5.0021
           1293         0.7939         0.9539          8.778        5.01037
           1303         0.6335            -99          2.813            -99
           1306          0.041            -99              0            -99
           1313         0.4067            -99          2.987            -99
           1315          1.711          1.711          5.165              0
           1320          1.137            -99          4.144            -99
           1334           1.68            -99          1.016            -99
           1335          1.018            -99           4.59            -99
           1337          0.931          1.111          7.992        5.02891
           1338          1.358          1.518          8.245        5.13705
           1341          1.008          1.308          11.27        5.02738
           1342          0.041            -99          2.192            -99
           1348         0.5233            -99          2.576            -99
           1350          1.156            -99           2.78            -99
           1355          1.192            -99           1.42            -99
           1357          1.365            -99          2.982            -99
           1367          1.787            -99          1.156            -99
           1368           2.54           3.44          11.65        5.03963
           1369           2.11           2.17           5.62         5.1136
           1371          1.037            -99          1.607            -99
           1384           1.32           1.42          6.811         5.0988
           1387          2.451            -99          2.087            -99
           1391          1.038            -99          2.382            -99
           1393           1.21            -99          4.075            -99
           1394         0.2995         0.3995          12.67        5.29975
           1396         0.7152            -99          0.857            -99
           1401          2.072            -99              0            -99
           1402           1.84            -99          3.823            -99
           1416          2.291            -99          0.068            -99
           1419          1.148            -99          1.775            -99
           1420           1.54           1.54          5.255              0
           1434         0.4852         0.6052          9.343        5.02014
           1437          1.344            -99          1.237            -99
           1445          2.404          4.644           20.7        5.01853
           1449          0.513          0.513          5.841              0
           1452           1.34           1.34          5.717              0
           1458          1.485          1.885          9.427        5.03751
           1469          1.102            -99              0            -99
           1475          1.833          3.133          18.82        5.00929
           1476         0.8411            -99          4.496            -99
           1477          0.011            -99          0.577            -99
           1479         0.9262            -99          1.462            -99
           1480          2.679            -99              0            -99
           1490            1.9           2.12          6.984        5.08289
           1491          0.837          1.057          10.49        5.22753
           1495          4.401            -99          1.667            -99
           1497          2.266            -99          1.407            -99
           1501          1.433          1.953          12.35        5.09615
           1502           2.03            -99              0            -99
           1513          1.011            -99           1.84            -99
           1515          1.195          1.735          12.83        5.05841
           1520         0.5325            -99          3.168            -99
           1524         0.8789            -99          0.381            -99
           1525         0.6425            -99          4.997            -99
           1532         0.9809            -99          0.481            -99
           1533          0.746          1.146          19.58        5.10349
           1543          1.148            -99              0            -99
           1544          1.881            -99           1.61            -99
           1545          1.156            -99          2.322            -99
           1548         0.8894            -99              0            -99
           1551          1.358            -99          0.779            -99
           1556          3.451            -99          1.281            -99
           1558         0.8344            -99          4.538            -99
           1563         0.8363            -99          1.334            -99
           1567         0.6338         0.7338          7.894        5.16545
           1569          0.879            -99          3.975            -99
           1579          1.303            -99          1.517            -99
           1592         0.9376         1.0976           8.04        5.21206
           1593         0.6813            -99           2.38            -99
           1602          1.782            -99          0.467            -99
           1604           1.51            -99          2.285            -99
           1606              1            -99          2.272            -99
           1616          1.595            -99          3.877            -99
           1618          1.014          1.254           11.4        5.00837
           1622           1.02            -99          4.377            -99
           1626          1.936            -99              0            -99
           1629           2.31            -99           1.85            -99
           1631          1.595            -99           1.64            -99
           1633           0.32           0.54          34.13        5.31495
           1634         0.7399            -99          0.174            -99
           1638         0.7516            -99          2.365            -99
           1644         0.6337            -99          1.421            -99
           1648           1.76           3.16          29.36        5.03685
           1650           3.21            -99          1.083            -99
           1651          2.882          3.802          9.551        5.01301
           1662              1            -99          1.233            -99
           1673           0.04            -99          2.903            -99
           1693         0.3803            -99          2.725            -99
           1702          2.794            -99              0            -99
           1709          1.201            -99          2.258            -99
           1710           1.82            -99           2.39            -99
           1711         0.7971            -99              0            -99
           1712          2.216          2.956          10.75        5.04627
           1717          1.012            -99          2.371            -99
           1724         0.9809         1.1009          6.965        5.14993
           1734          2.638            -99              0            -99
           1735          4.007          5.247          10.83        5.02566
           1737          1.142          1.242          6.556        5.06379
           1740         0.8208            -99          2.259            -99
           1741          1.024            -99          2.838            -99
           1747           2.04            -99              0            -99
           1753            1.2           1.32          6.466        5.16981
           1762          2.068          3.108          15.72        5.04831
           1764         0.2985            -99          1.304            -99
           1775          1.796            -99          0.108            -99
           1779         0.9647            -99          2.155            -99
           1813           1.57            -99            1.6            -99
           1814           1.63            -99          2.071            -99
           1818          1.569            -99           3.26            -99
           1822         0.4213            -99          1.493            -99
           1824          1.751            -99          1.661            -99
           1836         0.2544            -99           1.84            -99
           1843         0.6348            -99          2.433            -99
           1847          0.903            -99          4.074            -99
           1850            2.4            -99          3.921            -99
           1855          1.186            -99          1.255            -99
           1859         0.5856            -99          2.328            -99
           1865          1.153            -99          0.438            -99
           1866          1.083          1.123          6.737        5.24236
           1870            1.8            -99          0.396            -99
           1880          0.858          1.058          9.618        5.22501
           1886          3.096            -99          0.039            -99
           1894          1.011            -99          2.085            -99
           1899          1.015            -99           1.12            -99
           1907         0.5857            -99          4.008            -99
           1908         0.5857            -99          2.375            -99
           1918         0.2768            -99          2.661            -99
           1919         0.8618            -99              0            -99
           1921          4.402          4.402          5.252              0
           1930          0.937          1.617          29.89        5.01777
           1937         0.2777            -99          2.328            -99
           1938         0.2771            -99          0.796            -99
           1944           1.38           1.38          5.142              0
           1945          3.696          4.436          6.601        5.02661
           1951          1.012            -99          4.419            -99
           1960         0.8955            -99          1.752            -99
           1961         0.5574            -99          0.539            -99
           1968          1.145            -99          3.164            -99
           1973          1.491          1.511          5.561        5.05364
           1990          3.213          8.213          5.268        9.81566
           1999          2.999            -99          1.406            -99
           2007          2.643            -99          2.926            -99
           2022          1.855            -99          0.262            -99
           2025            1.2           1.32           6.79        5.18079
           2032          1.654            -99           0.05            -99
           2046         0.6953            -99              0            -99
           2052          1.243            -99          0.449            -99
           2054          1.185          1.265          5.868        5.18648
           2056         0.7781         0.8781          5.492        5.01847
           2059          1.192            -99          0.713            -99
           2061         0.9015         1.3015          14.17        5.13621
           2089           0.71            -99          1.131            -99
           2094         0.4379         0.8179          49.91        5.09304
           2099           4.25            -99          2.099            -99
           2101          1.479            -99          1.067            -99
           2106           2.29            -99          2.057            -99
           2115          1.027            -99              0            -99
           2124         0.8454            -99          4.185            -99
           2129           1.28            -99          2.861            -99
           2135         0.9962         1.9962          84.13        5.06239
           2137           2.39            -99           0.22            -99
           2140          2.962            -99          3.399            -99
           2141          0.284          0.424          19.66        5.40609
           2144         0.3772         0.4372          8.274        5.13564
           2147         0.4737            -99          4.506            -99
           2150          1.016            -99          4.837            -99
           2152          1.957            -99          3.511            -99
           2160          1.036            -99          4.183            -99
           2163         0.3196            -99          4.149            -99
