# id     ra            dec          z        ez        z_sp     z_op    fK         dfK        fch1       dfch1     fch2       dfch2     fch3       dfch3      fch4       dfch4      f24       df24       f16         df16       f100       df100      f160       df160       f250       df250    f350       df350    f500       df500    f850        df850    f1160      df1160   f20cm       df20cm     SNR     Mstar           SFR       eSFR      sSFR      goodArea   Type_AGN   Type_SED   Type_FIR  
  257    189.3730469   62.3830338   2.431    -1.0      2.431    1.12    0.01117    0.001117   0.02046    5.8E-5    0.02101    1.26E-4   0.01433    6.74E-4    0.01933    9.04E-4    0.1838    0.00597    -99.0       1.0E10     7.038      0.5538     11.44      1.214       10.05      1.682    6.493      2.544    -99.0      1.0E10   8.675E-41   1.0E10   2.13E-10   0.9621   0.02771     0.003129   17.1    1.91399997E10   251.9     30.28     13.16     0          0          0          1         
  289    189.3540192   62.3815117   3.056    0.2805    -1.0     3.15    0.004529   4.529E-4   0.007374   4.8E-5    0.008591   9.4E-5    0.01057    5.64E-4    0.01097    6.65E-4    0.0453    0.005898   0.01135     0.0155     1.363      0.5832     2.124      2.432       8.186      1.781    7.839      3.692    2.495      3.579    8.675E-41   1.0E10   2.13E-10   0.9715   0.008312    0.003075   5.687   5.2720001E10    384.2     120.7     7.288     0          0          0          1         
  356    189.3569031   62.3785439   1.248    0.093     -1.0     1.3     0.009036   9.036E-4   0.009297   4.6E-5    0.0129     9.1E-5    0.01951    5.31E-4    0.02772    6.42E-4    0.09734   0.003829   0.0425      0.01052    2.068      0.3527     4.574      1.046       2.036      2.461    2.905E-7   4.351    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.008599    0.002975   7.361   3.02E9          26.35     10.84     8.726     0          0          0          1         
  374    189.2759247   62.377739    0.8178   -1.0      0.8178   0.82    0.04966    0.004966   0.04957    1.08E-4   0.03435    1.05E-4   0.03181    0.001284   0.02359    7.51E-4    0.2       0.005743   -99.0       1.0E10     2.221      0.3369     4.215      0.6413      7.66       1.918    2.454      1.964    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.006738    0.002982   10.21   3.104E10        10.92     1.105     0.3518    1          0          -1         1         
  375    189.2846832   62.377533    1.26     0.203     -1.0     1.26    0.0138     0.00138    0.03075    7.8E-5    0.02891    9.5E-5    0.02078    9.13E-4    0.01958    6.67E-4    0.09596   0.004813   0.09023     0.01203    1.379      0.3919     3.221      0.7712      4.031      1.973    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.005567    0.003161   5.831   3.5640001E10    26.53     13.31     0.7444    1          0          0          1         
  376    189.4158325   62.3777733   2.83     0.345     -1.0     2.83    0.004656   4.656E-4   -99.0      1.0E10    -99.0      1.0E10    -99.0      1.0E10     0.06492    0.002538   0.2475    0.009575   -99.0       1.0E10     1.817      0.7458     6.196      1.579       11.98      2.303    12.49      2.878    12.05      5.807    8.675E-41   1.0E10   0.7127     1.133    0.0598      0.0076     8.481   1.48599996E11   437.1     170.9     2.942     0          0          0          1         
  385    189.340744    62.3772049   2.57     0.321     -1.0     2.57    0.002965   2.965E-4   0.009838   4.6E-5    0.01248    7.9E-5    0.01684    5.11E-4    0.01441    5.5E-4     0.2492    0.01115    0.003567    0.008383   1.734      0.4434     4.797      1.376       9.434      1.323    8.899      1.759    9.231      3.504    8.675E-41   1.0E10   1.581      1.102    0.0197      0.0036     10.62   3.8189998E10    271.1     108.8     7.099     1          0          0          1         
  407    189.2942505   62.3762665   1.521    -1.0      1.521    1.46    0.02208    0.002208   0.03869    6.7E-5    0.04791    9.0E-5    0.04077    7.25E-4    0.04644    6.08E-4    0.3625    0.01561    0.2359      0.008644   8.045      0.5076     16.35      1.772       23.49      2.683    17.74      3.368    0.4287     9.915    8.675E-41   1.0E10   0.8249     0.731    0.0512      0.0073     21.02   7.2770003E10    186.0     27.99     2.556     1          0          0          1         
  438    189.3011932   62.3750534   1.27     0.204     -1.0     1.27    0.004875   4.875E-4   0.01061    5.2E-5    0.0106     7.9E-5    0.008281   6.04E-4    0.01254    5.63E-4    0.08082   0.002765   0.07177     0.008702   6.577      0.3294     9.04       0.829       3.168      4.133    5.012      5.703    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.01824     0.002991   22.78   1.52E10         62.52     17.48     4.112     1          0          1          1         
  442    189.240921    62.3749695   1.174    0.1901    -1.0     1.18    0.01107    0.001107   -99.0      1.0E10    0.01729    1.84E-4   -99.0      1.0E10     0.0138     0.001336   0.08766   0.009903   -99.0       1.0E10     2.332      0.3735     6.388      0.6662      5.636      2.813    5.969      4.27     -99.0      1.0E10   8.675E-41   1.0E10   -99.0      1.0E10   0.009378    0.002962   11.7    4.6980002E10    41.84     18.69     0.8905    0          0          0          1         
