# id     ra            dec          z        ez        z_sp     z_op    fK         dfK        fch1       dfch1     fch2       dfch2     fch3       dfch3      fch4       dfch4      f24       df24       f16         df16       f100       df100      f160       df160       f250       df250    f350       df350    f500       df500    f850        df850    f1160      df1160   f20cm       df20cm     SNR     Mstar           SFR       eSFR      sSFR      goodArea   Type_AGN   Type_SED   Type_FIR  
  2141   189.4485931   62.3305168   0.284    -1.0      0.284    0.19    0.1159     0.01159    0.05296    5.4E-5    0.04946    8.9E-5    0.03358    5.14E-4    0.102      5.85E-4    0.3057    0.01014    0.223       0.01419    5.386      0.4038     11.66      0.8194      3.581      1.445    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.01638     0.002926   19.66   6.6370002E9     1.881     0.09567   0.2834    1          0          -1         1         
  2144   189.4754333   62.330471    0.3772   -1.0      0.3772   0.36    0.06138    0.006138   0.03002    6.7E-5    0.02927    1.24E-4   0.02161    7.7E-4     0.05465    8.65E-4    0.1293    0.005672   -99.0       1.0E10     2.211      0.4305     5.911      0.9353      2.337      1.595    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.007282    0.003011   8.274   1.00499999E10   1.856     0.2243    0.1848    0          0          -1         1         
  2202   189.2106781   62.329464    1.016    -1.0      1.016    0.96    0.07656    0.007656   0.08991    5.9E-5    0.06883    7.8E-5    0.0487     4.55E-4    0.03935    4.91E-4    0.1789    0.00714    0.1289      0.009086   1.604      0.3608     2.404      1.512       13.39      6.191    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.006236    0.002665   5.193   1.62900001E11   14.0      5.103     0.08594   1          0          -1         1         
  2234   189.1991425   62.3287544   0.5072   -1.0      0.5072   0.49    0.0263     0.00263    0.01708    4.5E-5    0.01415    7.3E-5    0.01367    4.79E-4    0.01685    5.08E-4    0.04973   0.003684   0.04674     0.007009   0.9292     0.3307     2.956      0.5782      1.881      1.971    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.006632    0.002725   5.911   3.16199987E9    1.921     0.325     0.6075    1          0          -1         1         
  2256   189.3564606   62.3281708   0.2775   -1.0      0.2775   0.3     0.3698     0.03698    0.1445     6.7E-5    0.1427     8.9E-5    0.101      4.34E-4    0.4131     5.05E-4    0.973     0.02484    0.8169      0.04578    24.1       0.3388     40.47      1.031       28.21      2.669    7.821      1.908    0.03193    3.57     1.0E-99     1.0E10   -99.0      1.0E10   0.1026      0.0148     82.04   3.8189998E10    8.036     0.4725    0.2104    1          0          -1         1         
  2266   189.3895721   62.328064    0.2712   -1.0      0.2712   0.29    0.1038     0.01038    0.05737    5.1E-5    0.05501    7.6E-5    0.04028    4.25E-4    0.1541     4.85E-4    0.3307    0.01181    0.2661      0.01198    7.941      0.3232     9.109      0.6987      8.489      3.362    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0274      0.0034     27.93   4.8969999E9     2.058     0.1918    0.4202    1          0          -1         1         
  2295   189.1900482   62.3275719   0.2767   -1.0      0.2767   0.24    0.07798    0.007798   0.03579    5.1E-5    0.03267    7.7E-5    0.02652    5.04E-4    0.02637    5.23E-4    0.09719   0.005036   0.03149     0.007999   1.114      0.3369     4.56       0.6592      10.73      2.374    11.59      4.054    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0437      0.0053     9.347   5.6230001E9     0.601     0.0643    0.1069    1          1          -1         1         
  2320   189.1834564   62.327343    3.728    0.0795    -1.0     3.41    7.943E-4   7.943E-5   0.002291   4.5E-5    0.004215   7.3E-5    0.005025   5.25E-4    0.01055    5.38E-4    0.03686   0.003388   0.01126     0.007824   0.03625    0.3167     0.8304     0.4631      5.099      2.607    10.03      4.107    9.035      4.737    3.08        1.224    2.815      0.9283   0.0244      0.003      5.673   1.26500004E11   453.8     79.99     3.588     1          0          -1         1         
  2324   189.2352753   62.3271065   2.29     -1.0      2.29     2.15    0.0052     5.2E-4     0.01087    4.0E-5    0.01427    6.8E-5    0.02274    4.08E-4    0.04816    4.74E-4    0.684     0.01994    0.2564      0.01119    7.321      0.3492     13.22      0.6853      9.771      1.619    0.0948     1.552    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0351      0.0032     29.12   8.7490003E10    73.45     31.25     0.8395    1          1          0          1         
  2327   189.3916779   62.327034    0.2733   -1.0      0.2733   0.26    0.3404     0.03404    0.1456     6.7E-5    0.117      8.4E-5    0.07414    4.3E-4     0.05755    4.83E-4    0.06353   0.003747   0.04218     0.01123    0.7139     0.449      4.493      0.7872      1.198      3.86     -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.001718    0.00282    5.933   3.8189998E10    0.65      0.1096    0.01702   1          0          -1         1         
  2328   189.4688721   62.3268738   0.4505   0.04      -1.0     0.55    0.1107     0.01107    0.06079    6.0E-5    0.06426    1.03E-4   0.04745    6.14E-4    0.158      7.03E-4    0.3355    0.008282   -99.0       1.0E10     10.97      0.4089     15.24      0.8183      10.04      1.731    4.53       3.015    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.048       0.0075     33.2    2.89700004E10   10.71     2.443     0.3697    0          0          -1         1         
  2336   189.1225128   62.3267822   1.013    -1.0      1.013    1.06    0.0492     0.00492    0.05568    1.93E-4   0.04199    2.36E-4   0.03758    0.002041   0.02917    0.001539   0.2587    0.01207    -99.0       1.0E10     3.759      0.4276     5.266      0.9362      7.446      2.106    6.355      2.826    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0174      0.0029     11.25   5.3950001E10    24.4      3.732     0.4523    0          0          -1         1         
  2360   189.4466553   62.3262367   1.491    -1.0      1.491    1.45    0.001225   1.225E-4   0.001318   4.1E-5    0.001593   7.5E-5    0.001127   4.74E-4    0.003087   5.36E-4    0.0681    0.005223   0.109       0.009056   2.311      0.3474     0.7801     0.5896      -99.0      1.0E10   -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.008687    0.003289   6.781   2.512E9         12.78     3.882     5.088     1          0          0          1         
  2408   189.2328644   62.3254395   0.5287   -1.0      0.5287   0.53    0.02148    0.002148   0.01665    4.2E-5    0.01356    6.8E-5    0.01224    4.08E-4    0.01621    4.68E-4    0.06059   0.003832   0.06084     0.006055   1.803      0.3092     2.715      0.957       -99.0      1.0E10   -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.005883    0.00264    6.485   3.388E9         2.547     0.3928    0.7518    1          0          -1         1         
  2432   189.4783325   62.324894    1.27     0.204     -1.0     1.27    0.01107    0.001107   0.02244    5.8E-5    0.02344    1.13E-4   0.01817    7.07E-4    0.01842    8.08E-4    0.08377   0.004213   -99.0       1.0E10     1.542      0.4333     6.086      0.703       6.579      1.962    5.269      2.773    -99.0      1.0E10   8.675E-41   1.0E10   -99.0      1.0E10   0.02376     0.002971   10.12   3.9080002E10    45.74     18.95     1.17      1          0          0          1         
  2440   189.4981079   62.3246193   0.8253   0.16      -1.0     0.83    0.0278     0.00278    0.02931    1.08E-4   0.02197    2.0E-4    0.02644    0.001723   0.01578    0.001242   0.2378    0.01074    -99.0       1.0E10     3.236      0.4405     8.695      0.926       5.146      1.341    4.012      2.412    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.01254     0.003001   12.63   2.40999997E10   19.49     8.696     0.8088    0          0          0          1         
  2455   189.2958221   62.3245544   1.145    -1.0      1.145    1.15    0.05395    0.005395   0.07432    5.4E-5    0.06215    7.7E-5    0.04386    4.28E-4    0.04635    4.84E-4    0.3488    0.01007    0.3808      0.0104     4.103      0.3503     8.532      0.6213      12.55      0.8935   7.954      1.275    3.207      2.111    1.903       1.005    -99.0      1.0E10   0.0307      0.0062     23.83   7.2770003E10    53.55     2.385     0.7359    1          0          -1         1         
  2463   189.3398285   62.324295    0.2113   -1.0      0.2113   0.31    0.1995     0.01995    0.1076     6.1E-5    0.09301    8.2E-5    0.07239    4.31E-4    0.3898     5.05E-4    0.3774    0.01018    0.4213      0.01923    14.1       0.3509     21.2       0.5972      14.43      1.348    7.312      2.477    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0517      0.0073     54.76   1.02799995E10   2.32      0.04683   0.2257    1          0          -1         1         
  2488   189.1442413   62.3238831   0.875    -1.0      0.875    0.83    0.07311    0.007311   0.08479    7.2E-5    0.0619     1.01E-4   0.04916    6.8E-4     0.046      7.07E-4    0.2669    0.0106     -99.0       1.0E10     3.639      0.5383     6.83       2.01        15.73      6.864    26.16      8.401    13.65      11.36    1.0E-99     1.0E10   -99.0      1.0E10   0.0802      0.0088     8.581   1.38699997E11   20.41     3.948     0.1472    0          1          -1         1         
  2489   189.145401    62.3231239   2.608    0.0       -1.0     2.31    0.004018   4.018E-4   0.01879    5.7E-5    0.01852    9.3E-5    0.02508    6.19E-4    0.02336    6.78E-4    0.1202    0.01086    -99.0       1.0E10     2.623      0.5317     8.917      1.572       13.73      4.763    6.646      8.705    7.383      11.62    5.057       0.8047   2.715      0.716    0.0845      0.0057     10.94   6.6369999E10    460.3     42.08     6.936     0          0          1          1         
  2513   189.2673492   62.3234062   1.028    -1.0      1.028    0.94    0.01706    0.001706   0.02451    4.3E-5    0.01756    7.0E-5    0.01572    4.06E-4    0.01379    4.77E-4    0.1373    0.004765   0.09685     0.006005   1.857      0.3529     3.637      0.7353      5.817      1.909    1.274      1.812    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.009913    0.002661   7.869   1.38700001E10   16.47     2.335     1.188     1          0          -1         1         
  2518   189.3957825   62.3235626   0.6342   -1.0      0.6342   0.63    0.01629    0.001629   0.01481    4.1E-5    0.01039    6.8E-5    0.01031    4.22E-4    0.008105   4.72E-4    0.05526   0.002034   0.04444     0.009643   1.367      0.3269     2.801      0.7495      1.695      2.691    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.01027     0.002815   5.645   3.98099994E9    3.614     0.6402    0.9079    1          0          -1         1         
  2525   189.1893616   62.32341     1.142    -1.0      1.142    1.17    0.0157     0.00157    0.02159    4.6E-5    0.01969    7.0E-5    0.01444    4.7E-4     0.01835    4.91E-4    0.1707    0.006764   0.1892      0.006887   3.035      0.3426     4.274      0.5094      5.975      1.671    5.747      6.295    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.037       0.0083     12.75   1.78599997E10   26.62     2.088     1.49      1          0          -1         1         
  2540   189.3334656   62.323101    2.295    -1.0      2.295    2.39    0.004325   4.325E-4   0.007687   4.0E-5    0.008122   7.0E-5    0.009573   4.24E-4    0.007248   4.87E-4    0.08191   0.005248   0.02586     0.007638   2.008      0.3352     2.186      0.7389      4.197      1.178    2.844      3.005    -99.0      1.0E10   0.2884      0.9205   -99.0      1.0E10   0.01297     0.002689   7.637   2.14799995E10   101.3     13.26     4.717     1          0          -1         1         
  2592   189.3670044   62.3222733   4.744    0.0565    -1.0     5.25    4.786E-4   4.786E-5   0.002569   3.8E-5    0.004419   6.9E-5    0.00619    4.21E-4    0.01132    4.83E-4    0.04665   0.003074   0.01303     0.007967   1.792E-5   0.3609     3.144      0.6215      13.32      1.089    15.9       1.669    14.81      2.496    5.074       1.103    1.195      0.7307   0.0268      0.0031     18.03   2.35499995E11   1200.0    66.56     5.096     1          0          -1         1         
  2594   189.4189301   62.3213234   1.152    -1.0      1.152    0.76    0.008395   8.395E-4   0.01374    4.0E-5    0.01278    7.1E-5    0.009891   4.15E-4    0.01256    4.71E-4    0.08728   0.004339   0.0893      0.005365   2.495      0.3425     4.162      0.7659      1.349      2.127    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.005958    0.00283    9.111   6.3379999E9     23.79     2.611     3.754     1          0          0          1         
  2625   189.3971558   62.3216324   0.8352   -1.0      0.8352   0.82    0.0597     0.00597    0.0758     5.4E-5    0.05369    7.5E-5    0.05223    4.22E-4    0.05769    4.79E-4    0.4803    0.01495    0.2784      0.007861   3.034      0.3161     6.615      0.6732      8.672      1.826    5.309      2.088    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0615      0.0064     14.76   7.1110001E10    16.98     1.151     0.2388    1          1          -1         1         
  2643   189.3103485   62.3213272   1.28     0.205     -1.0     1.28    0.006194   6.194E-4   0.01543    4.1E-5    0.01532    7.1E-5    0.01211    4.25E-4    0.01212    4.85E-4    0.07172   0.003739   0.07042     0.00643    3.015      0.3868     5.059      0.9491      2.997      1.478    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.004518    0.002709   9.658   2.24899994E10   35.55     13.49     1.581     1          0          0          1         
  2670   189.1781158   62.3209076   0.947    -1.0      0.947    0.95    0.0207     0.00207    0.02165    4.6E-5    0.01592    6.7E-5    0.01364    4.47E-4    0.01069    4.78E-4    0.1026    0.004369   0.07963     0.008849   1.055      0.3381     3.168      0.677       1.78       1.103    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.002287    0.002655   5.851   1.32400005E10   9.659     1.651     0.7294    1          0          -1         1         
  2682   189.280777    62.3208733   0.946    -1.0      0.946    0.92    0.009908   9.908E-4   0.01601    4.1E-5    0.01254    7.0E-5    0.0114     4.14E-4    0.009153   4.78E-4    0.07665   0.005386   0.04469     0.006389   1.043      0.4049     3.409      0.9804      1.999      0.785    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.004611    0.002616   5.022   9.1609999E9     8.139     1.621     0.8884    1          0          -1         1         
  2728   189.1041412   62.3197784   1.207    0.13      -1.0     1.15    0.02831    0.002831   0.05713    1.66E-4   0.0441     2.46E-4   0.04995    0.00187    0.03882    0.001625   0.3416    0.01189    -99.0       1.0E10     6.293      0.4567     13.31      0.9897      19.62      1.622    13.57      2.921    11.07      4.355    3.454E-9    1.232    1.106      0.6093   0.0327      0.0032     23.41   6.486E10        96.14     23.08     1.482     0          0          -1         1         
  2738   189.3859711   62.3196411   1.987    -1.0      1.987    2.07    0.006138   6.138E-4   0.01269    4.1E-5    0.01513    6.9E-5    0.01767    4.23E-4    0.01347    4.7E-4     0.227     0.008869   0.04271     0.00711    1.39       0.2948     3.689      0.6052      6.217      0.8944   6.169      1.802    6.476      2.341    0.6732      0.9984   -99.0      1.0E10   0.008579    0.002791   11.29   6.3380001E10    93.81     8.307     1.48      1          0          -1         1         
  2739   189.4654694   62.3194656   0.972    -1.0      0.972    0.96    0.03467    0.003467   0.04162    5.2E-5    0.03173    8.5E-5    0.02665    5.12E-4    0.02231    5.77E-4    0.2274    0.007919   0.1742      0.01934    2.259      0.3657     4.334      0.9781      5.579      0.9508   3.354      2.867    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0133      0.002967   9.675   3.25099991E10   18.04     1.865     0.555     1          0          -1         1         
  2746   189.1634674   62.3196487   1.221    -1.0      1.221    1.21    0.0118     0.00118    0.01827    4.5E-5    0.01793    6.7E-5    0.01363    4.51E-4    0.01436    4.75E-4    0.09056   0.004574   0.1349      0.007736   4.198      0.3512     8.182      0.9035      6.738      4.191    4.085      2.828    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0206      0.0029     15.15   2.19800003E10   52.62     5.454     2.394     1          0          0          1         
  2806   189.1208191   62.3184166   1.79     0.251     -1.0     1.79    0.003908   3.908E-4   0.005732   6.6E-5    0.007403   1.15E-4   0.009782   7.41E-4    0.008498   8.38E-4    0.1322    0.006329   -99.0       1.0E10     1.439      0.436      3.176      0.7886      1.475      1.127    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.00824     0.002615   5.37    6.1939999E9     53.64     25.95     8.66      0          0          0          1         
  2818   189.4276886   62.3181458   0.051    0.05      -1.0     0.02    0.09727    0.009727   0.1273     6.4E-5    0.09493    8.0E-5    0.07124    4.18E-4    0.1706     4.71E-4    0.2053    0.01131    0.1349      0.009177   5.323      0.4266     8.251      2.164       1.038      2.114    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.002216    0.002807   13.06   3.404E7         0.09135   0.09133   2.684     1          0          0          1         
  2825   189.1503448   62.3181114   0.6809   -1.0      0.6809   0.68    0.03105    0.003105   0.02644    4.7E-5    0.0181     7.0E-5    0.0204     4.59E-4    0.01411    5.01E-4    0.1339    0.007112   0.06931     0.005772   1.528      0.3665     5.977      0.6723      2.541      1.36     -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.007283    0.002682   9.996   1.00499999E10   7.689     0.7692    0.7654    1          0          -1         1         
  2841   189.4226379   62.3177338   0.7433   0.02      -1.0     0.63    0.05346    0.005346   0.014      4.0E-5    0.0136     6.8E-5    0.01559    4.1E-4     0.0391     4.75E-4    0.2805    0.01361    0.1858      0.006609   5.048      0.2936     14.26      0.7581      21.12      3.227    11.05      4.018    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0698      0.0113     26.45   1.076E9         17.9      1.415     16.63     1          1          1          1         
  2874   189.3348389   62.3173943   1.599    -1.0      1.599    1.62    0.004656   4.656E-4   0.006257   3.9E-5    0.006293   6.9E-5    0.004534   4.2E-4     0.004848   4.86E-4    0.03552   0.003591   0.04379     0.006158   2.41       0.3921     3.011      0.9049      2.293      0.9729   -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.001933    0.002726   7.375   9.5929999E9     36.06     4.889     3.759     1          0          0          1         
  2878   189.1639557   62.3171883   0.9544   -1.0      0.9544   0.96    0.02208    0.002208   0.02776    4.4E-5    0.0205     6.4E-5    0.01866    4.21E-4    0.01617    4.5E-4     0.2094    0.006415   0.1651      0.009285   2.468      0.3351     4.556      0.7665      6.013      2.181    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0286      0.0066     9.859   1.32400005E10   16.82     2.183     1.27      1          0          -1         1         
  2893   189.1891327   62.3169327   0.4545   -1.0      0.4545   0.48    0.06982    0.006982   0.04444    4.9E-5    0.04139    7.0E-5    0.04592    4.21E-4    0.09425    4.53E-4    0.5775    0.02069    0.2518      0.0101     7.043      0.3419     9.34       0.6354      6.287      1.654    7.632      6.546    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0391      0.003      25.61   9.5929999E9     6.263     0.661     0.6529    1          0          -1         1         
  2901   189.2198639   62.3168144   2.647    0.298     -1.0     2.68    0.004018   4.018E-4   0.009861   3.9E-5    0.01294    6.7E-5    0.01648    4.11E-4    0.01305    4.68E-4    0.1076    0.003804   1.903E-10   0.007711   1.285      0.3404     2.307      0.5979      1.892      1.035    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.009851    0.0026     5.699   1.62900001E11   102.5     38.82     0.6292    1          0          0          1         
  2925   189.0864563   62.3167152   2.982    0.1875    -1.0     3.17    0.00278    2.78E-4    -99.0      1.0E10    -99.0      1.0E10    -99.0      1.0E10     0.006278   0.00236    0.1916    0.008696   -99.0       1.0E10     0.9425     0.4949     6.947      2.896       12.83      4.341    32.54      6.537    30.16      6.299    2.481       1.267    1.772      0.8849   0.006145    0.002827   8.583   2.70399996E11   641.1     80.78     2.371     0          0          -1         1         
  2994   189.3244781   62.3154221   2.234    -1.0      2.234    1.27    0.01148    0.001148   0.01351    4.1E-5    0.01805    7.2E-5    0.02776    4.24E-4    0.04059    4.85E-4    0.1724    0.009697   0.06215     0.008261   1.039      0.3536     2.02       0.7904      4.465      0.9109   3.145      1.45     -99.0      1.0E10   3.454E-9    1.017    -99.0      1.0E10   0.0205      0.0026     6.626   3.03399997E10   81.28     12.27     2.679     1          0          -1         1         
  3001   189.5335388   62.3150635   1.37     0.213     -1.0     1.37    0.01406    0.001406   -99.0      1.0E10    -99.0      1.0E10    -99.0      1.0E10     0.0266     0.0021     0.1522    0.005651   -99.0       1.0E10     3.42       0.4786     4.824      6636000.0   9.726      3.284    14.14      4.722    8.602      8.974    8.675E-41   1.0E10   2.032      1.009    0.007226    0.003059   8.59    4.3849998E10    88.16     42.42     2.011     0          0          0          1         
  3012   189.3679962   62.3152504   1.459    -1.0      1.459    1.47    0.01076    0.001076   0.02167    4.3E-5    0.02387    7.0E-5    0.01883    4.22E-4    0.01567    4.72E-4    0.05519   0.002802   0.05716     0.007535   0.7066     0.3283     1.968      0.6079      4.482      0.9253   3.209      2.085    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0281      0.0032     6.399   4.8079999E10    29.06     4.541     0.6044    1          1          -1         1         
  3022   189.418396    62.314888    0.955    -1.0      0.955    0.96    0.01837    0.001837   0.02725    4.3E-5    0.02063    6.8E-5    0.0194     4.1E-4     0.01605    4.64E-4    0.1546    0.006598   0.1262      0.006604   2.057      0.3297     3.902      0.8194      5.364      1.624    4.545      2.165    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.008438    0.002751   8.771   1.95900006E10   14.92     1.701     0.7618    1          0          -1         1         
  3037   189.1104126   62.3146629   0.454    -1.0      0.454    0.48    0.02655    0.002655   0.0161     6.6E-5    0.01471    1.16E-4   0.01066    7.53E-4    0.02651    8.55E-4    0.1054    0.007455   -99.0       1.0E10     2.423      0.4247     4.907      0.8042      3.86       2.488    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.005417    0.002633   8.496   4.8969999E9     2.811     0.3309    0.574     0          0          -1         1         
  3069   189.2731018   62.3142242   1.126    0.1602    -1.0     1.16    0.01644    0.001644   0.03089    4.4E-5    0.02433    7.0E-5    0.02593    4.05E-4    0.02274    4.65E-4    0.2768    0.01215    0.2587      0.009721   5.822      0.3182     10.46      0.6665      9.816      0.9041   3.956      1.179    1.367      2.147    1.0E-99     1.0E10   -99.0      1.0E10   0.0285      0.0058     26.66   2.96499999E10   51.83     15.88     1.748     1          0          0          1         
  3075   189.4666901   62.313942    0.5706   -1.0      0.5706   0.57    0.09376    0.009376   0.07106    5.7E-5    0.05014    8.2E-5    0.04817    4.86E-4    0.03421    5.45E-4    0.1306    0.005316   0.09276     0.0167     2.817      0.3741     4.927      0.7091      5.424      0.8463   2.304      1.284    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.003131    0.002899   12.22   3.32599992E10   5.669     0.464     0.1704    1          0          -1         1         
  3081   189.4221649   62.3140678   0.8      -1.0      0.8      0.81    0.01514    0.001514   0.02212    6.9E-5    0.01611    6.7E-5    0.02189    4.08E-4    0.014      4.67E-4    0.1117    0.005513   0.0808      0.00843    1.098      0.3509     4.061      0.7605      2.411      1.957    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.005434    0.002774   6.31    9.3749996E9     7.957     1.261     0.8488    1          0          -1         1         
  3083   189.1415558   62.3138771   1.42     0.218     -1.0     1.42    0.004742   4.742E-4   0.009908   4.0E-5    0.01198    6.6E-5    0.009658   4.2E-4     0.01178    4.75E-4    0.07679   0.00652    0.08237     0.009997   2.136      0.3487     4.176      0.8002      8.613      2.515    4.892      1.443    3.278      2.477    0.2069      0.9622   -99.0      1.0E10   0.01302     0.002626   9.475   3.03399997E10   49.91     19.48     1.645     1          0          0          1         
  3087   189.3562317   62.3138924   0.8409   -1.0      0.8409   0.83    0.06982    0.006982   0.08052    5.6E-5    0.05476    7.6E-5    0.05483    4.26E-4    0.04177    4.79E-4    0.4737    0.01204    0.3878      0.01371    5.917      0.3493     12.86      0.6101      15.58      0.9237   10.7       1.411    8.439      2.767    1.0E-99     1.0E10   2.13E-10   0.5753   0.0557      0.0078     32.9    4.4870001E10    36.85     1.12      0.8213    1          0          -1         1         
  3093   189.1894836   62.3137016   1.894    0.191     -1.0     1.83    0.00955    9.55E-4    0.01384    4.0E-5    0.0188     6.1E-5    0.02617    3.93E-4    0.04327    4.25E-4    0.1542    0.005522   0.05586     0.01272    1.977      0.3296     2.979      0.706       6.302      2.053    5.232      4.074    -99.0      1.0E10   1.864       1.092    -99.0      1.0E10   0.007104    0.002646   8.232   4.9200001E10    73.52     25.79     1.494     1          0          0          1         
  3101   189.0984039   62.3135185   1.174    0.1901    -1.0     1.18    0.002965   2.965E-4   0.007795   9.0E-5    0.009331   1.59E-4   0.008883   0.001034   0.006979   0.001094   0.114     0.007816   -99.0       1.0E10     1.8        0.4439     3.358      0.9376      2.687      1.473    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.007522    0.002793   5.709   1.58499994E9    23.47     11.28     14.81     0          0          0          1         
  3125   189.532608    62.3130493   1.3      0.207     -1.0     1.3     0.006668   6.668E-4   -99.0      1.0E10    0.01269    4.17E-4   -99.0      1.0E10     0.01333    0.002055   0.04045   0.004632   -99.0       1.0E10     4.658      0.5474     9.276      1.864       6.896      4.827    11.86      4.169    7.987      9.25     8.675E-41   1.0E10   0.7863     1.127    0.0481      0.0079     10.42   2.52300001E10   84.69     42.51     3.356     0          0          0          1         
  3145   189.5278168   62.312664    0.3      -1.0      0.3      0.41    0.2858     0.02858    -99.0      1.0E10    0.104      3.32E-4   -99.0      1.0E10     0.1728     0.00155    0.356     0.01071    -99.0       1.0E10     7.504      0.5015     16.39      1.054       15.63      2.806    5.457      3.425    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.0422      0.0072     22.34   3.483E10        3.301     0.1477    0.09477   0          0          -1         1         
  3196   189.2563171   62.3118629   0.233    -1.0      0.233    0.21    0.4831     0.04831    0.1416     6.6E-5    0.1192     8.3E-5    0.08008    4.07E-4    0.2349     4.75E-4    0.3971    0.01323    0.388       0.02057    9.248      0.3767     20.41      1.013       15.97      1.065    4.858      1.226    -0.08043   2.293    1.0E-99     1.0E10   -99.0      1.0E10   0.001341    0.01528    35.34   5.152E10        2.347     0.06642   0.04556   1          0          -1         1         
  3236   189.3816986   62.3115425   1.518    0.1075    -1.0     1.65    0.007727   7.727E-4   0.01616    4.1E-5    0.01749    6.8E-5    0.01461    4.13E-4    0.01034    4.69E-4    0.06317   0.003556   0.02643     0.005493   1.45       0.3028     3.083      0.5732      1.548      0.8751   -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.01445     0.002742   7.416   3.9080002E10    27.53     9.787     0.7045    1          0          0          1         
  3265   189.4135895   62.311039    1.37     0.213     -1.0     1.37    0.003698   3.698E-4   0.009251   4.8E-5    0.009218   6.5E-5    0.007836   4.01E-4    0.008135   4.63E-4    0.02925   0.004858   0.02841     0.007235   1.261      0.3413     2.956      0.5368      2.651      1.051    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.002451    0.002763   7.095   1.70599997E10   24.88     11.44     1.458     1          0          0          1         
  3276   189.3112183   62.3109398   3.656    0.118     -1.0     3.38    0.003467   3.467E-4   0.005543   3.9E-5    0.007965   6.9E-5    0.0111     4.18E-4    0.02002    4.85E-4    0.1166    0.005981   0.05305     0.006428   1.397      0.3326     1.212      0.6031      0.764      1.221    -99.0      1.0E10   -99.0      1.0E10   2.067       0.9013   1.795      0.7042   0.004549    0.002709   5.815   1.153E11        256.1     44.04     2.221     1          0          -1         1         
