#            id      dis_to_MS        name_SB           LTIR           MSIR            SFR    lgSFR_MS_Sargent                Mstar
#
            401        0.43554             MS      8.384e+10    3.07547e+10          8.384            0.487911             9.30995
            407       0.426565             MS       1.86e+12    6.96543e+11            186             1.84295              10.862
            409       0.212509             MS      5.024e+10    3.07993e+10          5.024             0.48854             9.72995
            413      0.0224535             MS      2.147e+10    2.03882e+10          2.147            0.309379             9.58195
            414      -0.229983             MS      1.039e+11    1.76441e+11          10.39              1.2466              10.332
            416        0.68828             SB       8.05e+09    1.65012e+09          0.805           -0.782484             8.40195
            418      -0.369912             MS      1.004e+11    2.35313e+11          10.04             1.37165              10.402
            421       0.206414             MS      7.834e+10    4.87046e+10          7.834             0.68757             9.56995
            428       0.327693             MS      8.397e+10    3.94849e+10          8.397            0.596431             9.42195
            429      0.0186495             MS      5.865e+10    5.61848e+10          5.865            0.749619             9.71195
            430     -0.0971922             MS      7.235e+10    9.04963e+10          7.235            0.956631             9.90195
            431      0.0688861             MS      2.507e+10    2.13928e+10          2.507            0.330268             9.55995
            432        0.35518             MS      3.017e+10    1.33166e+10          3.017            0.124395             9.23995
            433            -99        unknown      2.778e+11            -99          27.78                 -99                 -99
            437      -0.335967             MS      9.603e+11    2.08149e+12          96.03             2.31837              10.962
            438       0.609403             SB      6.252e+11    1.53679e+11          62.52             1.18662              10.182
            439      -0.420652             MS      2.537e+11    6.68301e+11          25.37             1.82497              10.802
            442       0.098724             MS      4.184e+11    3.33325e+11          41.84             1.52287              10.672
            449      -0.593055             MS      7.746e+09    3.03482e+10         0.7746            0.482133              10.242
            450       0.653434             SB      3.183e+12    7.06973e+11          318.3              1.8494              10.252
            451        -0.2035             MS      2.851e+10    4.55509e+10          2.851            0.658497             9.68995
            468       0.400464             MS       3.43e+12    1.36405e+12            343             2.13483              10.612
            481        0.76853             SB      1.131e+09    1.92723e+08         0.1131            -1.71507             7.47195
            482      0.0600921             MS      2.946e+11    2.56531e+11          29.46             1.40914             9.99195
            490       0.280189             MS      7.051e+10    3.69881e+10          7.051            0.568062             9.50195
            498       0.649707             SB       3.78e+12    8.46808e+11            378             1.92778              10.352
            501      0.0865466             MS      3.202e+11    2.62346e+11          32.02             1.41887             9.96195
            502     -0.0794077             MS      2.647e+11    3.17806e+11          26.47             1.50216              10.082
            503      -0.263769             MS       2.15e+11    3.94645e+11           21.5             1.59621              10.232
            505       0.592538             MS      5.931e+11    1.51562e+11          59.31             1.18059             9.56195
            506            -99        unknown      1.576e+11            -99          15.76                 -99                 -99
