#   fcut    ncut    nsou    rsou   gnsou   grsou
#
   0.000       0    3306   4.032    3290   5.784
   0.300      71    3235   3.946    3231   5.680
   0.600     176    3130   3.818    3134   5.510
   0.900     393    2913   3.553    2947   5.181
   1.200     593    2713   3.309    2790   4.905
   1.500     787    2519   3.072    2642   4.645
   1.800     958    2348   2.864    2515   4.422
   2.100    1122    2184   2.664    2386   4.195
   2.400    1286    2020   2.464    2244   3.945
   2.700    1436    1870   2.281    2128   3.741
   3.000    1570    1736   2.117    2026   3.562
   3.300    1707    1599   1.950    1919   3.374
   3.600    1794    1512   1.844    1857   3.265
   3.900    1873    1433   1.748    1787   3.142
   4.200    1954    1352   1.649    1714   3.013
   4.500    2034    1272   1.551    1643   2.889
   4.800    2102    1204   1.468    1576   2.771
   5.100    2153    1153   1.406    1533   2.695
   5.400    2205    1101   1.343    1484   2.609
   5.700    2246    1060   1.293    1432   2.518
   6.000    2280    1026   1.251    1397   2.456
   6.300    2306    1000   1.220    1363   2.396
   6.600    2340     966   1.178    1331   2.340
   6.900    2367     939   1.145    1304   2.293
   7.200    2392     914   1.115    1284   2.257
   7.500    2414     892   1.088    1261   2.217
   7.800    2426     880   1.073    1247   2.192
   8.100    2442     864   1.054    1230   2.162
   8.400    2459     847   1.033    1212   2.131
   8.700    2475     831   1.014    1193   2.097
   9.000    2491     815   0.994    1178   2.071
   9.300    2502     804   0.981    1158   2.036
   9.600    2514     792   0.966    1142   2.008
   9.900    2526     780   0.951    1129   1.985
  10.200    2534     772   0.942    1122   1.973
  10.500    2542     764   0.932    1114   1.958
  10.800    2547     759   0.926    1105   1.943
  11.100    2555     751   0.916    1098   1.930
  11.400    2560     746   0.910    1094   1.923
  11.700    2565     741   0.904    1089   1.915
  12.000    2572     734   0.895    1082   1.902
  12.300    2576     730   0.890    1072   1.885
  12.600    2580     726   0.885    1066   1.874
  12.900    2583     723   0.882    1064   1.871
  13.200    2585     721   0.879    1059   1.862
  13.500    2586     720   0.878    1052   1.849
  13.800    2587     719   0.877    1046   1.839
  14.100    2588     718   0.876    1043   1.834
  14.400    2590     716   0.873    1037   1.823
  14.700    2592     714   0.871    1032   1.814
  15.000    2596     710   0.866    1029   1.809
