#   fcut    ncut    nsou    rsou   gnsou    grsou
#
   0.000       0    3386   2.533    2399   2.587
   0.015     589    2797   2.092    1922   2.072
   0.030    1117    2269   1.697    1548   1.669
   0.045    1474    1912   1.430    1276   1.376
   0.060    1741    1645   1.230    1077   1.161
   0.075    1974    1412   1.056     912   0.983
   0.090    2147    1239   0.927     792   0.854
   0.105    2273    1113   0.833     721   0.777
   0.120    2383    1003   0.750     630   0.679
   0.135    2487     899   0.672     567   0.611
   0.150    2550     836   0.625     525   0.566
   0.165    2601     785   0.587     487   0.525
   0.180    2659     727   0.544     451   0.486
   0.195    2711     675   0.505     421   0.454
   0.210    2744     642   0.480     402   0.433
   0.225    2778     608   0.455     378   0.408
   0.240    2815     571   0.427     357   0.385
   0.255    2841     545   0.408     338   0.364
   0.270    2864     522   0.390     321   0.346
   0.285    2888     498   0.373     306   0.330
   0.300    2912     474   0.355     292   0.315
   0.315    2931     455   0.340     278   0.300
   0.330    2956     430   0.322     265   0.286
   0.345    2970     416   0.311     254   0.274
   0.360    2990     396   0.296     242   0.261
   0.375    2998     388   0.290     238   0.257
   0.390    3007     379   0.283     233   0.251
   0.405    3016     370   0.277     226   0.244
   0.420    3023     363   0.272     221   0.238
   0.435    3029     357   0.267     216   0.233
   0.450    3039     347   0.260     209   0.225
   0.465    3052     334   0.250     199   0.215
   0.480    3060     326   0.244     193   0.208
   0.495    3069     317   0.237     185   0.199
   0.510    3078     308   0.230     178   0.192
   0.525    3082     304   0.227     177   0.191
   0.540    3086     300   0.224     174   0.188
   0.555    3091     295   0.221     170   0.183
   0.570    3095     291   0.218     168   0.181
   0.585    3098     288   0.215     167   0.180
   0.600    3107     279   0.209     161   0.174
   0.615    3111     275   0.206     159   0.171
   0.630    3117     269   0.201     153   0.165
   0.645    3121     265   0.198     150   0.162
   0.660    3127     259   0.194     148   0.160
   0.675    3134     252   0.189     144   0.155
   0.690    3139     247   0.185     141   0.152
   0.705    3142     244   0.183     138   0.149
   0.720    3148     238   0.178     136   0.147
   0.735    3152     234   0.175     133   0.143
   0.750    3155     231   0.173     131   0.141
