#   fcut    ncut    nsou    rsou   gnsou    grsou
#
   0.000       0    3306   0.936    2344   0.957
   0.050      30    3276   0.928    2319   0.947
   0.100      38    3268   0.926    2313   0.944
   0.150      44    3262   0.924    2308   0.942
   0.200      52    3254   0.922    2300   0.939
   0.250      63    3243   0.919    2293   0.936
   0.300      78    3228   0.914    2280   0.931
   0.350      98    3208   0.909    2262   0.924
   0.400     113    3193   0.904    2251   0.919
   0.450     135    3171   0.898    2232   0.911
   0.500     164    3142   0.890    2205   0.900
   0.550     192    3114   0.882    2183   0.891
   0.600     226    3080   0.872    2155   0.880
   0.650     263    3043   0.862    2124   0.867
   0.700     303    3003   0.851    2088   0.853
   0.750     346    2960   0.838    2055   0.839
   0.800     402    2904   0.823    2012   0.822
   0.850     449    2857   0.809    1974   0.806
   0.900     498    2808   0.795    1932   0.789
   0.950     544    2762   0.782    1898   0.775
   1.000     587    2719   0.770    1865   0.762
   1.050     640    2666   0.755    1821   0.744
   1.100     697    2609   0.739    1780   0.727
   1.150     752    2554   0.723    1737   0.709
   1.200     800    2506   0.710    1703   0.695
   1.250     880    2426   0.687    1644   0.671
   1.300     944    2362   0.669    1591   0.650
   1.350    1014    2292   0.649    1537   0.628
   1.400    1078    2228   0.631    1489   0.608
   1.450    1139    2167   0.614    1441   0.588
   1.500    1193    2113   0.599    1399   0.571
   1.550    1238    2068   0.586    1363   0.557
   1.600    1289    2017   0.571    1329   0.543
   1.650    1346    1960   0.555    1285   0.525
   1.700    1402    1904   0.539    1249   0.510
   1.750    1458    1848   0.523    1211   0.494
   1.800    1509    1797   0.509    1176   0.480
   1.850    1565    1741   0.493    1138   0.465
   1.900    1602    1704   0.483    1116   0.456
   1.950    1640    1666   0.472    1089   0.445
   2.000    1673    1633   0.463    1065   0.435
   2.050    1719    1587   0.450    1031   0.421
   2.100    1752    1554   0.440    1004   0.410
   2.150    1790    1516   0.429     981   0.401
   2.200    1825    1481   0.420     960   0.392
   2.250    1856    1450   0.411     940   0.384
   2.300    1887    1419   0.402     917   0.374
   2.350    1922    1384   0.392     889   0.363
   2.400    1961    1345   0.381     863   0.352
   2.450    1990    1316   0.373     840   0.343
   2.500    2007    1299   0.368     825   0.337
