#   fcut    ncut    nsou    rsou   gnsou    grsou
#
   0.000       0    3306   0.337    2344   0.345
   0.007      10    3296   0.336    2338   0.344
   0.014      16    3290   0.336    2332   0.343
   0.021      19    3287   0.335    2330   0.342
   0.028      23    3283   0.335    2326   0.342
   0.035      24    3282   0.335    2325   0.342
   0.042      27    3279   0.334    2322   0.341
   0.049      28    3278   0.334    2321   0.341
   0.056      28    3278   0.334    2321   0.341
   0.063      30    3276   0.334    2319   0.341
   0.070      31    3275   0.334    2318   0.341
   0.077      32    3274   0.334    2317   0.341
   0.084      35    3271   0.334    2315   0.340
   0.091      36    3270   0.333    2314   0.340
   0.098      37    3269   0.333    2314   0.340
   0.105      38    3268   0.333    2313   0.340
   0.112      41    3265   0.333    2310   0.340
   0.119      43    3263   0.333    2308   0.339
   0.126      44    3262   0.333    2307   0.339
   0.133      45    3261   0.333    2306   0.339
   0.140      47    3259   0.332    2305   0.339
   0.147      51    3255   0.332    2302   0.338
   0.154      57    3249   0.331    2296   0.338
   0.161      58    3248   0.331    2295   0.337
   0.168      63    3243   0.331    2291   0.337
   0.175      64    3242   0.331    2291   0.337
   0.182      66    3240   0.330    2289   0.336
   0.189      68    3238   0.330    2287   0.336
   0.196      70    3236   0.330    2285   0.336
   0.203      74    3232   0.330    2282   0.335
   0.210      78    3228   0.329    2279   0.335
   0.217      80    3226   0.329    2277   0.335
   0.224      83    3223   0.329    2275   0.334
   0.231      87    3219   0.328    2271   0.334
   0.238      93    3213   0.328    2266   0.333
   0.245      96    3210   0.327    2263   0.333
   0.252      98    3208   0.327    2261   0.332
   0.259     100    3206   0.327    2259   0.332
   0.266     103    3203   0.327    2257   0.332
   0.273     103    3203   0.327    2257   0.332
   0.280     108    3198   0.326    2253   0.331
   0.287     110    3196   0.326    2251   0.331
   0.294     113    3193   0.326    2249   0.331
   0.301     115    3191   0.325    2247   0.330
   0.308     121    3185   0.325    2241   0.329
   0.315     123    3183   0.325    2239   0.329
   0.322     128    3178   0.324    2234   0.328
   0.329     132    3174   0.324    2231   0.328
   0.336     135    3171   0.323    2229   0.328
   0.343     142    3164   0.323    2223   0.327
   0.350     147    3159   0.322    2219   0.326
